book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
23,Isaiah,7,20,Isaiah 7:20,1,את,אֵת_1,ptcl,,1QIsaA,DSS
23,Isaiah,7,20,Isaiah 7:20,2,ה,הַ,ptcl,,1QIsaA,DSS
23,Isaiah,7,20,Isaiah 7:20,3,ראש,רֹאשׁ_1,subs,,1QIsaA,DSS
23,Isaiah,7,20,Isaiah 7:20,4,ו,וְ,ptcl,,1QIsaA,DSS
23,Isaiah,7,20,Isaiah 7:20,5,שער, שֵׂעָר,subs,,1QIsaA,DSS
23,Isaiah,7,20,Isaiah 7:20,6,ה,הַ,ptcl,,1QIsaA,DSS
23,Isaiah,7,20,Isaiah 7:20,7,רגלים,רֶגֶל,subs,,1QIsaA,DSS
23,Isaiah,7,20,Isaiah 7:20,8,ו,וְ,ptcl,,1QIsaA,DSS
23,Isaiah,7,20,Isaiah 7:20,9,גם,גַּם,ptcl,,1QIsaA,DSS
23,Isaiah,7,20,Isaiah 7:20,10,את,אֵת_1,ptcl,,1QIsaA,DSS
23,Isaiah,7,20,Isaiah 7:20,11,ה,הַ,ptcl,,1QIsaA,DSS
23,Isaiah,7,20,Isaiah 7:20,12,זקן,זָקָן,subs,,1QIsaA,DSS
23,Isaiah,7,20,Isaiah 7:20,13,תספה,ספה,verb.qal.impf,,1QIsaA,DSS
23,Isaiah,7,21,Isaiah 7:21,1,ו,וְ,ptcl,,1QIsaA,DSS
23,Isaiah,7,21,Isaiah 7:21,2,היה,היה,verb.qal.perf,,1QIsaA,DSS
23,Isaiah,7,21,Isaiah 7:21,3,ב,בְּ,ptcl,,1QIsaA,DSS
23,Isaiah,7,21,Isaiah 7:21,4,יום,יֹום_1,subs,,1QIsaA,DSS
23,Isaiah,7,21,Isaiah 7:21,5,ה,הַ,ptcl,,1QIsaA,DSS
23,Isaiah,7,21,Isaiah 7:21,6,הוא,הוּא,pron,,1QIsaA,DSS
23,Isaiah,7,21,Isaiah 7:21,7,יחיה,חיה,verb.piel.impf,,1QIsaA,DSS
23,Isaiah,7,21,Isaiah 7:21,8,איש,אִישׁ,subs,,1QIsaA,DSS
23,Isaiah,7,21,Isaiah 7:21,9,עגלת,עֶגְלָה_1,subs,,1QIsaA,DSS
23,Isaiah,7,21,Isaiah 7:21,10,בקר,בָּקָר,subs,,1QIsaA,DSS
23,Isaiah,7,21,Isaiah 7:21,11,ו,וְ,ptcl,,1QIsaA,DSS
23,Isaiah,7,21,Isaiah 7:21,12,שתי,שְׁנַיִם,numr,,1QIsaA,DSS
23,Isaiah,7,21,Isaiah 7:21,13,צאן,צֹאן,subs,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,1,ו,וְ,ptcl,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,2,היה,היה,verb.qal.perf,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,3,מ,מִן,ptcl,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,4,רב,רֹב,subs,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,5,עשות,עשׂה_1,verb.qal.infc,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,6,חלב,חָלָב,subs,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,7,יאכל,אכל,verb.qal.impf,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,8,חמ  אה,חֶמְאָה,subs,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,9,כי,כִּי_2,ptcl,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,10,חמאה,חֶמְאָה,subs,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,11,ו,וְ,ptcl,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,12,דבש,דְּבַשׁ,subs,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,13,יאכל,אכל,verb.qal.impf,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,14,כל,כֹּל,subs,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,15,ה,הַ,ptcl,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,16,נותר,יתר,verb.nifal.ptca,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,17,ב,בְּ,ptcl,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,18,קרב,קֶרֶב,subs,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,19,ה,הַ,ptcl,,1QIsaA,DSS
23,Isaiah,7,22,Isaiah 7:22,20,ארץ,אֶרֶץ,subs,,1QIsaA,DSS
23,Isaiah,7,23,Isaiah 7:23,1,ו,וְ,ptcl,,1QIsaA,DSS
23,Isaiah,7,23,Isaiah 7:23,2,היה,היה,verb.qal.perf,,1QIsaA,DSS
23,Isaiah,7,23,Isaiah 7:23,3,ב,בְּ,ptcl,,1QIsaA,DSS
