book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
9,1 Samuel,1,9,1 Samuel 1:9,2,ב,בְּ,ptcl,,4QSamA,DSS
9,1 Samuel,1,9,1 Samuel 1:9,3,שילה,שִׁילֹו,subs,,4QSamA,DSS
9,1 Samuel,1,9,1 Samuel 1:9,4,ו,וְ,ptcl,,4QSamA,DSS
9,1 Samuel,1,9,1 Samuel 1:9,5,אחרי,אַחַר,ptcl,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,1,יהוה,יהוה,subs,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,2,צבאות,צָבָא,subs,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,3,אם,אִם,ptcl,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,4,ראה,ראה,verb.qal.infa,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,5,תראה,ראה,verb.qal.impf,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,6,ב,בְּ,ptcl,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,7,עני,עֳנִי,subs,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,8,אמת׳ך,אָמָה,suff,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,9,ו,וְ,ptcl,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,10,זכרת׳ני,זכר,suff.qal.perf,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,11,ו,וְ,ptcl,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,12,לוא,לֹא,ptcl,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,13,תשכח,שׁכח,verb.qal.impf,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,14,את,אֵת_1,ptcl,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,15,אמת׳ך,אָמָה,suff,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,16,ו,וְ,ptcl,,4QSamA,DSS
9,1 Samuel,1,11,1 Samuel 1:11,17,נתתה,נתן,verb.qal.perf,,4QSamA,DSS
