book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
52,1 Thessalonians,1,1,1 Thessalonians 1:1,1,Παῦλος,Παῦλος,N-.----NSM-,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,2,καί,καί,C-.--------,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,3,Σιλουανός,Σιλουανός,N-.----NSM-,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,4,καί,καί,C-.--------,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,5,Τιμόθεος,Τιμόθεος,N-.----NSM-,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,6,τῇ,ὁ,RA.----DSF-,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,7,ἐκκλησίᾳ,ἐκκλησία,N-.----DSF-,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,8,Θεσσαλονικέων,Θεσσαλονικεύς,N-.----GPM-,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,9,ἐν,ἐν,P-.--------,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,10,θεῷ,θεός,N-.----DSM-,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,11,πατρί,πατήρ,N-.----DSM-,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,12,καί,καί,C-.--------,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,13,κυρίῳ,κύριος,N-.----DSM-,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,14,Ἰησοῦ,Ἰησοῦς,N-.----DSM-,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,15,Χριστῷ,Χριστός,N-.----DSM-,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,16,χάρις,χάρις,N-.----NSF-,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,17,ὑμῖν,σύ,RP.----DP--,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,18,καί,καί,C-.--------,,SBLGNT,GNT
52,1 Thessalonians,1,1,1 Thessalonians 1:1,19,εἰρήνη,εἰρήνη,N-.----NSF-,,SBLGNT,GNT
52,1 Thessalonians,1,2,1 Thessalonians 1:2,1,εὐχαριστοῦμεν,εὐχαριστέω,V-.1PAI-P--,,SBLGNT,GNT
52,1 Thessalonians,1,2,1 Thessalonians 1:2,2,τῷ,ὁ,RA.----DSM-,,SBLGNT,GNT
