book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
54,1 Timothy,1,1,1 Timothy 1:1,1,Παῦλος,Παῦλος,N-.----NSM-,,SBLGNT,GNT
54,1 Timothy,1,1,1 Timothy 1:1,2,ἀπόστολος,ἀπόστολος,N-.----NSM-,,SBLGNT,GNT
54,1 Timothy,1,1,1 Timothy 1:1,3,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
54,1 Timothy,1,1,1 Timothy 1:1,4,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
54,1 Timothy,1,1,1 Timothy 1:1,5,κατά,κατά,P-.--------,,SBLGNT,GNT
54,1 Timothy,1,1,1 Timothy 1:1,6,ἐπιταγήν,ἐπιταγή,N-.----ASF-,,SBLGNT,GNT
54,1 Timothy,1,1,1 Timothy 1:1,7,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
54,1 Timothy,1,1,1 Timothy 1:1,8,σωτῆρος,σωτήρ,N-.----GSM-,,SBLGNT,GNT
54,1 Timothy,1,1,1 Timothy 1:1,9,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
54,1 Timothy,1,1,1 Timothy 1:1,10,καί,καί,C-.--------,,SBLGNT,GNT
54,1 Timothy,1,1,1 Timothy 1:1,11,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
54,1 Timothy,1,1,1 Timothy 1:1,12,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
54,1 Timothy,1,1,1 Timothy 1:1,13,τῆς,ὁ,RA.----GSF-,,SBLGNT,GNT
54,1 Timothy,1,1,1 Timothy 1:1,14,ἐλπίδος,ἐλπίς,N-.----GSF-,,SBLGNT,GNT
54,1 Timothy,1,1,1 Timothy 1:1,15,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,1,Τιμοθέῳ,Τιμόθεος,N-.----DSM-,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,2,γνησίῳ,γνήσιος,A-.----DSN-,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,3,τέκνῳ,τέκνον,N-.----DSN-,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,4,ἐν,ἐν,P-.--------,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,5,πίστει,πίστις,N-.----DSF-,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,6,χάρις,χάρις,N-.----NSF-,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,7,ἔλεος,ἔλεος,N-.----NSN-,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,8,εἰρήνη,εἰρήνη,N-.----NSF-,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,9,ἀπό,ἀπό,P-.--------,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,10,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,11,πατρός,πατήρ,N-.----GSM-,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,12,καί,καί,C-.--------,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,13,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,14,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,15,τοῦ,ὁ,RA.----GSM-,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,16,κυρίου,κύριος,N-.----GSM-,,SBLGNT,GNT
54,1 Timothy,1,2,1 Timothy 1:2,17,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
54,1 Timothy,1,3,1 Timothy 1:3,1,καθώς,καθώς,C-.--------,,SBLGNT,GNT
54,1 Timothy,1,3,1 Timothy 1:3,2,παρεκάλεσα,παρακαλέω,V-.1AAI-S--,,SBLGNT,GNT
54,1 Timothy,1,3,1 Timothy 1:3,3,σε,σύ,RP.----AS--,,SBLGNT,GNT
54,1 Timothy,1,3,1 Timothy 1:3,4,προσμεῖναι,προσμένω,V-.-AAN----,,SBLGNT,GNT
54,1 Timothy,1,3,1 Timothy 1:3,5,ἐν,ἐν,P-.--------,,SBLGNT,GNT
54,1 Timothy,1,3,1 Timothy 1:3,6,Ἐφέσῳ,Ἔφεσος,N-.----DSF-,,SBLGNT,GNT
54,1 Timothy,1,3,1 Timothy 1:3,7,πορευόμενος,πορεύομαι,V-.-PMPNSM-,,SBLGNT,GNT
54,1 Timothy,1,3,1 Timothy 1:3,8,εἰς,εἰς,P-.--------,,SBLGNT,GNT
54,1 Timothy,1,3,1 Timothy 1:3,9,Μακεδονίαν,Μακεδονία,N-.----ASF-,,SBLGNT,GNT
54,1 Timothy,1,3,1 Timothy 1:3,10,ἵνα,ἵνα,C-.--------,,SBLGNT,GNT
54,1 Timothy,1,3,1 Timothy 1:3,11,παραγγείλῃς,παραγγέλλω,V-.2AAS-S--,,SBLGNT,GNT
54,1 Timothy,1,3,1 Timothy 1:3,12,τισί(ν),τις,RI.----DPM-,,SBLGNT,GNT
54,1 Timothy,1,3,1 Timothy 1:3,13,μή,μή,D-.--------,,SBLGNT,GNT
54,1 Timothy,1,3,1 Timothy 1:3,14,ἑτεροδιδασκαλεῖν,ἑτεροδιδασκαλέω,V-.-PAN----,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,1,μηδέ,μηδέ,C-.--------,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,2,προσέχειν,προσέχω,V-.-PAN----,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,3,μύθοις,μῦθος,N-.----DPM-,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,4,καί,καί,C-.--------,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,5,γενεαλογίαις,γενεαλογία,N-.----DPF-,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,6,ἀπεράντοις,ἀπέραντος,A-.----DPF-,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,7,αἵτινες,ὅστις,RR.----NPF-,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,8,ἐκζητήσεις,ἐκζήτησις,N-.----APF-,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,9,παρέχουσι(ν),παρέχω,V-.3PAI-P--,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,10,μᾶλλον,μᾶλλον,D-.--------,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,11,ἤ,ἤ,C-.--------,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,12,οἰκονομίαν,οἰκονομία,N-.----ASF-,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,13,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,14,τήν,ὁ,RA.----ASF-,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,15,ἐν,ἐν,P-.--------,,SBLGNT,GNT
54,1 Timothy,1,4,1 Timothy 1:4,16,πίστει,πίστις,N-.----DSF-,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,1,τό,ὁ,RA.----NSN-,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,2,δέ,δέ,C-.--------,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,3,τέλος,τέλος,N-.----NSN-,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,4,τῆς,ὁ,RA.----GSF-,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,5,παραγγελίας,παραγγελία,N-.----GSF-,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,6,ἐστί(ν),εἰμί,V-.3PAI-S--,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,7,ἀγάπη,ἀγάπη,N-.----NSF-,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,8,ἐκ,ἐκ,P-.--------,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,9,καθαρᾶς,καθαρός,A-.----GSF-,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,10,καρδίας,καρδία,N-.----GSF-,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,11,καί,καί,C-.--------,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,12,συνειδήσεως,συνείδησις,N-.----GSF-,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,13,ἀγαθῆς,ἀγαθός,A-.----GSF-,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,14,καί,καί,C-.--------,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,15,πίστεως,πίστις,N-.----GSF-,,SBLGNT,GNT
54,1 Timothy,1,5,1 Timothy 1:5,16,ἀνυποκρίτου,ἀνυπόκριτος,A-.----GSF-,,SBLGNT,GNT
54,1 Timothy,1,6,1 Timothy 1:6,1,ὧν,ὅς,RR.----GPF-,,SBLGNT,GNT
54,1 Timothy,1,6,1 Timothy 1:6,2,τινές,τις,RI.----NPM-,,SBLGNT,GNT
54,1 Timothy,1,6,1 Timothy 1:6,3,ἀστοχήσαντες,ἀστοχέω,V-.-AAPNPM-,,SBLGNT,GNT
54,1 Timothy,1,6,1 Timothy 1:6,4,ἐξετράπησαν,ἐκτρέπομαι,V-.3API-P--,,SBLGNT,GNT
54,1 Timothy,1,6,1 Timothy 1:6,5,εἰς,εἰς,P-.--------,,SBLGNT,GNT
54,1 Timothy,1,6,1 Timothy 1:6,6,ματαιολογίαν,ματαιολογία,N-.----ASF-,,SBLGNT,GNT
54,1 Timothy,1,7,1 Timothy 1:7,1,θέλοντες,θέλω,V-.-PAPNPM-,,SBLGNT,GNT
