book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
47,2 Corinthians,1,1,2 Corinthians 1:1,1,Παῦλος,Παῦλος,N-.----NSM-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,2,ἀπόστολος,ἀπόστολος,N-.----NSM-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,3,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,4,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,5,διά,διά,P-.--------,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,6,θελήματος,θέλημα,N-.----GSN-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,7,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,8,καί,καί,C-.--------,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,9,Τιμόθεος,Τιμόθεος,N-.----NSM-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,10,ὁ,ὁ,RA.----NSM-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,11,ἀδελφός,ἀδελφός,N-.----NSM-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,12,τῇ,ὁ,RA.----DSF-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,13,ἐκκλησίᾳ,ἐκκλησία,N-.----DSF-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,14,τοῦ,ὁ,RA.----GSM-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,15,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,16,τῇ,ὁ,RA.----DSF-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,17,οὔσῃ,εἰμί,V-.-PAPDSF-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,18,ἐν,ἐν,P-.--------,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,19,Κορίνθῳ,Κόρινθος,N-.----DSF-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,20,σύν,σύν,P-.--------,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,21,τοῖς,ὁ,RA.----DPM-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,22,ἁγίοις,ἅγιος,A-.----DPM-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,23,πᾶσι(ν),πᾶς,A-.----DPM-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,24,τοῖς,ὁ,RA.----DPM-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,25,οὖσι(ν),εἰμί,V-.-PAPDPM-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,26,ἐν,ἐν,P-.--------,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,27,ὅλῃ,ὅλος,A-.----DSF-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,28,τῇ,ὁ,RA.----DSF-,,SBLGNT,GNT
47,2 Corinthians,1,1,2 Corinthians 1:1,29,Ἀχαΐᾳ,Ἀχαΐα,N-.----DSF-,,SBLGNT,GNT
47,2 Corinthians,1,2,2 Corinthians 1:2,1,χάρις,χάρις,N-.----NSF-,,SBLGNT,GNT
47,2 Corinthians,1,2,2 Corinthians 1:2,2,ὑμῖν,σύ,RP.----DP--,,SBLGNT,GNT
47,2 Corinthians,1,2,2 Corinthians 1:2,3,καί,καί,C-.--------,,SBLGNT,GNT
47,2 Corinthians,1,2,2 Corinthians 1:2,4,εἰρήνη,εἰρήνη,N-.----NSF-,,SBLGNT,GNT
47,2 Corinthians,1,2,2 Corinthians 1:2,5,ἀπό,ἀπό,P-.--------,,SBLGNT,GNT
47,2 Corinthians,1,2,2 Corinthians 1:2,6,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
47,2 Corinthians,1,2,2 Corinthians 1:2,7,πατρός,πατήρ,N-.----GSM-,,SBLGNT,GNT
47,2 Corinthians,1,2,2 Corinthians 1:2,8,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
47,2 Corinthians,1,2,2 Corinthians 1:2,9,καί,καί,C-.--------,,SBLGNT,GNT
47,2 Corinthians,1,2,2 Corinthians 1:2,10,κυρίου,κύριος,N-.----GSM-,,SBLGNT,GNT
47,2 Corinthians,1,2,2 Corinthians 1:2,11,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
47,2 Corinthians,1,2,2 Corinthians 1:2,12,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
47,2 Corinthians,1,3,2 Corinthians 1:3,1,εὐλογητός,εὐλογητός,A-.----NSM-,,SBLGNT,GNT
47,2 Corinthians,1,3,2 Corinthians 1:3,2,ὁ,ὁ,RA.----NSM-,,SBLGNT,GNT
47,2 Corinthians,1,3,2 Corinthians 1:3,3,θεός,θεός,N-.----NSM-,,SBLGNT,GNT
47,2 Corinthians,1,3,2 Corinthians 1:3,4,καί,καί,C-.--------,,SBLGNT,GNT
47,2 Corinthians,1,3,2 Corinthians 1:3,5,πατήρ,πατήρ,N-.----NSM-,,SBLGNT,GNT
