book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
63,2 John,1,1,2 John 1:1,1,ὁ,ὁ,RA.----NSM-,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,2,πρεσβύτερος,πρεσβύτερος,A-.----NSM-,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,3,ἐκλεκτῇ,ἐκλεκτός,A-.----DSF-,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,4,κυρίᾳ,κυρία,N-.----DSF-,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,5,καί,καί,C-.--------,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,6,τοῖς,ὁ,RA.----DPN-,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,7,τέκνοις,τέκνον,N-.----DPN-,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,8,αὐτῆς,αὐτός,RP.----GSF-,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,9,οὕς,ὅς,RR.----APM-,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,10,ἐγώ,ἐγώ,RP.----NS--,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,11,ἀγαπῶ,ἀγαπάω,V-.1PAI-S--,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,12,ἐν,ἐν,P-.--------,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,13,ἀληθείᾳ,ἀλήθεια,N-.----DSF-,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,14,καί,καί,C-.--------,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,15,οὐ,οὐ,D-.--------,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,16,ἐγώ,ἐγώ,RP.----NS--,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,17,μόνος,μόνος,A-.----NSM-,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,18,ἀλλά,ἀλλά,C-.--------,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,19,καί,καί,D-.--------,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,20,πάντες,πᾶς,A-.----NPM-,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,21,οἱ,ὁ,RA.----NPM-,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,22,ἐγνωκότες,γινώσκω,V-.-XAPNPM-,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,23,τήν,ὁ,RA.----ASF-,,SBLGNT,GNT
63,2 John,1,1,2 John 1:1,24,ἀλήθειαν,ἀλήθεια,N-.----ASF-,,SBLGNT,GNT
63,2 John,1,2,2 John 1:2,1,διά,διά,P-.--------,,SBLGNT,GNT
63,2 John,1,2,2 John 1:2,2,τήν,ὁ,RA.----ASF-,,SBLGNT,GNT
63,2 John,1,2,2 John 1:2,3,ἀλήθειαν,ἀλήθεια,N-.----ASF-,,SBLGNT,GNT
63,2 John,1,2,2 John 1:2,4,τήν,ὁ,RA.----ASF-,,SBLGNT,GNT
63,2 John,1,2,2 John 1:2,5,μένουσαν,μένω,V-.-PAPASF-,,SBLGNT,GNT
63,2 John,1,2,2 John 1:2,6,ἐν,ἐν,P-.--------,,SBLGNT,GNT
63,2 John,1,2,2 John 1:2,7,ἡμῖν,ἐγώ,RP.----DP--,,SBLGNT,GNT
63,2 John,1,2,2 John 1:2,8,καί,καί,C-.--------,,SBLGNT,GNT
63,2 John,1,2,2 John 1:2,9,μετά,μετά,P-.--------,,SBLGNT,GNT
63,2 John,1,2,2 John 1:2,10,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
63,2 John,1,2,2 John 1:2,11,ἔσται,εἰμί,V-.3FMI-S--,,SBLGNT,GNT
63,2 John,1,2,2 John 1:2,12,εἰς,εἰς,P-.--------,,SBLGNT,GNT
63,2 John,1,2,2 John 1:2,13,τόν,ὁ,RA.----ASM-,,SBLGNT,GNT
63,2 John,1,2,2 John 1:2,14,αἰῶνα,αἰών,N-.----ASM-,,SBLGNT,GNT
