book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
61,2 Peter,1,1,2 Peter 1:1,1,Συμεών,Συμεών,N-.----NSM-,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,2,Πέτρος,Πέτρος,N-.----NSM-,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,3,δοῦλος,δοῦλος,N-.----NSM-,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,4,καί,καί,C-.--------,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,5,ἀπόστολος,ἀπόστολος,N-.----NSM-,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,6,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,7,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,8,τοῖς,ὁ,RA.----DPM-,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,9,ἰσότιμον,ἰσότιμος,A-.----ASF-,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,10,ἡμῖν,ἐγώ,RP.----DP--,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,11,λαχοῦσι(ν),λαγχάνω,V-.-AAPDPM-,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,12,πίστιν,πίστις,N-.----ASF-,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,13,ἐν,ἐν,P-.--------,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,14,δικαιοσύνῃ,δικαιοσύνη,N-.----DSF-,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,15,τοῦ,ὁ,RA.----GSM-,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,16,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,17,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,18,καί,καί,C-.--------,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,19,σωτῆρος,σωτήρ,N-.----GSM-,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,20,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
61,2 Peter,1,1,2 Peter 1:1,21,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
61,2 Peter,1,2,2 Peter 1:2,1,χάρις,χάρις,N-.----NSF-,,SBLGNT,GNT
61,2 Peter,1,2,2 Peter 1:2,2,ὑμῖν,σύ,RP.----DP--,,SBLGNT,GNT
61,2 Peter,1,2,2 Peter 1:2,3,καί,καί,C-.--------,,SBLGNT,GNT
61,2 Peter,1,2,2 Peter 1:2,4,εἰρήνη,εἰρήνη,N-.----NSF-,,SBLGNT,GNT
61,2 Peter,1,2,2 Peter 1:2,5,πληθυνθείη,πληθύνω,V-.3APO-S--,,SBLGNT,GNT
61,2 Peter,1,2,2 Peter 1:2,6,ἐν,ἐν,P-.--------,,SBLGNT,GNT
61,2 Peter,1,2,2 Peter 1:2,7,ἐπιγνώσει,ἐπίγνωσις,N-.----DSF-,,SBLGNT,GNT
61,2 Peter,1,2,2 Peter 1:2,8,τοῦ,ὁ,RA.----GSM-,,SBLGNT,GNT
61,2 Peter,1,2,2 Peter 1:2,9,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
61,2 Peter,1,2,2 Peter 1:2,10,καί,καί,C-.--------,,SBLGNT,GNT
61,2 Peter,1,2,2 Peter 1:2,11,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
61,2 Peter,1,2,2 Peter 1:2,12,τοῦ,ὁ,RA.----GSM-,,SBLGNT,GNT
61,2 Peter,1,2,2 Peter 1:2,13,κυρίου,κύριος,N-.----GSM-,,SBLGNT,GNT
61,2 Peter,1,2,2 Peter 1:2,14,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,1,ὡς,ὡς,C-.--------,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,2,πάντα,πᾶς,A-.----APN-,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,3,ἡμῖν,ἐγώ,RP.----DP--,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,4,τῆς,ὁ,RA.----GSF-,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,5,θείας,θεῖος,A-.----GSF-,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,6,δυνάμεως,δύναμις,N-.----GSF-,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,7,αὐτοῦ,αὐτός,RP.----GSM-,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,8,τά,ὁ,RA.----APN-,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,9,πρός,πρός,P-.--------,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,10,ζωήν,ζωή,N-.----ASF-,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,11,καί,καί,C-.--------,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,12,εὐσέβειαν,εὐσέβεια,N-.----ASF-,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,13,δεδωρημένης,δωρέομαι,V-.-XMPGSF-,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,14,διά,διά,P-.--------,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,15,τῆς,ὁ,RA.----GSF-,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,16,ἐπιγνώσεως,ἐπίγνωσις,N-.----GSF-,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,17,τοῦ,ὁ,RA.----GSM-,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,18,καλέσαντος,καλέω,V-.-AAPGSM-,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,19,ἡμᾶς,ἐγώ,RP.----AP--,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,20,ἰδίᾳ,ἴδιος,A-.----DSF-,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,21,δόξῃ,δόξα,N-.----DSF-,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,22,καί,καί,C-.--------,,SBLGNT,GNT
61,2 Peter,1,3,2 Peter 1:3,23,ἀρετῇ,ἀρετή,N-.----DSF-,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,1,διά,διά,P-.--------,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,2,ὧν,ὅς,RR.----GPN-,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,3,τά,ὁ,RA.----APN-,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,4,τίμια,τίμιος,A-.----APN-,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,5,καί,καί,C-.--------,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,6,μέγιστα,μέγιστος,A-.----APNS,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,7,ἡμῖν,ἐγώ,RP.----DP--,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,8,ἐπαγγέλματα,ἐπάγγελμα,N-.----APN-,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,9,δεδώρηται,δωρέομαι,V-.3XMI-S--,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,10,ἵνα,ἵνα,C-.--------,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,11,διά,διά,P-.--------,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,12,τούτων,οὗτος,RD.----GPN-,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,13,γένησθε,γίνομαι,V-.2AMS-P--,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,14,θείας,θεῖος,A-.----GSF-,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,15,κοινωνοί,κοινωνός,N-.----NPM-,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,16,φύσεως,φύσις,N-.----GSF-,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,17,ἀποφυγόντες,ἀποφεύγω,V-.-AAPNPM-,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,18,τῆς,ὁ,RA.----GSF-,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,19,ἐν,ἐν,P-.--------,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,20,τῷ,ὁ,RA.----DSM-,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,21,κόσμῳ,κόσμος,N-.----DSM-,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,22,ἐν,ἐν,P-.--------,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,23,ἐπιθυμίᾳ,ἐπιθυμία,N-.----DSF-,,SBLGNT,GNT
61,2 Peter,1,4,2 Peter 1:4,24,φθορᾶς,φθορά,N-.----GSF-,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,1,καί,καί,D-.--------,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,2,αὐτό,αὐτός,A-.----ASN-,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,3,τοῦτο,οὗτος,RD.----ASN-,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,4,δέ,δέ,C-.--------,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,5,σπουδήν,σπουδή,N-.----ASF-,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,6,πᾶσαν,πᾶς,A-.----ASF-,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,7,παρεισενέγκαντες,παρεισφέρω,V-.-AAPNPM-,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,8,ἐπιχορηγήσατε,ἐπιχορηγέω,V-.2AAD-P--,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,9,ἐν,ἐν,P-.--------,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,10,τῇ,ὁ,RA.----DSF-,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,11,πίστει,πίστις,N-.----DSF-,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,12,ὑμῶν,σύ,RP.----GP--,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,13,τήν,ὁ,RA.----ASF-,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,14,ἀρετήν,ἀρετή,N-.----ASF-,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,15,ἐν,ἐν,P-.--------,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,16,δέ,δέ,C-.--------,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,17,τῇ,ὁ,RA.----DSF-,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,18,ἀρετῇ,ἀρετή,N-.----DSF-,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,19,τήν,ὁ,RA.----ASF-,,SBLGNT,GNT
61,2 Peter,1,5,2 Peter 1:5,20,γνῶσιν,γνῶσις,N-.----ASF-,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,1,ἐν,ἐν,P-.--------,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,2,δέ,δέ,C-.--------,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,3,τῇ,ὁ,RA.----DSF-,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,4,γνώσει,γνῶσις,N-.----DSF-,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,5,τήν,ὁ,RA.----ASF-,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,6,ἐγκράτειαν,ἐγκράτεια,N-.----ASF-,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,7,ἐν,ἐν,P-.--------,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,8,δέ,δέ,C-.--------,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,9,τῇ,ὁ,RA.----DSF-,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,10,ἐγκρατείᾳ,ἐγκράτεια,N-.----DSF-,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,11,τήν,ὁ,RA.----ASF-,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,12,ὑπομονήν,ὑπομονή,N-.----ASF-,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,13,ἐν,ἐν,P-.--------,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,14,δέ,δέ,C-.--------,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,15,τῇ,ὁ,RA.----DSF-,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,16,ὑπομονῇ,ὑπομονή,N-.----DSF-,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,17,τήν,ὁ,RA.----ASF-,,SBLGNT,GNT
61,2 Peter,1,6,2 Peter 1:6,18,εὐσέβειαν,εὐσέβεια,N-.----ASF-,,SBLGNT,GNT
61,2 Peter,1,7,2 Peter 1:7,1,ἐν,ἐν,P-.--------,,SBLGNT,GNT
61,2 Peter,1,7,2 Peter 1:7,2,δέ,δέ,C-.--------,,SBLGNT,GNT
61,2 Peter,1,7,2 Peter 1:7,3,τῇ,ὁ,RA.----DSF-,,SBLGNT,GNT
61,2 Peter,1,7,2 Peter 1:7,4,εὐσεβείᾳ,εὐσέβεια,N-.----DSF-,,SBLGNT,GNT
61,2 Peter,1,7,2 Peter 1:7,5,τήν,ὁ,RA.----ASF-,,SBLGNT,GNT
61,2 Peter,1,7,2 Peter 1:7,6,φιλαδελφίαν,φιλαδελφία,N-.----ASF-,,SBLGNT,GNT
61,2 Peter,1,7,2 Peter 1:7,7,ἐν,ἐν,P-.--------,,SBLGNT,GNT
