book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
44,Acts,1,1,Acts 1:1,1,τόν,ὁ,RA.----ASM-,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,2,μέν,μέν,X-.--------,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,3,πρῶτον,πρῶτος,A-.----ASM-,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,4,λόγον,λόγος,N-.----ASM-,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,5,ἐποιησάμην,ποιέω,V-.1AMI-S--,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,6,περί,περί,P-.--------,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,7,πάντων,πᾶς,A-.----GPN-,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,8,ὦ,ὦ,I-.--------,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,9,Θεόφιλε,Θεόφιλος,N-.----VSM-,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,10,ὧν,ὅς,RR.----GPN-,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,11,ἤρξατο,ἄρχω,V-.3AMI-S--,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,12,ὁ,ὁ,RA.----NSM-,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,13,Ἰησοῦς,Ἰησοῦς,N-.----NSM-,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,14,ποιεῖν,ποιέω,V-.-PAN----,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,15,τέ,τέ,C-.--------,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,16,καί,καί,C-.--------,,SBLGNT,GNT
44,Acts,1,1,Acts 1:1,17,διδάσκειν,διδάσκω,V-.-PAN----,,SBLGNT,GNT
44,Acts,1,2,Acts 1:2,1,ἄχρι,ἄχρι,P-.--------,,SBLGNT,GNT
44,Acts,1,2,Acts 1:2,2,ἧς,ὅς,RR.----GSF-,,SBLGNT,GNT
44,Acts,1,2,Acts 1:2,3,ἡμέρας,ἡμέρα,N-.----GSF-,,SBLGNT,GNT
44,Acts,1,2,Acts 1:2,4,ἐντειλάμενος,ἐντέλλομαι,V-.-AMPNSM-,,SBLGNT,GNT
44,Acts,1,2,Acts 1:2,5,τοῖς,ὁ,RA.----DPM-,,SBLGNT,GNT
44,Acts,1,2,Acts 1:2,6,ἀποστόλοις,ἀπόστολος,N-.----DPM-,,SBLGNT,GNT
44,Acts,1,2,Acts 1:2,7,διά,διά,P-.--------,,SBLGNT,GNT
44,Acts,1,2,Acts 1:2,8,πνεύματος,πνεῦμα,N-.----GSN-,,SBLGNT,GNT
44,Acts,1,2,Acts 1:2,9,ἁγίου,ἅγιος,A-.----GSN-,,SBLGNT,GNT
44,Acts,1,2,Acts 1:2,10,οὕς,ὅς,RR.----APM-,,SBLGNT,GNT
44,Acts,1,2,Acts 1:2,11,ἐξελέξατο,ἐκλέγομαι,V-.3AMI-S--,,SBLGNT,GNT
44,Acts,1,2,Acts 1:2,12,ἀνελήμφθη,ἀναλαμβάνω,V-.3API-S--,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,1,οἷς,ὅς,RR.----DPM-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,2,καί,καί,D-.--------,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,3,παρέστησε(ν),παρίστημι,V-.3AAI-S--,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,4,ἑαυτόν,ἑαυτοῦ,RP.----ASM-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,5,ζῶντα,ζάω,V-.-PAPASM-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,6,μετά,μετά,P-.--------,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,7,τό,ὁ,RA.----ASN-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,8,παθεῖν,πάσχω,V-.-AAN----,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,9,αὐτόν,αὐτός,RP.----ASM-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,10,ἐν,ἐν,P-.--------,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,11,πολλοῖς,πολύς,A-.----DPN-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,12,τεκμηρίοις,τεκμήριον,N-.----DPN-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,13,διά,διά,P-.--------,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,14,ἡμερῶν,ἡμέρα,N-.----GPF-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,15,τεσσεράκοντα,τεσσεράκοντα,A-.----GPF-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,16,ὀπτανόμενος,ὀπτάνομαι,V-.-PMPNSM-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,17,αὐτοῖς,αὐτός,RP.----DPM-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,18,καί,καί,C-.--------,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,19,λέγων,λέγω,V-.-PAPNSM-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,20,τά,ὁ,RA.----APN-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,21,περί,περί,P-.--------,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,22,τῆς,ὁ,RA.----GSF-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,23,βασιλείας,βασιλεία,N-.----GSF-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,24,τοῦ,ὁ,RA.----GSM-,,SBLGNT,GNT
44,Acts,1,3,Acts 1:3,25,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,1,καί,καί,C-.--------,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,2,συναλιζόμενος,συναλίζομαι,V-.-PMPNSM-,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,3,παρήγγειλε(ν),παραγγέλλω,V-.3AAI-S--,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,4,αὐτοῖς,αὐτός,RP.----DPM-,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,5,ἀπό,ἀπό,P-.--------,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,6,Ἱεροσολύμων,Ἱεροσόλυμα,N-.----GPN-,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,7,μή,μή,D-.--------,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,8,χωρίζεσθαι,χωρίζω,V-.-PPN----,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,9,ἀλλά,ἀλλά,C-.--------,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,10,περιμένειν,περιμένω,V-.-PAN----,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,11,τήν,ὁ,RA.----ASF-,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,12,ἐπαγγελίαν,ἐπαγγελία,N-.----ASF-,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,13,τοῦ,ὁ,RA.----GSM-,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,14,πατρός,πατήρ,N-.----GSM-,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,15,ἥν,ὅς,RR.----ASF-,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,16,ἠκούσατε,ἀκούω,V-.2AAI-P--,,SBLGNT,GNT
44,Acts,1,4,Acts 1:4,17,μου,ἐγώ,RP.----GS--,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,1,ὅτι,ὅτι,C-.--------,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,2,Ἰωάννης,Ἰωάννης,N-.----NSM-,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,3,μέν,μέν,C-.--------,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,4,ἐβάπτισε(ν),βαπτίζω,V-.3AAI-S--,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,5,ὕδατι,ὕδωρ,N-.----DSN-,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,6,ὑμεῖς,σύ,RP.----NP--,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,7,δέ,δέ,C-.--------,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,8,ἐν,ἐν,P-.--------,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,9,πνεύματι,πνεῦμα,N-.----DSN-,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,10,βαπτισθήσεσθε,βαπτίζω,V-.2FPI-P--,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,11,ἁγίῳ,ἅγιος,A-.----DSN-,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,12,οὐ,οὐ,D-.--------,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,13,μετά,μετά,P-.--------,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,14,πολλάς,πολύς,A-.----APF-,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,15,ταύτας,οὗτος,RD.----APF-,,SBLGNT,GNT
44,Acts,1,5,Acts 1:5,16,ἡμέρας,ἡμέρα,N-.----APF-,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,1,οἱ,ὁ,RA.----NPM-,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,2,μέν,μέν,C-.--------,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,3,οὖν,οὖν,C-.--------,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,4,συνελθόντες,συνέρχομαι,V-.-AAPNPM-,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,5,ἠρώτων,ἐρωτάω,V-.3IAI-P--,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,6,αὐτόν,αὐτός,RP.----ASM-,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,7,λέγοντες,λέγω,V-.-PAPNPM-,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,8,κύριε,κύριος,N-.----VSM-,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,9,εἰ,εἰ,X-.--------,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,10,ἐν,ἐν,P-.--------,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,11,τῷ,ὁ,RA.----DSM-,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,12,χρόνῳ,χρόνος,N-.----DSM-,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,13,τούτῳ,οὗτος,RD.----DSM-,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,14,ἀποκαθιστάνεις,ἀποκαθίστημι,V-.2PAI-S--,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,15,τήν,ὁ,RA.----ASF-,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,16,βασιλείαν,βασιλεία,N-.----ASF-,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,17,τῷ,ὁ,RA.----DSM-,,SBLGNT,GNT
44,Acts,1,6,Acts 1:6,18,Ἰσραήλ,Ἰσραήλ,N-.----DSM-,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,1,εἶπε(ν),λέγω,V-.3AAI-S--,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,2,δέ,δέ,C-.--------,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,3,πρός,πρός,P-.--------,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,4,αὐτούς,αὐτός,RP.----APM-,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,5,οὐ,οὐ,D-.--------,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,6,ὑμῶν,σύ,RP.----GP--,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,7,ἐστί(ν),εἰμί,V-.3PAI-S--,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,8,γνῶναι,γινώσκω,V-.-AAN----,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,9,χρόνους,χρόνος,N-.----APM-,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,10,ἤ,ἤ,C-.--------,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,11,καιρούς,καιρός,N-.----APM-,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,12,οὕς,ὅς,RR.----APM-,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,13,ὁ,ὁ,RA.----NSM-,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,14,πατήρ,πατήρ,N-.----NSM-,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,15,ἔθετο,τίθημι,V-.3AMI-S--,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,16,ἐν,ἐν,P-.--------,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,17,τῇ,ὁ,RA.----DSF-,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,18,ἰδίᾳ,ἴδιος,A-.----DSF-,,SBLGNT,GNT
44,Acts,1,7,Acts 1:7,19,ἐξουσίᾳ,ἐξουσία,N-.----DSF-,,SBLGNT,GNT
44,Acts,1,8,Acts 1:8,1,ἀλλά,ἀλλά,C-.--------,,SBLGNT,GNT
44,Acts,1,8,Acts 1:8,2,λήμψεσθε,λαμβάνω,V-.2FMI-P--,,SBLGNT,GNT
44,Acts,1,8,Acts 1:8,3,δύναμιν,δύναμις,N-.----ASF-,,SBLGNT,GNT
44,Acts,1,8,Acts 1:8,4,ἐπελθόντος,ἐπέρχομαι,V-.-AAPGSN-,,SBLGNT,GNT
44,Acts,1,8,Acts 1:8,5,τοῦ,ὁ,RA.----GSN-,,SBLGNT,GNT
