book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
51,Colossians,1,1,Colossians 1:1,1,Παῦλος,Παῦλος,N-.----NSM-,,SBLGNT,GNT
51,Colossians,1,1,Colossians 1:1,2,ἀπόστολος,ἀπόστολος,N-.----NSM-,,SBLGNT,GNT
51,Colossians,1,1,Colossians 1:1,3,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
51,Colossians,1,1,Colossians 1:1,4,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
51,Colossians,1,1,Colossians 1:1,5,διά,διά,P-.--------,,SBLGNT,GNT
51,Colossians,1,1,Colossians 1:1,6,θελήματος,θέλημα,N-.----GSN-,,SBLGNT,GNT
51,Colossians,1,1,Colossians 1:1,7,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
51,Colossians,1,1,Colossians 1:1,8,καί,καί,C-.--------,,SBLGNT,GNT
51,Colossians,1,1,Colossians 1:1,9,Τιμόθεος,Τιμόθεος,N-.----NSM-,,SBLGNT,GNT
51,Colossians,1,1,Colossians 1:1,10,ὁ,ὁ,RA.----NSM-,,SBLGNT,GNT
51,Colossians,1,1,Colossians 1:1,11,ἀδελφός,ἀδελφός,N-.----NSM-,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,1,τοῖς,ὁ,RA.----DPM-,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,2,ἐν,ἐν,P-.--------,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,3,Κολοσσαῖς,Κολοσσαί,N-.----DPF-,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,4,ἁγίοις,ἅγιος,A-.----DPM-,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,5,καί,καί,C-.--------,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,6,πιστοῖς,πιστός,A-.----DPM-,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,7,ἀδελφοῖς,ἀδελφός,N-.----DPM-,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,8,ἐν,ἐν,P-.--------,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,9,Χριστῷ,Χριστός,N-.----DSM-,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,10,χάρις,χάρις,N-.----NSF-,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,11,ὑμῖν,σύ,RP.----DP--,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,12,καί,καί,C-.--------,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,13,εἰρήνη,εἰρήνη,N-.----NSF-,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,14,ἀπό,ἀπό,P-.--------,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,15,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,16,πατρός,πατήρ,N-.----GSM-,,SBLGNT,GNT
51,Colossians,1,2,Colossians 1:2,17,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
51,Colossians,1,3,Colossians 1:3,1,εὐχαριστοῦμεν,εὐχαριστέω,V-.1PAI-P--,,SBLGNT,GNT
51,Colossians,1,3,Colossians 1:3,2,τῷ,ὁ,RA.----DSM-,,SBLGNT,GNT
51,Colossians,1,3,Colossians 1:3,3,θεῷ,θεός,N-.----DSM-,,SBLGNT,GNT
51,Colossians,1,3,Colossians 1:3,4,πατρί,πατήρ,N-.----DSM-,,SBLGNT,GNT
51,Colossians,1,3,Colossians 1:3,5,τοῦ,ὁ,RA.----GSM-,,SBLGNT,GNT
51,Colossians,1,3,Colossians 1:3,6,κυρίου,κύριος,N-.----GSM-,,SBLGNT,GNT
51,Colossians,1,3,Colossians 1:3,7,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
51,Colossians,1,3,Colossians 1:3,8,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
51,Colossians,1,3,Colossians 1:3,9,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
51,Colossians,1,3,Colossians 1:3,10,πάντοτε,πάντοτε,D-.--------,,SBLGNT,GNT
51,Colossians,1,3,Colossians 1:3,11,περί,περί,P-.--------,,SBLGNT,GNT
51,Colossians,1,3,Colossians 1:3,12,ὑμῶν,σύ,RP.----GP--,,SBLGNT,GNT
