book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
49,Ephesians,1,1,Ephesians 1:1,1,Παῦλος,Παῦλος,N-.----NSM-,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,2,ἀπόστολος,ἀπόστολος,N-.----NSM-,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,3,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,4,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,5,διά,διά,P-.--------,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,6,θελήματος,θέλημα,N-.----GSN-,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,7,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,8,τοῖς,ὁ,RA.----DPM-,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,9,ἁγίοις,ἅγιος,A-.----DPM-,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,10,τοῖς,ὁ,RA.----DPM-,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,11,οὖσι(ν),εἰμί,V-.-PAPDPM-,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,12,ἐν,ἐν,P-.--------,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,13,Ἐφέσῳ,Ἔφεσος,N-.----DSF-,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,14,καί,καί,C-.--------,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,15,πιστοῖς,πιστός,A-.----DPM-,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,16,ἐν,ἐν,P-.--------,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,17,Χριστῷ,Χριστός,N-.----DSM-,,SBLGNT,GNT
49,Ephesians,1,1,Ephesians 1:1,18,Ἰησοῦ,Ἰησοῦς,N-.----DSM-,,SBLGNT,GNT
49,Ephesians,1,2,Ephesians 1:2,1,χάρις,χάρις,N-.----NSF-,,SBLGNT,GNT
49,Ephesians,1,2,Ephesians 1:2,2,ὑμῖν,σύ,RP.----DP--,,SBLGNT,GNT
49,Ephesians,1,2,Ephesians 1:2,3,καί,καί,C-.--------,,SBLGNT,GNT
49,Ephesians,1,2,Ephesians 1:2,4,εἰρήνη,εἰρήνη,N-.----NSF-,,SBLGNT,GNT
49,Ephesians,1,2,Ephesians 1:2,5,ἀπό,ἀπό,P-.--------,,SBLGNT,GNT
49,Ephesians,1,2,Ephesians 1:2,6,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
49,Ephesians,1,2,Ephesians 1:2,7,πατρός,πατήρ,N-.----GSM-,,SBLGNT,GNT
49,Ephesians,1,2,Ephesians 1:2,8,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
49,Ephesians,1,2,Ephesians 1:2,9,καί,καί,C-.--------,,SBLGNT,GNT
49,Ephesians,1,2,Ephesians 1:2,10,κυρίου,κύριος,N-.----GSM-,,SBLGNT,GNT
49,Ephesians,1,2,Ephesians 1:2,11,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
49,Ephesians,1,2,Ephesians 1:2,12,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
