book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
48,Galatians,1,1,Galatians 1:1,1,Παῦλος,Παῦλος,N-.----NSM-,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,2,ἀπόστολος,ἀπόστολος,N-.----NSM-,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,3,οὐ,οὐ,D-.--------,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,4,ἀπό,ἀπό,P-.--------,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,5,ἀνθρώπων,ἄνθρωπος,N-.----GPM-,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,6,οὐδέ,οὐδέ,C-.--------,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,7,διά,διά,P-.--------,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,8,ἀνθρώπου,ἄνθρωπος,N-.----GSM-,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,9,ἀλλά,ἀλλά,C-.--------,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,10,διά,διά,P-.--------,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,11,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,12,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,13,καί,καί,C-.--------,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,14,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,15,πατρός,πατήρ,N-.----GSM-,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,16,τοῦ,ὁ,RA.----GSM-,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,17,ἐγείραντος,ἐγείρω,V-.-AAPGSM-,,SBLGNT,GNT
48,Galatians,1,1,Galatians 1:1,18,αὐτόν,αὐτός,RP.----ASM-,,SBLGNT,GNT
