book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
58,Hebrews,1,1,Hebrews 1:1,1,πολυμερῶς,πολυμερῶς,D-.--------,,SBLGNT,GNT
58,Hebrews,1,1,Hebrews 1:1,2,καί,καί,C-.--------,,SBLGNT,GNT
58,Hebrews,1,1,Hebrews 1:1,3,πολυτρόπως,πολυτρόπως,D-.--------,,SBLGNT,GNT
58,Hebrews,1,1,Hebrews 1:1,4,πάλαι,πάλαι,D-.--------,,SBLGNT,GNT
58,Hebrews,1,1,Hebrews 1:1,5,ὁ,ὁ,RA.----NSM-,,SBLGNT,GNT
58,Hebrews,1,1,Hebrews 1:1,6,θεός,θεός,N-.----NSM-,,SBLGNT,GNT
58,Hebrews,1,1,Hebrews 1:1,7,λαλήσας,λαλέω,V-.-AAPNSM-,,SBLGNT,GNT
58,Hebrews,1,1,Hebrews 1:1,8,τοῖς,ὁ,RA.----DPM-,,SBLGNT,GNT
58,Hebrews,1,1,Hebrews 1:1,9,πατράσι(ν),πατήρ,N-.----DPM-,,SBLGNT,GNT
58,Hebrews,1,1,Hebrews 1:1,10,ἐν,ἐν,P-.--------,,SBLGNT,GNT
58,Hebrews,1,1,Hebrews 1:1,11,τοῖς,ὁ,RA.----DPM-,,SBLGNT,GNT
58,Hebrews,1,1,Hebrews 1:1,12,προφήταις,προφήτης,N-.----DPM-,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,1,ἐπί,ἐπί,P-.--------,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,2,ἐσχάτου,ἔσχατος,A-.----GSN-,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,3,τῶν,ὁ,RA.----GPF-,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,4,ἡμερῶν,ἡμέρα,N-.----GPF-,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,5,τούτων,οὗτος,RD.----GPF-,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,6,ἐλάλησε(ν),λαλέω,V-.3AAI-S--,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,7,ἡμῖν,ἐγώ,RP.----DP--,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,8,ἐν,ἐν,P-.--------,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,9,υἱῷ,υἱός,N-.----DSM-,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,10,ὅν,ὅς,RR.----ASM-,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,11,ἔθηκε(ν),τίθημι,V-.3AAI-S--,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,12,κληρονόμον,κληρονόμος,N-.----ASM-,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,13,πάντων,πᾶς,A-.----GPN-,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,14,διά,διά,P-.--------,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,15,οὗ,ὅς,RR.----GSM-,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,16,καί,καί,D-.--------,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,17,ἐποίησε(ν),ποιέω,V-.3AAI-S--,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,18,τούς,ὁ,RA.----APM-,,SBLGNT,GNT
58,Hebrews,1,2,Hebrews 1:2,19,αἰῶνας,αἰών,N-.----APM-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,1,ὅς,ὅς,RR.----NSM-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,2,ὤν,εἰμί,V-.-PAPNSM-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,3,ἀπαύγασμα,ἀπαύγασμα,N-.----NSN-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,4,τῆς,ὁ,RA.----GSF-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,5,δόξης,δόξα,N-.----GSF-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,6,καί,καί,C-.--------,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,7,χαρακτήρ,χαρακτήρ,N-.----NSM-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,8,τῆς,ὁ,RA.----GSF-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,9,ὑποστάσεως,ὑπόστασις,N-.----GSF-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,10,αὐτοῦ,αὐτός,RP.----GSM-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,11,φέρων,φέρω,V-.-PAPNSM-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,12,τέ,τέ,C-.--------,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,13,τά,ὁ,RA.----APN-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,14,πάντα,πᾶς,A-.----APN-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,15,τῷ,ὁ,RA.----DSN-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,16,ῥήματι,ῥῆμα,N-.----DSN-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,17,τῆς,ὁ,RA.----GSF-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,18,δυνάμεως,δύναμις,N-.----GSF-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,19,διά,διά,P-.--------,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,20,αὑτοῦ,ἑαυτοῦ,RP.----GSM-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,21,καθαρισμόν,καθαρισμός,N-.----ASM-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,22,τῶν,ὁ,RA.----GPF-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,23,ἁμαρτιῶν,ἁμαρτία,N-.----GPF-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,24,ποιησάμενος,ποιέω,V-.-AMPNSM-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,25,ἐκάθισε(ν),καθίζω,V-.3AAI-S--,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,26,ἐν,ἐν,P-.--------,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,27,δεξιᾷ,δεξιός,A-.----DSF-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,28,τῆς,ὁ,RA.----GSF-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,29,μεγαλωσύνης,μεγαλωσύνη,N-.----GSF-,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,30,ἐν,ἐν,P-.--------,,SBLGNT,GNT
58,Hebrews,1,3,Hebrews 1:3,31,ὑψηλοῖς,ὑψηλός,A-.----DPM-,,SBLGNT,GNT
58,Hebrews,1,4,Hebrews 1:4,1,τοσούτῳ,τοσοῦτος,RD.----DSN-,,SBLGNT,GNT
58,Hebrews,1,4,Hebrews 1:4,2,κρείττων,κρείττων,A-.----NSMC,,SBLGNT,GNT
58,Hebrews,1,4,Hebrews 1:4,3,γενόμενος,γίνομαι,V-.-AMPNSM-,,SBLGNT,GNT
58,Hebrews,1,4,Hebrews 1:4,4,τῶν,ὁ,RA.----GPM-,,SBLGNT,GNT
58,Hebrews,1,4,Hebrews 1:4,5,ἀγγέλων,ἄγγελος,N-.----GPM-,,SBLGNT,GNT
58,Hebrews,1,4,Hebrews 1:4,6,ὅσῳ,ὅσος,RR.----DSN-,,SBLGNT,GNT
58,Hebrews,1,4,Hebrews 1:4,7,διαφορώτερον,διάφορος,A-.----ASNC,,SBLGNT,GNT
58,Hebrews,1,4,Hebrews 1:4,8,παρά,παρά,P-.--------,,SBLGNT,GNT
58,Hebrews,1,4,Hebrews 1:4,9,αὐτούς,αὐτός,RP.----APM-,,SBLGNT,GNT
58,Hebrews,1,4,Hebrews 1:4,10,κεκληρονόμηκε(ν),κληρονομέω,V-.3XAI-S--,,SBLGNT,GNT
58,Hebrews,1,4,Hebrews 1:4,11,ὄνομα,ὄνομα,N-.----ASN-,,SBLGNT,GNT
58,Hebrews,1,5,Hebrews 1:5,1,τίνι,τίς,RI.----DSM-,,SBLGNT,GNT
58,Hebrews,1,5,Hebrews 1:5,2,γάρ,γάρ,C-.--------,,SBLGNT,GNT
58,Hebrews,1,5,Hebrews 1:5,3,εἶπε(ν),λέγω,V-.3AAI-S--,,SBLGNT,GNT
58,Hebrews,1,5,Hebrews 1:5,4,ποτέ,ποτέ,D-.--------,,SBLGNT,GNT
