book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
59,James,1,1,James 1:1,1,Ἰάκωβος,Ἰάκωβος,N-.----NSM-,,SBLGNT,GNT
59,James,1,1,James 1:1,2,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
59,James,1,1,James 1:1,3,καί,καί,C-.--------,,SBLGNT,GNT
59,James,1,1,James 1:1,4,κυρίου,κύριος,N-.----GSM-,,SBLGNT,GNT
59,James,1,1,James 1:1,5,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
59,James,1,1,James 1:1,6,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
59,James,1,1,James 1:1,7,δοῦλος,δοῦλος,N-.----NSM-,,SBLGNT,GNT
59,James,1,1,James 1:1,8,ταῖς,ὁ,RA.----DPF-,,SBLGNT,GNT
59,James,1,1,James 1:1,9,δώδεκα,δώδεκα,A-.----DPF-,,SBLGNT,GNT
59,James,1,1,James 1:1,10,φυλαῖς,φυλή,N-.----DPF-,,SBLGNT,GNT
59,James,1,1,James 1:1,11,ταῖς,ὁ,RA.----DPF-,,SBLGNT,GNT
59,James,1,1,James 1:1,12,ἐν,ἐν,P-.--------,,SBLGNT,GNT
59,James,1,1,James 1:1,13,τῇ,ὁ,RA.----DSF-,,SBLGNT,GNT
59,James,1,1,James 1:1,14,διασπορᾷ,διασπορά,N-.----DSF-,,SBLGNT,GNT
59,James,1,1,James 1:1,15,χαίρειν,χαίρω,V-.-PAN----,,SBLGNT,GNT
59,James,1,2,James 1:2,1,πᾶσαν,πᾶς,A-.----ASF-,,SBLGNT,GNT
59,James,1,2,James 1:2,2,χαράν,χαρά,N-.----ASF-,,SBLGNT,GNT
59,James,1,2,James 1:2,3,ἡγήσασθε,ἡγέομαι,V-.2AMD-P--,,SBLGNT,GNT
59,James,1,2,James 1:2,4,ἀδελφοί,ἀδελφός,N-.----VPM-,,SBLGNT,GNT
59,James,1,2,James 1:2,5,μου,ἐγώ,RP.----GS--,,SBLGNT,GNT
59,James,1,2,James 1:2,6,ὅταν,ὅταν,C-.--------,,SBLGNT,GNT
59,James,1,2,James 1:2,7,πειρασμοῖς,πειρασμός,N-.----DPM-,,SBLGNT,GNT
59,James,1,2,James 1:2,8,περιπέσητε,περιπίπτω,V-.2AAS-P--,,SBLGNT,GNT
59,James,1,2,James 1:2,9,ποικίλοις,ποικίλος,A-.----DPM-,,SBLGNT,GNT
59,James,1,3,James 1:3,1,γινώσκοντες,γινώσκω,V-.-PAPNPM-,,SBLGNT,GNT
59,James,1,3,James 1:3,2,ὅτι,ὅτι,C-.--------,,SBLGNT,GNT
59,James,1,3,James 1:3,3,τό,ὁ,RA.----NSN-,,SBLGNT,GNT
59,James,1,3,James 1:3,4,δοκίμιον,δοκίμιον,N-.----NSN-,,SBLGNT,GNT
59,James,1,3,James 1:3,5,ὑμῶν,σύ,RP.----GP--,,SBLGNT,GNT
59,James,1,3,James 1:3,6,τῆς,ὁ,RA.----GSF-,,SBLGNT,GNT
59,James,1,3,James 1:3,7,πίστεως,πίστις,N-.----GSF-,,SBLGNT,GNT
