book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
43,John,1,1,John 1:1,1,ἐν,ἐν,P-.--------,,SBLGNT,GNT
43,John,1,1,John 1:1,2,ἀρχῇ,ἀρχή,N-.----DSF-,,SBLGNT,GNT
43,John,1,1,John 1:1,3,ἦν,εἰμί,V-.3IAI-S--,,SBLGNT,GNT
43,John,1,1,John 1:1,4,ὁ,ὁ,RA.----NSM-,,SBLGNT,GNT
43,John,1,1,John 1:1,5,λόγος,λόγος,N-.----NSM-,,SBLGNT,GNT
43,John,1,1,John 1:1,6,καί,καί,C-.--------,,SBLGNT,GNT
43,John,1,1,John 1:1,7,ὁ,ὁ,RA.----NSM-,,SBLGNT,GNT
43,John,1,1,John 1:1,8,λόγος,λόγος,N-.----NSM-,,SBLGNT,GNT
43,John,1,1,John 1:1,9,ἦν,εἰμί,V-.3IAI-S--,,SBLGNT,GNT
43,John,1,1,John 1:1,10,πρός,πρός,P-.--------,,SBLGNT,GNT
43,John,1,1,John 1:1,11,τόν,ὁ,RA.----ASM-,,SBLGNT,GNT
43,John,1,1,John 1:1,12,θεόν,θεός,N-.----ASM-,,SBLGNT,GNT
43,John,1,1,John 1:1,13,καί,καί,C-.--------,,SBLGNT,GNT
43,John,1,1,John 1:1,14,θεός,θεός,N-.----NSM-,,SBLGNT,GNT
43,John,1,1,John 1:1,15,ἦν,εἰμί,V-.3IAI-S--,,SBLGNT,GNT
43,John,1,1,John 1:1,16,ὁ,ὁ,RA.----NSM-,,SBLGNT,GNT
43,John,1,1,John 1:1,17,λόγος,λόγος,N-.----NSM-,,SBLGNT,GNT
43,John,1,2,John 1:2,1,οὗτος,οὗτος,RD.----NSM-,,SBLGNT,GNT
43,John,1,2,John 1:2,2,ἦν,εἰμί,V-.3IAI-S--,,SBLGNT,GNT
43,John,1,2,John 1:2,3,ἐν,ἐν,P-.--------,,SBLGNT,GNT
43,John,1,2,John 1:2,4,ἀρχῇ,ἀρχή,N-.----DSF-,,SBLGNT,GNT
