book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
65,Jude,1,1,Jude 1:1,1,Ἰούδας,Ἰούδας,N-.----NSM-,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,2,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,3,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,4,δοῦλος,δοῦλος,N-.----NSM-,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,5,ἀδελφός,ἀδελφός,N-.----NSM-,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,6,δέ,δέ,C-.--------,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,7,Ἰακώβου,Ἰάκωβος,N-.----GSM-,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,8,τοῖς,ὁ,RA.----DPM-,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,9,ἐν,ἐν,P-.--------,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,10,θεῷ,θεός,N-.----DSM-,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,11,πατρί,πατήρ,N-.----DSM-,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,12,ἠγαπημένοις,ἀγαπάω,V-.-XPPDPM-,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,13,καί,καί,C-.--------,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,14,Ἰησοῦ,Ἰησοῦς,N-.----DSM-,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,15,Χριστῷ,Χριστός,N-.----DSM-,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,16,τετηρημένοις,τηρέω,V-.-XPPDPM-,,SBLGNT,GNT
65,Jude,1,1,Jude 1:1,17,κλητοῖς,κλητός,A-.----DPM-,,SBLGNT,GNT
65,Jude,1,2,Jude 1:2,1,ἔλεος,ἔλεος,N-.----NSN-,,SBLGNT,GNT
65,Jude,1,2,Jude 1:2,2,ὑμῖν,σύ,RP.----DP--,,SBLGNT,GNT
65,Jude,1,2,Jude 1:2,3,καί,καί,C-.--------,,SBLGNT,GNT
65,Jude,1,2,Jude 1:2,4,εἰρήνη,εἰρήνη,N-.----NSF-,,SBLGNT,GNT
65,Jude,1,2,Jude 1:2,5,καί,καί,C-.--------,,SBLGNT,GNT
65,Jude,1,2,Jude 1:2,6,ἀγάπη,ἀγάπη,N-.----NSF-,,SBLGNT,GNT
65,Jude,1,2,Jude 1:2,7,πληθυνθείη,πληθύνω,V-.3APO-S--,,SBLGNT,GNT
65,Jude,1,3,Jude 1:3,1,ἀγαπητοί,ἀγαπητός,A-.----VPM-,,SBLGNT,GNT
65,Jude,1,3,Jude 1:3,2,πᾶσαν,πᾶς,A-.----ASF-,,SBLGNT,GNT
65,Jude,1,3,Jude 1:3,3,σπουδήν,σπουδή,N-.----ASF-,,SBLGNT,GNT
65,Jude,1,3,Jude 1:3,4,ποιούμενος,ποιέω,V-.-PMPNSM-,,SBLGNT,GNT
65,Jude,1,3,Jude 1:3,5,γράφειν,γράφω,V-.-PAN----,,SBLGNT,GNT
65,Jude,1,3,Jude 1:3,6,ὑμῖν,σύ,RP.----DP--,,SBLGNT,GNT
65,Jude,1,3,Jude 1:3,7,περί,περί,P-.--------,,SBLGNT,GNT
65,Jude,1,3,Jude 1:3,8,τῆς,ὁ,RA.----GSF-,,SBLGNT,GNT
65,Jude,1,3,Jude 1:3,9,κοινῆς,κοινός,A-.----GSF-,,SBLGNT,GNT
65,Jude,1,3,Jude 1:3,10,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
65,Jude,1,3,Jude 1:3,11,σωτηρίας,σωτηρία,N-.----GSF-,,SBLGNT,GNT
65,Jude,1,3,Jude 1:3,12,ἀνάγκην,ἀνάγκη,N-.----ASF-,,SBLGNT,GNT
