book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
42,Luke,1,1,Luke 1:1,1,ἐπειδήπερ,ἐπειδήπερ,C-.--------,,SBLGNT,GNT
42,Luke,1,1,Luke 1:1,2,πολλοί,πολύς,A-.----NPM-,,SBLGNT,GNT
42,Luke,1,1,Luke 1:1,3,ἐπεχείρησαν,ἐπιχειρέω,V-.3AAI-P--,,SBLGNT,GNT
42,Luke,1,1,Luke 1:1,4,ἀνατάξασθαι,ἀνατάσσομαι,V-.-AMN----,,SBLGNT,GNT
42,Luke,1,1,Luke 1:1,5,διήγησιν,διήγησις,N-.----ASF-,,SBLGNT,GNT
42,Luke,1,1,Luke 1:1,6,περί,περί,P-.--------,,SBLGNT,GNT
42,Luke,1,1,Luke 1:1,7,τῶν,ὁ,RA.----GPN-,,SBLGNT,GNT
42,Luke,1,1,Luke 1:1,8,πεπληροφορημένων,πληροφορέω,V-.-XPPGPN-,,SBLGNT,GNT
42,Luke,1,1,Luke 1:1,9,ἐν,ἐν,P-.--------,,SBLGNT,GNT
42,Luke,1,1,Luke 1:1,10,ἡμῖν,ἐγώ,RP.----DP--,,SBLGNT,GNT
42,Luke,1,1,Luke 1:1,11,πραγμάτων,πρᾶγμα,N-.----GPN-,,SBLGNT,GNT
42,Luke,1,2,Luke 1:2,1,καθώς,καθώς,C-.--------,,SBLGNT,GNT
42,Luke,1,2,Luke 1:2,2,παρέδοσαν,παραδίδωμι,V-.3AAI-P--,,SBLGNT,GNT
42,Luke,1,2,Luke 1:2,3,ἡμῖν,ἐγώ,RP.----DP--,,SBLGNT,GNT
42,Luke,1,2,Luke 1:2,4,οἱ,ὁ,RA.----NPM-,,SBLGNT,GNT
42,Luke,1,2,Luke 1:2,5,ἀπό,ἀπό,P-.--------,,SBLGNT,GNT
42,Luke,1,2,Luke 1:2,6,ἀρχῆς,ἀρχή,N-.----GSF-,,SBLGNT,GNT
