book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
41,Mark,1,1,Mark 1:1,1,ἀρχή,ἀρχή,N-.----NSF-,,SBLGNT,GNT
41,Mark,1,1,Mark 1:1,2,τοῦ,ὁ,RA.----GSN-,,SBLGNT,GNT
41,Mark,1,1,Mark 1:1,3,εὐαγγελίου,εὐαγγέλιον,N-.----GSN-,,SBLGNT,GNT
41,Mark,1,1,Mark 1:1,4,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
41,Mark,1,1,Mark 1:1,5,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,1,καθώς,καθώς,C-.--------,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,2,γέγραπται,γράφω,V-.3XPI-S--,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,3,ἐν,ἐν,P-.--------,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,4,τῷ,ὁ,RA.----DSM-,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,5,Ἠσαΐᾳ,Ἠσαΐας,N-.----DSM-,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,6,τῷ,ὁ,RA.----DSM-,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,7,προφήτῃ,προφήτης,N-.----DSM-,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,8,ἰδού,ἰδού,X-.--------,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,9,ἀποστέλλω,ἀποστέλλω,V-.1PAI-S--,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,10,τόν,ὁ,RA.----ASM-,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,11,ἄγγελον,ἄγγελος,N-.----ASM-,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,12,μου,ἐγώ,RP.----GS--,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,13,πρό,πρό,P-.--------,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,14,προσώπου,πρόσωπον,N-.----GSN-,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,15,σου,σύ,RP.----GS--,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,16,ὅς,ὅς,RR.----NSM-,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,17,κατασκευάσει,κατασκευάζω,V-.3FAI-S--,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,18,τήν,ὁ,RA.----ASF-,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,19,ὁδόν,ὁδός,N-.----ASF-,,SBLGNT,GNT
41,Mark,1,2,Mark 1:2,20,σου,σύ,RP.----GS--,,SBLGNT,GNT
41,Mark,1,3,Mark 1:3,1,φωνή,φωνή,N-.----NSF-,,SBLGNT,GNT
41,Mark,1,3,Mark 1:3,2,βοῶντος,βοάω,V-.-PAPGSM-,,SBLGNT,GNT
