book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
40,Matthew,1,1,Matthew 1:1,1,βίβλος,βίβλος,N-.----NSF-,,SBLGNT,GNT
40,Matthew,1,1,Matthew 1:1,2,γενέσεως,γένεσις,N-.----GSF-,,SBLGNT,GNT
40,Matthew,1,1,Matthew 1:1,3,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
40,Matthew,1,1,Matthew 1:1,4,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
40,Matthew,1,1,Matthew 1:1,5,υἱοῦ,υἱός,N-.----GSM-,,SBLGNT,GNT
40,Matthew,1,1,Matthew 1:1,6,Δαυίδ,Δαυίδ,N-.----GSM-,,SBLGNT,GNT
40,Matthew,1,1,Matthew 1:1,7,υἱοῦ,υἱός,N-.----GSM-,,SBLGNT,GNT
40,Matthew,1,1,Matthew 1:1,8,Ἀβραάμ,Ἀβραάμ,N-.----GSM-,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,1,Ἀβραάμ,Ἀβραάμ,N-.----NSM-,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,2,ἐγέννησε(ν),γεννάω,V-.3AAI-S--,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,3,τόν,ὁ,RA.----ASM-,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,4,Ἰσαάκ,Ἰσαάκ,N-.----ASM-,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,5,Ἰσαάκ,Ἰσαάκ,N-.----NSM-,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,6,δέ,δέ,C-.--------,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,7,ἐγέννησε(ν),γεννάω,V-.3AAI-S--,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,8,τόν,ὁ,RA.----ASM-,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,9,Ἰακώβ,Ἰακώβ,N-.----ASM-,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,10,Ἰακώβ,Ἰακώβ,N-.----NSM-,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,11,δέ,δέ,C-.--------,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,12,ἐγέννησε(ν),γεννάω,V-.3AAI-S--,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,13,τόν,ὁ,RA.----ASM-,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,14,Ἰούδαν,Ἰούδας,N-.----ASM-,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,15,καί,καί,C-.--------,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,16,τούς,ὁ,RA.----APM-,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,17,ἀδελφούς,ἀδελφός,N-.----APM-,,SBLGNT,GNT
40,Matthew,1,2,Matthew 1:2,18,αὐτοῦ,αὐτός,RP.----GSM-,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,1,Ἰούδας,Ἰούδας,N-.----NSM-,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,2,δέ,δέ,C-.--------,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,3,ἐγέννησε(ν),γεννάω,V-.3AAI-S--,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,4,τόν,ὁ,RA.----ASM-,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,5,Φαρές,Φαρές,N-.----ASM-,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,6,καί,καί,C-.--------,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,7,τόν,ὁ,RA.----ASM-,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,8,Ζάρα,Ζάρα,N-.----ASM-,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,9,ἐκ,ἐκ,P-.--------,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,10,τῆς,ὁ,RA.----GSF-,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,11,Θαμάρ,Θαμάρ,N-.----GSF-,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,12,Φαρές,Φαρές,N-.----NSM-,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,13,δέ,δέ,C-.--------,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,14,ἐγέννησε(ν),γεννάω,V-.3AAI-S--,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,15,τόν,ὁ,RA.----ASM-,,SBLGNT,GNT
40,Matthew,1,3,Matthew 1:3,16,Ἑσρώμ,Ἑσρώμ,N-.----ASM-,,SBLGNT,GNT
