book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
57,Philemon,1,1,Philemon 1:1,1,Παῦλος,Παῦλος,N-.----NSM-,,SBLGNT,GNT
57,Philemon,1,1,Philemon 1:1,2,δέσμιος,δέσμιος,N-.----NSM-,,SBLGNT,GNT
57,Philemon,1,1,Philemon 1:1,3,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
57,Philemon,1,1,Philemon 1:1,4,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
57,Philemon,1,1,Philemon 1:1,5,καί,καί,C-.--------,,SBLGNT,GNT
57,Philemon,1,1,Philemon 1:1,6,Τιμόθεος,Τιμόθεος,N-.----NSM-,,SBLGNT,GNT
57,Philemon,1,1,Philemon 1:1,7,ὁ,ὁ,RA.----NSM-,,SBLGNT,GNT
57,Philemon,1,1,Philemon 1:1,8,ἀδελφός,ἀδελφός,N-.----NSM-,,SBLGNT,GNT
57,Philemon,1,1,Philemon 1:1,9,Φιλήμονι,Φιλήμων,N-.----DSM-,,SBLGNT,GNT
57,Philemon,1,1,Philemon 1:1,10,τῷ,ὁ,RA.----DSM-,,SBLGNT,GNT
57,Philemon,1,1,Philemon 1:1,11,ἀγαπητῷ,ἀγαπητός,A-.----DSM-,,SBLGNT,GNT
57,Philemon,1,1,Philemon 1:1,12,καί,καί,C-.--------,,SBLGNT,GNT
57,Philemon,1,1,Philemon 1:1,13,συνεργῷ,συνεργός,A-.----DSM-,,SBLGNT,GNT
57,Philemon,1,1,Philemon 1:1,14,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
57,Philemon,1,2,Philemon 1:2,1,καί,καί,C-.--------,,SBLGNT,GNT
57,Philemon,1,2,Philemon 1:2,2,Ἀπφίᾳ,Ἀπφία,N-.----DSF-,,SBLGNT,GNT
57,Philemon,1,2,Philemon 1:2,3,τῇ,ὁ,RA.----DSF-,,SBLGNT,GNT
57,Philemon,1,2,Philemon 1:2,4,ἀδελφῇ,ἀδελφή,N-.----DSF-,,SBLGNT,GNT
57,Philemon,1,2,Philemon 1:2,5,καί,καί,C-.--------,,SBLGNT,GNT
57,Philemon,1,2,Philemon 1:2,6,Ἀρχίππῳ,Ἄρχιππος,N-.----DSM-,,SBLGNT,GNT
57,Philemon,1,2,Philemon 1:2,7,τῷ,ὁ,RA.----DSM-,,SBLGNT,GNT
57,Philemon,1,2,Philemon 1:2,8,συστρατιώτῃ,συστρατιώτης,N-.----DSM-,,SBLGNT,GNT
57,Philemon,1,2,Philemon 1:2,9,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
57,Philemon,1,2,Philemon 1:2,10,καί,καί,C-.--------,,SBLGNT,GNT
57,Philemon,1,2,Philemon 1:2,11,τῇ,ὁ,RA.----DSF-,,SBLGNT,GNT
57,Philemon,1,2,Philemon 1:2,12,κατά,κατά,P-.--------,,SBLGNT,GNT
57,Philemon,1,2,Philemon 1:2,13,οἶκον,οἶκος,N-.----ASM-,,SBLGNT,GNT
57,Philemon,1,2,Philemon 1:2,14,σου,σύ,RP.----GS--,,SBLGNT,GNT
57,Philemon,1,2,Philemon 1:2,15,ἐκκλησίᾳ,ἐκκλησία,N-.----DSF-,,SBLGNT,GNT
57,Philemon,1,3,Philemon 1:3,1,χάρις,χάρις,N-.----NSF-,,SBLGNT,GNT
57,Philemon,1,3,Philemon 1:3,2,ὑμῖν,σύ,RP.----DP--,,SBLGNT,GNT
57,Philemon,1,3,Philemon 1:3,3,καί,καί,C-.--------,,SBLGNT,GNT
57,Philemon,1,3,Philemon 1:3,4,εἰρήνη,εἰρήνη,N-.----NSF-,,SBLGNT,GNT
57,Philemon,1,3,Philemon 1:3,5,ἀπό,ἀπό,P-.--------,,SBLGNT,GNT
57,Philemon,1,3,Philemon 1:3,6,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
57,Philemon,1,3,Philemon 1:3,7,πατρός,πατήρ,N-.----GSM-,,SBLGNT,GNT
57,Philemon,1,3,Philemon 1:3,8,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
