book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
50,Philippians,1,1,Philippians 1:1,1,Παῦλος,Παῦλος,N-.----NSM-,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,2,καί,καί,C-.--------,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,3,Τιμόθεος,Τιμόθεος,N-.----NSM-,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,4,δοῦλοι,δοῦλος,N-.----NPM-,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,5,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,6,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,7,πᾶσι(ν),πᾶς,A-.----DPM-,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,8,τοῖς,ὁ,RA.----DPM-,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,9,ἁγίοις,ἅγιος,A-.----DPM-,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,10,ἐν,ἐν,P-.--------,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,11,Χριστῷ,Χριστός,N-.----DSM-,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,12,Ἰησοῦ,Ἰησοῦς,N-.----DSM-,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,13,τοῖς,ὁ,RA.----DPM-,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,14,οὖσι(ν),εἰμί,V-.-PAPDPM-,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,15,ἐν,ἐν,P-.--------,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,16,Φιλίπποις,Φίλιπποι,N-.----DPM-,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,17,σύν,σύν,P-.--------,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,18,ἐπισκόποις,ἐπίσκοπος,N-.----DPM-,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,19,καί,καί,C-.--------,,SBLGNT,GNT
50,Philippians,1,1,Philippians 1:1,20,διακόνοις,διάκονος,N-.----DPM-,,SBLGNT,GNT
50,Philippians,1,2,Philippians 1:2,1,χάρις,χάρις,N-.----NSF-,,SBLGNT,GNT
50,Philippians,1,2,Philippians 1:2,2,ὑμῖν,σύ,RP.----DP--,,SBLGNT,GNT
50,Philippians,1,2,Philippians 1:2,3,καί,καί,C-.--------,,SBLGNT,GNT
50,Philippians,1,2,Philippians 1:2,4,εἰρήνη,εἰρήνη,N-.----NSF-,,SBLGNT,GNT
50,Philippians,1,2,Philippians 1:2,5,ἀπό,ἀπό,P-.--------,,SBLGNT,GNT
50,Philippians,1,2,Philippians 1:2,6,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
50,Philippians,1,2,Philippians 1:2,7,πατρός,πατήρ,N-.----GSM-,,SBLGNT,GNT
50,Philippians,1,2,Philippians 1:2,8,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
50,Philippians,1,2,Philippians 1:2,9,καί,καί,C-.--------,,SBLGNT,GNT
50,Philippians,1,2,Philippians 1:2,10,κυρίου,κύριος,N-.----GSM-,,SBLGNT,GNT
50,Philippians,1,2,Philippians 1:2,11,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
50,Philippians,1,2,Philippians 1:2,12,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
50,Philippians,1,3,Philippians 1:3,1,εὐχαριστῶ,εὐχαριστέω,V-.1PAI-S--,,SBLGNT,GNT
50,Philippians,1,3,Philippians 1:3,2,τῷ,ὁ,RA.----DSM-,,SBLGNT,GNT
50,Philippians,1,3,Philippians 1:3,3,θεῷ,θεός,N-.----DSM-,,SBLGNT,GNT
50,Philippians,1,3,Philippians 1:3,4,μου,ἐγώ,RP.----GS--,,SBLGNT,GNT
50,Philippians,1,3,Philippians 1:3,5,ἐπί,ἐπί,P-.--------,,SBLGNT,GNT
50,Philippians,1,3,Philippians 1:3,6,πάσῃ,πᾶς,A-.----DSF-,,SBLGNT,GNT
50,Philippians,1,3,Philippians 1:3,7,τῇ,ὁ,RA.----DSF-,,SBLGNT,GNT
50,Philippians,1,3,Philippians 1:3,8,μνείᾳ,μνεία,N-.----DSF-,,SBLGNT,GNT
50,Philippians,1,3,Philippians 1:3,9,ὑμῶν,σύ,RP.----GP--,,SBLGNT,GNT
50,Philippians,1,4,Philippians 1:4,1,πάντοτε,πάντοτε,D-.--------,,SBLGNT,GNT
50,Philippians,1,4,Philippians 1:4,2,ἐν,ἐν,P-.--------,,SBLGNT,GNT
50,Philippians,1,4,Philippians 1:4,3,πάσῃ,πᾶς,A-.----DSF-,,SBLGNT,GNT
50,Philippians,1,4,Philippians 1:4,4,δεήσει,δέησις,N-.----DSF-,,SBLGNT,GNT
50,Philippians,1,4,Philippians 1:4,5,μου,ἐγώ,RP.----GS--,,SBLGNT,GNT
