book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
66,Revelation,1,1,Revelation 1:1,1,ἀποκάλυψις,ἀποκάλυψις,N-.----NSF-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,2,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,3,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,4,ἥν,ὅς,RR.----ASF-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,5,ἔδωκε(ν),δίδωμι,V-.3AAI-S--,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,6,αὐτῷ,αὐτός,RP.----DSM-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,7,ὁ,ὁ,RA.----NSM-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,8,θεός,θεός,N-.----NSM-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,9,δεῖξαι,δείκνυμι,V-.-AAN----,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,10,τοῖς,ὁ,RA.----DPM-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,11,δούλοις,δοῦλος,N-.----DPM-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,12,αὐτοῦ,αὐτός,RP.----GSM-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,13,ἅ,ὅς,RR.----APN-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,14,δεῖ,δέω,V-.3PAI-S--,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,15,γενέσθαι,γίνομαι,V-.-AMN----,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,16,ἐν,ἐν,P-.--------,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,17,τάχει,τάχος,N-.----DSN-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,18,καί,καί,C-.--------,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,19,ἐσήμανε(ν),σημαίνω,V-.3AAI-S--,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,20,ἀποστείλας,ἀποστέλλω,V-.-AAPNSM-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,21,διά,διά,P-.--------,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,22,τοῦ,ὁ,RA.----GSM-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,23,ἀγγέλου,ἄγγελος,N-.----GSM-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,24,αὐτοῦ,αὐτός,RP.----GSM-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,25,τῷ,ὁ,RA.----DSM-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,26,δούλῳ,δοῦλος,N-.----DSM-,,SBLGNT,GNT
66,Revelation,1,1,Revelation 1:1,27,αὐτοῦ,αὐτός,RP.----GSM-,,SBLGNT,GNT
