book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
45,Romans,1,1,Romans 1:1,1,Παῦλος,Παῦλος,N-.----NSM-,,SBLGNT,GNT
45,Romans,1,1,Romans 1:1,2,δοῦλος,δοῦλος,N-.----NSM-,,SBLGNT,GNT
45,Romans,1,1,Romans 1:1,3,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
45,Romans,1,1,Romans 1:1,4,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
45,Romans,1,1,Romans 1:1,5,κλητός,κλητός,A-.----NSM-,,SBLGNT,GNT
45,Romans,1,1,Romans 1:1,6,ἀπόστολος,ἀπόστολος,N-.----NSM-,,SBLGNT,GNT
45,Romans,1,1,Romans 1:1,7,ἀφωρισμένος,ἀφορίζω,V-.-XPPNSM-,,SBLGNT,GNT
45,Romans,1,1,Romans 1:1,8,εἰς,εἰς,P-.--------,,SBLGNT,GNT
45,Romans,1,1,Romans 1:1,9,εὐαγγέλιον,εὐαγγέλιον,N-.----ASN-,,SBLGNT,GNT
45,Romans,1,1,Romans 1:1,10,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
45,Romans,1,2,Romans 1:2,1,ὅ,ὅς,RR.----ASN-,,SBLGNT,GNT
45,Romans,1,2,Romans 1:2,2,προεπηγγείλατο,προεπαγγέλλομαι,V-.3AMI-S--,,SBLGNT,GNT
45,Romans,1,2,Romans 1:2,3,διά,διά,P-.--------,,SBLGNT,GNT
45,Romans,1,2,Romans 1:2,4,τῶν,ὁ,RA.----GPM-,,SBLGNT,GNT
45,Romans,1,2,Romans 1:2,5,προφητῶν,προφήτης,N-.----GPM-,,SBLGNT,GNT
45,Romans,1,2,Romans 1:2,6,αὐτοῦ,αὐτός,RP.----GSM-,,SBLGNT,GNT
45,Romans,1,2,Romans 1:2,7,ἐν,ἐν,P-.--------,,SBLGNT,GNT
45,Romans,1,2,Romans 1:2,8,γραφαῖς,γραφή,N-.----DPF-,,SBLGNT,GNT
45,Romans,1,2,Romans 1:2,9,ἁγίαις,ἅγιος,A-.----DPF-,,SBLGNT,GNT
45,Romans,1,3,Romans 1:3,1,περί,περί,P-.--------,,SBLGNT,GNT
45,Romans,1,3,Romans 1:3,2,τοῦ,ὁ,RA.----GSM-,,SBLGNT,GNT
45,Romans,1,3,Romans 1:3,3,υἱοῦ,υἱός,N-.----GSM-,,SBLGNT,GNT
45,Romans,1,3,Romans 1:3,4,αὐτοῦ,αὐτός,RP.----GSM-,,SBLGNT,GNT
45,Romans,1,3,Romans 1:3,5,τοῦ,ὁ,RA.----GSM-,,SBLGNT,GNT
45,Romans,1,3,Romans 1:3,6,γενομένου,γίνομαι,V-.-AMPGSM-,,SBLGNT,GNT
45,Romans,1,3,Romans 1:3,7,ἐκ,ἐκ,P-.--------,,SBLGNT,GNT
45,Romans,1,3,Romans 1:3,8,σπέρματος,σπέρμα,N-.----GSN-,,SBLGNT,GNT
45,Romans,1,3,Romans 1:3,9,Δαυίδ,Δαυίδ,N-.----GSM-,,SBLGNT,GNT
45,Romans,1,3,Romans 1:3,10,κατά,κατά,P-.--------,,SBLGNT,GNT
45,Romans,1,3,Romans 1:3,11,σάρκα,σάρξ,N-.----ASF-,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,1,τοῦ,ὁ,RA.----GSM-,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,2,ὁρισθέντος,ὁρίζω,V-.-APPGSM-,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,3,υἱοῦ,υἱός,N-.----GSM-,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,4,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,5,ἐν,ἐν,P-.--------,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,6,δυνάμει,δύναμις,N-.----DSF-,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,7,κατά,κατά,P-.--------,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,8,πνεῦμα,πνεῦμα,N-.----ASN-,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,9,ἁγιωσύνης,ἁγιωσύνη,N-.----GSF-,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,10,ἐκ,ἐκ,P-.--------,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,11,ἀναστάσεως,ἀνάστασις,N-.----GSF-,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,12,νεκρῶν,νεκρός,A-.----GPM-,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,13,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,14,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,15,τοῦ,ὁ,RA.----GSM-,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,16,κυρίου,κύριος,N-.----GSM-,,SBLGNT,GNT
45,Romans,1,4,Romans 1:4,17,ἡμῶν,ἐγώ,RP.----GP--,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,1,διά,διά,P-.--------,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,2,οὗ,ὅς,RR.----GSM-,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,3,ἐλάβομεν,λαμβάνω,V-.1AAI-P--,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,4,χάριν,χάρις,N-.----ASF-,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,5,καί,καί,C-.--------,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,6,ἀποστολήν,ἀποστολή,N-.----ASF-,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,7,εἰς,εἰς,P-.--------,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,8,ὑπακοήν,ὑπακοή,N-.----ASF-,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,9,πίστεως,πίστις,N-.----GSF-,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,10,ἐν,ἐν,P-.--------,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,11,πᾶσι(ν),πᾶς,A-.----DPN-,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,12,τοῖς,ὁ,RA.----DPN-,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,13,ἔθνεσι(ν),ἔθνος,N-.----DPN-,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,14,ὑπέρ,ὑπέρ,P-.--------,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,15,τοῦ,ὁ,RA.----GSN-,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,16,ὀνόματος,ὄνομα,N-.----GSN-,,SBLGNT,GNT
45,Romans,1,5,Romans 1:5,17,αὐτοῦ,αὐτός,RP.----GSM-,,SBLGNT,GNT
45,Romans,1,6,Romans 1:6,1,ἐν,ἐν,P-.--------,,SBLGNT,GNT
45,Romans,1,6,Romans 1:6,2,οἷς,ὅς,RR.----DPN-,,SBLGNT,GNT
45,Romans,1,6,Romans 1:6,3,ἐστέ,εἰμί,V-.2PAI-P--,,SBLGNT,GNT
45,Romans,1,6,Romans 1:6,4,καί,καί,D-.--------,,SBLGNT,GNT
45,Romans,1,6,Romans 1:6,5,ὑμεῖς,σύ,RP.----NP--,,SBLGNT,GNT
45,Romans,1,6,Romans 1:6,6,κλητοί,κλητός,A-.----NPM-,,SBLGNT,GNT
45,Romans,1,6,Romans 1:6,7,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
45,Romans,1,6,Romans 1:6,8,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
45,Romans,1,7,Romans 1:7,1,πᾶσι(ν),πᾶς,A-.----DPM-,,SBLGNT,GNT
45,Romans,1,7,Romans 1:7,2,τοῖς,ὁ,RA.----DPM-,,SBLGNT,GNT
45,Romans,1,7,Romans 1:7,3,οὖσι(ν),εἰμί,V-.-PAPDPM-,,SBLGNT,GNT
45,Romans,1,7,Romans 1:7,4,ἐν,ἐν,P-.--------,,SBLGNT,GNT
45,Romans,1,7,Romans 1:7,5,Ῥώμῃ,Ῥώμη,N-.----DSF-,,SBLGNT,GNT
45,Romans,1,7,Romans 1:7,6,ἀγαπητοῖς,ἀγαπητός,A-.----DPM-,,SBLGNT,GNT
45,Romans,1,7,Romans 1:7,7,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
45,Romans,1,7,Romans 1:7,8,κλητοῖς,κλητός,A-.----DPM-,,SBLGNT,GNT
45,Romans,1,7,Romans 1:7,9,ἁγίοις,ἅγιος,A-.----DPM-,,SBLGNT,GNT
45,Romans,1,7,Romans 1:7,10,χάρις,χάρις,N-.----NSF-,,SBLGNT,GNT
45,Romans,1,7,Romans 1:7,11,ὑμῖν,σύ,RP.----DP--,,SBLGNT,GNT
45,Romans,1,7,Romans 1:7,12,καί,καί,C-.--------,,SBLGNT,GNT
45,Romans,1,7,Romans 1:7,13,εἰρήνη,εἰρήνη,N-.----NSF-,,SBLGNT,GNT
45,Romans,1,7,Romans 1:7,14,ἀπό,ἀπό,P-.--------,,SBLGNT,GNT
45,Romans,1,7,Romans 1:7,15,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
