book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
56,Titus,1,1,Titus 1:1,1,Παῦλος,Παῦλος,N-.----NSM-,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,2,δοῦλος,δοῦλος,N-.----NSM-,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,3,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,4,ἀπόστολος,ἀπόστολος,N-.----NSM-,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,5,δέ,δέ,C-.--------,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,6,Ἰησοῦ,Ἰησοῦς,N-.----GSM-,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,7,Χριστοῦ,Χριστός,N-.----GSM-,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,8,κατά,κατά,P-.--------,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,9,πίστιν,πίστις,N-.----ASF-,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,10,ἐκλεκτῶν,ἐκλεκτός,A-.----GPM-,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,11,θεοῦ,θεός,N-.----GSM-,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,12,καί,καί,C-.--------,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,13,ἐπίγνωσιν,ἐπίγνωσις,N-.----ASF-,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,14,ἀληθείας,ἀλήθεια,N-.----GSF-,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,15,τῆς,ὁ,RA.----GSF-,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,16,κατά,κατά,P-.--------,,SBLGNT,GNT
56,Titus,1,1,Titus 1:1,17,εὐσέβειαν,εὐσέβεια,N-.----ASF-,,SBLGNT,GNT
56,Titus,1,2,Titus 1:2,1,ἐπί,ἐπί,P-.--------,,SBLGNT,GNT
56,Titus,1,2,Titus 1:2,2,ἐλπίδι,ἐλπίς,N-.----DSF-,,SBLGNT,GNT
56,Titus,1,2,Titus 1:2,3,ζωῆς,ζωή,N-.----GSF-,,SBLGNT,GNT
56,Titus,1,2,Titus 1:2,4,αἰωνίου,αἰώνιος,A-.----GSF-,,SBLGNT,GNT
56,Titus,1,2,Titus 1:2,5,ἥν,ὅς,RR.----ASF-,,SBLGNT,GNT
56,Titus,1,2,Titus 1:2,6,ἐπηγγείλατο,ἐπαγγέλλομαι,V-.3AMI-S--,,SBLGNT,GNT
56,Titus,1,2,Titus 1:2,7,ὁ,ὁ,RA.----NSM-,,SBLGNT,GNT
56,Titus,1,2,Titus 1:2,8,ἀψευδής,ἀψευδής,A-.----NSM-,,SBLGNT,GNT
56,Titus,1,2,Titus 1:2,9,θεός,θεός,N-.----NSM-,,SBLGNT,GNT
56,Titus,1,2,Titus 1:2,10,πρό,πρό,P-.--------,,SBLGNT,GNT
56,Titus,1,2,Titus 1:2,11,χρόνων,χρόνος,N-.----GPM-,,SBLGNT,GNT
56,Titus,1,2,Titus 1:2,12,αἰωνίων,αἰώνιος,A-.----GPM-,,SBLGNT,GNT
