book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
14,2 Chronicles,1,1,2 Chronicles 1:1,1,καὶ,καί,C,G2532,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,2,ἐνίσχυσεν,ἐνισχύω,V.AAI3S,G1765,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,3,Σαλωμων,Σαλωμών,N.NSM,,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,4,υἱὸς,υἱός,N.NSM,G5207,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,5,Δαυιδ,Δαβίδ,N.GSM,G1138,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,6,ἐπὶ,ἐπί,P,G1909,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,7,τὴν,ὁ,RA.ASF,G3588,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,8,βασιλείαν,βασιλεία,N.ASF,G932,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,9,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,10,καὶ,καί,C,G2532,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,11,κύριος,κύριος,N.NSM,G2962,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,12,ὁ,ὁ,RA.NSM,G3588,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,13,θεὸς,θεός,N.NSM,G2316,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,14,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,15,μετ᾿,μετά,P,G3326,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,16,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,17,καὶ,καί,C,G2532,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,18,ἐμεγάλυνεν,μεγαλύνω,V.AAI3S,G3170,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,19,αὐτὸν,αὐτός,RD.ASM,G846,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,20,εἰς,εἰς,P,G1519,Rahlfs,LXX
14,2 Chronicles,1,1,2 Chronicles 1:1,21,ὕψος,ὕψος,N.ASN,G5311,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,1,καὶ,καί,C,G2532,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,2,εἶπεν,ἔπω,V.AAI3S,G2036,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,3,Σαλωμων,Σαλωμών,N.NSM,,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,4,πρὸς,πρός,P,G4314,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,5,πάντα,πᾶς,A.ASM,G3956,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,6,Ισραηλ,Ἰσραήλ,N.ASM,G2474,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,7,τοῖς,ὁ,RA.DPM,G3588,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,8,χιλιάρχοις,χιλίαρχος,N.DPM,G5506,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,9,καὶ,καί,C,G2532,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,10,τοῖς,ὁ,RA.DPM,G3588,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,11,ἑκατοντάρχοις,ἑκατόνταρχος,N.DPM,,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,12,καὶ,καί,C,G2532,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,13,τοῖς,ὁ,RA.DPM,G3588,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,14,κριταῖς,κριτής,N.DPM,G2923,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,15,καὶ,καί,C,G2532,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,16,πᾶσιν,πᾶς,A.DPM,G3956,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,17,τοῖς,ὁ,RA.DPM,G3588,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,18,ἄρχουσιν,ἄρχων,N.DPM,G758,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,19,ἐναντίον,ἐναντίον,P,G1726,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,20,Ισραηλ,Ἰσραήλ,N.GSM,G2474,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,21,τοῖς,ὁ,RA.DPM,G3588,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,22,ἄρχουσι,ἄρχων,N.DPM,G758,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,23,τῶν,ὁ,RA.GPF,G3588,Rahlfs,LXX
14,2 Chronicles,1,2,2 Chronicles 1:2,24,πατριῶν,πατριά,N.GPF,G3965,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,1,καὶ,καί,C,G2532,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,2,ἐπορεύθη,πορεύομαι,V.API3S,G4198,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,3,Σαλωμων,Σαλωμών,N.NSM,,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,4,καὶ,καί,C,G2532,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,5,πᾶσα,πᾶς,A.NSF,G3956,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,6,ἡ,ὁ,RA.NSF,G3588,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,7,ἐκκλησία,ἐκκλησία,N.NSF,G1577,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,8,μετ᾿,μετά,P,G3326,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,9,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,10,εἰς,εἰς,P,G1519,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,11,τὴν,ὁ,RA.ASF,G3588,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,12,ὑψηλὴν,ὑψηλός,A.ASF,G5308,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,13,τὴν,ὁ,RA.ASF,G3588,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,14,ἐν,ἐν,P,G1722,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,15,Γαβαων,Γαβαων,N.DS,,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,16,οὗ,ὅς,RR.GSM,G3739,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,17,ἐκεῖ,ἐκεῖ,D,G1563,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,18,ἦν,εἰμί,V.IAI3S,G1510,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,19,ἡ,ὁ,RA.NSF,G3588,Rahlfs,LXX
14,2 Chronicles,1,3,2 Chronicles 1:3,20,σκηνὴ,σκηνή,N.NSF,G4633,Rahlfs,LXX
