book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
12,2 Kings,1,1,2 Kings 1:1,1,καὶ,καί,C,G2532,Rahlfs,LXX
12,2 Kings,1,1,2 Kings 1:1,2,ἠθέτησεν,ἀθετέω,V.AAI3S,G114,Rahlfs,LXX
12,2 Kings,1,1,2 Kings 1:1,3,Μωαβ,Μωαβ,N.NSF,,Rahlfs,LXX
12,2 Kings,1,1,2 Kings 1:1,4,ἐν,ἐν,P,G1722,Rahlfs,LXX
12,2 Kings,1,1,2 Kings 1:1,5,Ισραηλ,Ἰσραήλ,N.DSM,G2474,Rahlfs,LXX
12,2 Kings,1,1,2 Kings 1:1,6,μετὰ,μετά,P,G3326,Rahlfs,LXX
12,2 Kings,1,1,2 Kings 1:1,7,τὸ,ὁ,RA.ASN,G3588,Rahlfs,LXX
12,2 Kings,1,1,2 Kings 1:1,8,ἀποθανεῖν,ἀποθνήσκω,V.AAN,G599,Rahlfs,LXX
12,2 Kings,1,1,2 Kings 1:1,9,Αχααβ,Αχααβ,N.ASM,,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,1,καὶ,καί,C,G2532,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,2,ἔπεσεν,πίπτω,V.AAI3S,G4098,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,3,Οχοζιας,Οχοζιας,N.NSM,,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,4,διὰ,διά,P,G1223,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,5,τοῦ,ὁ,RA.GSM,G3588,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,6,δικτυωτοῦ,δικτυωτός,A.GSM,,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,7,τοῦ,ὁ,RA.GSM,G3588,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,8,ἐν,ἐν,P,G1722,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,9,τῷ,ὁ,RA.DSN,G3588,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,10,ὑπερῴῳ,ὑπερῷον,N.DSN,G5253,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,11,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,12,τῷ,ὁ,RA.DSM,G3588,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,13,ἐν,ἐν,P,G1722,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,14,Σαμαρείᾳ,Σαμάρεια,N.DSF,G4540,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,15,καὶ,καί,C,G2532,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,16,ἠρρώστησεν,ἀρρωστέω,V.AAI3S,,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,17,καὶ,καί,C,G2532,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,18,ἀπέστειλεν,ἀποστέλλω,V.AAI3S,G649,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,19,ἀγγέλους,ἄγγελος,N.APM,G32,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,20,καὶ,καί,C,G2532,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,21,εἶπεν,ἔπω,V.AAI3S,G2036,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,22,πρὸς,πρός,P,G4314,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,23,αὐτούς,αὐτός,RD.APM,G846,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,24,δεῦτε,δεῦτε,D,G1205,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,25,καὶ,καί,C,G2532,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,26,ἐπιζητήσατε,ἐπιζητέω,V.AAD2P,G1934,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,27,ἐν,ἐν,P,G1722,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,28,τῇ,ὁ,RA.DSF,G3588,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,29,Βααλ,Βάαλ,N.DSF,G896,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,30,μυῖαν,μυῖα,N.ASF,,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,31,θεὸν,θεός,N.ASM,G2316,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,32,Ακκαρων,Ακκαρων,N.GSF,,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,33,εἰ,εἰ,C,G1487,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,34,ζήσομαι,ζάω,V.FMI1S,G2198,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,35,ἐκ,ἐκ,P,G1537,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,36,τῆς,ὁ,RA.GSF,G3588,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,37,ἀρρωστίας,ἀρρωστία,N.GSF,,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,38,μου,μου,RP.GS,G3450,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,39,ταύτης,οὗτος,RD.GSF,G3778,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,40,καὶ,καί,C,G2532,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,41,ἐπορεύθησαν,πορεύομαι,V.API3P,G4198,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,42,ἐπερωτῆσαι,ἐπερωτάω,V.AAN,G1905,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,43,δι᾿,διά,P,G1223,Rahlfs,LXX
12,2 Kings,1,2,2 Kings 1:2,44,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,1,καὶ,καί,C,G2532,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,2,ἄγγελος,ἄγγελος,N.NSM,G32,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,3,κυρίου,κύριος,N.GSM,G2962,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,4,ἐλάλησεν,λαλέω,V.AAI3S,G2980,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,5,πρὸς,πρός,P,G4314,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,6,Ηλιου,Ηλιου,N.ASM,,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,7,τὸν,ὁ,RA.ASM,G3588,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,8,Θεσβίτην,Θεσβίτης,N.ASM,,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,9,λέγων,λέγω,V.PAPNSM,G3004,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,10,ἀναστὰς,ἀνίστημι,V.AAPNSM,G450,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,11,δεῦρο,δεῦρο,D,G1204,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,12,εἰς,εἰς,P,G1519,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,13,συνάντησιν,συνάντησις,N.ASF,G4877,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,14,τῶν,ὁ,RA.GPM,G3588,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,15,ἀγγέλων,ἄγγελος,N.GPM,G32,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,16,Οχοζιου,Οχοζιας,N.GSM,,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,17,βασιλέως,βασιλεύς,N.GSM,G935,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,18,Σαμαρείας,Σαμάρεια,N.GSF,G4540,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,19,καὶ,καί,C,G2532,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,20,λαλήσεις,λαλέω,V.FAI2S,G2980,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,21,πρὸς,πρός,P,G4314,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,22,αὐτούς,αὐτός,RD.APM,G846,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,23,εἰ,εἰ,C,G1487,Rahlfs,LXX
12,2 Kings,1,3,2 Kings 1:3,24,παρὰ,παρά,P,G3844,Rahlfs,LXX
