book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
10,2 Samuel,1,1,2 Samuel 1:1,1,καὶ,καί,C,G2532,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,2,ἐγένετο,γίνομαι,V.AMI3S,G1096,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,3,μετὰ,μετά,P,G3326,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,4,τὸ,ὁ,RA.ASN,G3588,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,5,ἀποθανεῖν,ἀποθνήσκω,V.AAN,G599,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,6,Σαουλ,Σαούλ,N.ASM,G4549,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,7,καὶ,καί,C,G2532,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,8,Δαυιδ,Δαβίδ,N.ASM,G1138,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,9,ἀνέστρεψεν,ἀναστρέφω,V.AAI3S,G390,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,10,τύπτων,τύπτω,V.PAPNSM,G5180,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,11,τὸν,ὁ,RA.ASM,G3588,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,12,Αμαληκ,Αμαληκ,N.ASM,,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,13,καὶ,καί,C,G2532,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,14,ἐκάθισεν,καθίζω,V.AAI3S,G2523,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,15,Δαυιδ,Δαβίδ,N.ASM,G1138,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,16,ἐν,ἐν,P,G1722,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,17,Σεκελακ,Σεκελακ,N.DPF,,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,18,ἡμέρας,ἡμέρα,N.APF,G2250,Rahlfs,LXX
10,2 Samuel,1,1,2 Samuel 1:1,19,δύο,δύο,M.ADF,G1417,Rahlfs,LXX
10,2 Samuel,1,2,2 Samuel 1:2,1,καὶ,καί,C,G2532,Rahlfs,LXX
10,2 Samuel,1,2,2 Samuel 1:2,2,ἐγενήθη,γίνομαι,V.API3S,G1096,Rahlfs,LXX
10,2 Samuel,1,2,2 Samuel 1:2,3,τῇ,ὁ,RA.DSF,G3588,Rahlfs,LXX
10,2 Samuel,1,2,2 Samuel 1:2,4,ἡμέρᾳ,ἡμέρα,N.DSF,G2250,Rahlfs,LXX
10,2 Samuel,1,2,2 Samuel 1:2,5,τῇ,ὁ,RA.DSF,G3588,Rahlfs,LXX
10,2 Samuel,1,2,2 Samuel 1:2,6,τρίτῃ,τρίτος,A.DSF,G5154,Rahlfs,LXX
10,2 Samuel,1,2,2 Samuel 1:2,7,καὶ,καί,C,G2532,Rahlfs,LXX
10,2 Samuel,1,2,2 Samuel 1:2,8,ἰδοὺ,ἰδού,I,G2400,Rahlfs,LXX
10,2 Samuel,1,2,2 Samuel 1:2,9,ἀνὴρ,ἀνήρ,N.NSM,G435,Rahlfs,LXX
10,2 Samuel,1,2,2 Samuel 1:2,10,ἦλθεν,ἔρχομαι,V.AAI3S,G2064,Rahlfs,LXX
10,2 Samuel,1,2,2 Samuel 1:2,11,ἐκ,ἐκ,P,G1537,Rahlfs,LXX
10,2 Samuel,1,2,2 Samuel 1:2,12,τῆς,ὁ,RA.GSF,G3588,Rahlfs,LXX
