book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
30,Amos,1,1,Amos 1:1,1,λόγοι,λόγος,RR.APM,G3056,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,2,Αμως,Ἀμώς,V.AAI3S,G301,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,3,οἳ,ὅς,P,G3739,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,4,ἐγένοντο,γίνομαι,N.ASF,G1096,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,5,ἐν,ἐν,P,G1722,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,6,νακκαριμ,νακκαριμ,N.DPF,,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,7,ἐκ,ἐκ,N.GSM,G1537,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,8,Θεκουε,Θεκουε,N.GSM,,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,9,οὓς,ὅς,N.GSM,G3739,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,10,εἶδεν,ὁράω,C,G3708,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,11,ὑπὲρ,ὑπέρ,P,G5228,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,12,Ιερουσαλημ,Ἱερουσαλήμ,N.DPF,G2419,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,13,ἐν,ἐν,N.GSM,G1722,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,14,ἡμέραις,ἡμέρα,RA.GSM,G2250,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,15,Οζιου,Ὀζίας,N.GSM,G3604,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,16,βασιλέως,βασιλεύς,N.GSM,G935,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,17,Ιουδα,Ἰουδά,N.GSM,G2448,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,18,καὶ,καί,P,G2532,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,19,ἐν,ἐν,M,G1722,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,20,ἡμέραις,ἡμέρα,N.GPN,G2250,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,21,Ιεροβοαμ,Ιεροβοαμ,RA.GSM,,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,22,τοῦ,ὁ,N.GSM,G3588,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,23,Ιωας,Ιωας,C,,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,24,βασιλέως,βασιλεύς,V.AAI3S,G935,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,25,Ισραηλ,Ἰσραήλ,N.NSM,G2474,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,26,πρὸ,πρό,P,G4253,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,27,δύο,δύο,N.GS,G1417,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,28,ἐτῶν,ἔτος,V.AMI3S,G2094,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,29,τοῦ,ὁ,C,G3588,Rahlfs,LXX
30,Amos,1,1,Amos 1:1,30,σεισμοῦ,σεισμός,P,G4578,Rahlfs,LXX
30,Amos,1,2,Amos 1:2,1,καὶ,καί,N.GSF,G2532,Rahlfs,LXX
30,Amos,1,2,Amos 1:2,2,εἶπεν,ἔπω,V.AAI3S,G2036,Rahlfs,LXX
30,Amos,1,2,Amos 1:2,3,κύριος,κύριος,N.ASF,G2962,Rahlfs,LXX
30,Amos,1,2,Amos 1:2,4,ἐκ,ἐκ,RD.GSM,G1537,Rahlfs,LXX
30,Amos,1,2,Amos 1:2,5,Σιων,Σιών,C,G4622,Rahlfs,LXX
30,Amos,1,2,Amos 1:2,6,ἐφθέγξατο,φθέγγομαι,V.AAI3P,G5350,Rahlfs,LXX
30,Amos,1,2,Amos 1:2,7,καὶ,καί,RA.NPF,G2532,Rahlfs,LXX
30,Amos,1,2,Amos 1:2,8,ἐξ,ἐκ,N.NPF,G1537,Rahlfs,LXX
30,Amos,1,2,Amos 1:2,9,Ιερουσαλημ,Ἱερουσαλήμ,RA.GPM,G2419,Rahlfs,LXX
30,Amos,1,2,Amos 1:2,10,ἔδωκεν,δίδωμι,N.GPM,G1325,Rahlfs,LXX
30,Amos,1,2,Amos 1:2,11,φωνὴν,φωνή,C,G5456,Rahlfs,LXX
30,Amos,1,2,Amos 1:2,12,αὐτοῦ,αὐτός,V.API3S,G846,Rahlfs,LXX
30,Amos,1,2,Amos 1:2,13,καὶ,καί,RA.NSF,G2532,Rahlfs,LXX
