book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
27,Daniel,1,1,Daniel 1:1,1,ἐν,ἐν,V.AAI3S,G1722,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,2,ἔτει,ἔτος,N.NSM,G2094,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,3,τρίτῳ,τρίτος,N.NSM,G5154,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,4,τῆς,ὁ,N.GSF,G3588,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,5,βασιλείας,βασιλεία,P,G932,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,6,Ιωακιμ,Ιωακιμ,N.NSF,,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,7,βασιλέως,βασιλεύς,C,G935,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,8,Ιουδα,Ἰουδά,V.IAI3S,G2448,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,9,ἦλθεν,ἔρχομαι,RD.ASF,G2064,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,10,Ναβουχοδονοσορ,Ναβουχοδονοσόρ,C,,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,11,βασιλεὺς,βασιλεύς,V.AAI3S,G935,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,12,Βαβυλῶνος,Βαβυλών,N.NSM,G897,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,13,εἰς,εἰς,P,G1519,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,14,Ιερουσαλημ,Ἱερουσαλήμ,N.DSF,G2419,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,15,καὶ,καί,RD.GSM,G2532,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,16,ἐπολιόρκει,πολιορκέω,RA.ASM,,Rahlfs,LXX
27,Daniel,1,1,Daniel 1:1,17,αὐτήν,αὐτός,N.ASM,G846,Rahlfs,LXX
27,Daniel,1,2,Daniel 1:2,1,καὶ,καί,N.ASM,G2532,Rahlfs,LXX
27,Daniel,1,2,Daniel 1:2,2,ἔδωκεν,δίδωμι,N.GSM,G1325,Rahlfs,LXX
27,Daniel,1,2,Daniel 1:2,3,κύριος,κύριος,C,G2962,Rahlfs,LXX
27,Daniel,1,2,Daniel 1:2,4,ἐν,ἐν,P,G1722,Rahlfs,LXX
27,Daniel,1,2,Daniel 1:2,5,χειρὶ,χείρ,N.GSN,G5495,Rahlfs,LXX
27,Daniel,1,2,Daniel 1:2,6,αὐτοῦ,αὐτός,RA.GPN,G846,Rahlfs,LXX
27,Daniel,1,2,Daniel 1:2,7,τὸν,ὁ,N.GPN,G3588,Rahlfs,LXX
27,Daniel,1,2,Daniel 1:2,8,Ιωακιμ,Ιωακιμ,N.GSM,,Rahlfs,LXX
27,Daniel,1,2,Daniel 1:2,9,βασιλέα,βασιλεύς,RA.GSM,G935,Rahlfs,LXX
27,Daniel,1,2,Daniel 1:2,10,Ιουδα,Ἰουδά,N.GSM,G2448,Rahlfs,LXX
27,Daniel,1,2,Daniel 1:2,11,καὶ,καί,C,G2532,Rahlfs,LXX
27,Daniel,1,2,Daniel 1:2,12,ἀπὸ,ἀπό,V.AAI3S,G575,Rahlfs,LXX
27,Daniel,1,2,Daniel 1:2,13,μέρους,μέρος,RD.APN,G3313,Rahlfs,LXX
