book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
5,Deuteronomy,1,1,Deuteronomy 1:1,1,οὗτοι,οὗτος,RD.NPM,G3778,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,2,οἱ,ὁ,RA.NPM,G3588,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,3,λόγοι,λόγος,N.NPM,G3056,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,4,οὓς,ὅς,RR.APM,G3739,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,5,ἐλάλησεν,λαλέω,V.AAI3S,G2980,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,6,Μωυσῆς,Μωσεύς,N.NSM,G3475,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,7,παντὶ,πᾶς,A.DSM,G3956,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,8,Ισραηλ,Ἰσραήλ,N.DSM,G2474,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,9,πέραν,πέραν,D,G4008,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,10,τοῦ,ὁ,RA.GSM,G3588,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,11,Ιορδάνου,Ἰορδάνης,N.GSM,G2446,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,12,ἐν,ἐν,P,G1722,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,13,τῇ,ὁ,RA.DSF,G3588,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,14,ἐρήμῳ,ἔρημος,N.DSF,G2048,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,15,πρὸς,πρός,P,G4314,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,16,δυσμαῖς,δυσμή,N.DPF,G1424,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,17,πλησίον,πλησίον,D,G4139,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,18,τῆς,ὁ,RA.GSF,G3588,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,19,ἐρυθρᾶς,ἐρυθρός,A.GSF,G2063,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,20,ἀνὰ,ἀνά,P,G303,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,21,μέσον,μέσος,A.ASM,G3319,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,22,Φαραν,Φαραν,N.GS,,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,23,Τοφολ,Τοφολ,N.GS,,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,24,καὶ,καί,C,G2532,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,25,Λοβον,Λοβον,N.GS,,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,26,καὶ,καί,C,G2532,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,27,Αυλων,Αυλων,N.GS,,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,28,καὶ,καί,C,G2532,Rahlfs,LXX
5,Deuteronomy,1,1,Deuteronomy 1:1,29,καταχρύσεα,καταχρύσεα,N,,Rahlfs,LXX
5,Deuteronomy,1,2,Deuteronomy 1:2,1,ἕνδεκα,ἕνδεκα,M,G1733,Rahlfs,LXX
5,Deuteronomy,1,2,Deuteronomy 1:2,2,ἡμερῶν,ἡμέρα,N.GPF,G2250,Rahlfs,LXX
5,Deuteronomy,1,2,Deuteronomy 1:2,3,ἐν,ἐν,P,G1722,Rahlfs,LXX
5,Deuteronomy,1,2,Deuteronomy 1:2,4,Χωρηβ,Χωρηβ,N.DSF,,Rahlfs,LXX
5,Deuteronomy,1,2,Deuteronomy 1:2,5,ὁδὸς,ὁδός,N.NSF,G3598,Rahlfs,LXX
5,Deuteronomy,1,2,Deuteronomy 1:2,6,ἐπ᾿,ἐπί,P,G1909,Rahlfs,LXX
5,Deuteronomy,1,2,Deuteronomy 1:2,7,ὄρος,ὄρος,N.ASN,G3735,Rahlfs,LXX
5,Deuteronomy,1,2,Deuteronomy 1:2,8,Σηιρ,Σηιρ,N.GSN,,Rahlfs,LXX
5,Deuteronomy,1,2,Deuteronomy 1:2,9,ἕως,ἕως,P,G2193,Rahlfs,LXX
5,Deuteronomy,1,2,Deuteronomy 1:2,10,Καδης,Καδης,N.GS,,Rahlfs,LXX
5,Deuteronomy,1,2,Deuteronomy 1:2,11,Βαρνη,Βαρνη,N.GS,,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,1,καὶ,καί,C,G2532,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,2,ἐγενήθη,γίνομαι,V.API3S,G1096,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,3,ἐν,ἐν,P,G1722,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,4,τῷ,ὁ,RA.DSN,G3588,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,5,τεσσαρακοστῷ,τεσσαρακοστός,A.DSN,,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,6,ἔτει,ἔτος,N.DSN,G2094,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,7,ἐν,ἐν,P,G1722,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,8,τῷ,ὁ,RA.DSM,G3588,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,9,ἑνδεκάτῳ,ἑνδέκατος,A.DSM,G1734,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,10,μηνὶ,μήν,N.DSM,G3376,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,11,μιᾷ,εἷς,A.DSF,G1520,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,12,τοῦ,ὁ,RA.GSM,G3588,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,13,μηνὸς,μήν,N.GSM,G3376,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,14,ἐλάλησεν,λαλέω,V.AAI3S,G2980,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,15,Μωυσῆς,Μωσεύς,N.NSM,G3475,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,16,πρὸς,πρός,P,G4314,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,17,πάντας,πᾶς,A.APM,G3956,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,18,υἱοὺς,υἱός,N.APM,G5207,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,19,Ισραηλ,Ἰσραήλ,N.GSM,G2474,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,20,κατὰ,κατά,P,G2596,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,21,πάντα,πᾶς,A.APN,G3956,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,22,ὅσα,ὅσος,A.APN,G3745,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,23,ἐνετείλατο,ἐντέλλομαι,V.AMI3S,G1781,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,24,κύριος,κύριος,N.NSM,G2962,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,25,αὐτῷ,αὐτός,RD.DSM,G846,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,26,πρὸς,πρός,P,G4314,Rahlfs,LXX
5,Deuteronomy,1,3,Deuteronomy 1:3,27,αὐτούς,αὐτός,RD.APM,G846,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,1,μετὰ,μετά,P,G3326,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,2,τὸ,ὁ,RA.ASN,G3588,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,3,πατάξαι,πατάσσω,V.AAN,G3960,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,4,Σηων,Σηων,N.ASM,,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,5,βασιλέα,βασιλεύς,N.ASM,G935,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,6,Αμορραίων,Ἀμορραῖος,N.GPM,,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,7,τὸν,ὁ,RA.ASM,G3588,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,8,κατοικήσαντα,κατοικέω,V.AAPASM,G2730,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,9,ἐν,ἐν,P,G1722,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,10,Εσεβων,Εσεβων,N.DS,,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,11,καὶ,καί,C,G2532,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,12,Ωγ,Ωγ,N.ASM,,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,13,βασιλέα,βασιλεύς,N.ASM,G935,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,14,τῆς,ὁ,RA.GSF,G3588,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,15,Βασαν,Βασαν,N.GS,,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,16,τὸν,ὁ,RA.ASM,G3588,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,17,κατοικήσαντα,κατοικέω,V.AAPASM,G2730,Rahlfs,LXX
5,Deuteronomy,1,4,Deuteronomy 1:4,18,ἐν,ἐν,P,G1722,Rahlfs,LXX
