book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
21,Ecclesiastes,1,1,Ecclesiastes 1:1,1,ῥήματα,ῥῆμα,N.NPN,G4487,Rahlfs,LXX
21,Ecclesiastes,1,1,Ecclesiastes 1:1,2,Ἐκκλησιαστοῦ,Ἐκκλησιαστής,N.GSM,,Rahlfs,LXX
21,Ecclesiastes,1,1,Ecclesiastes 1:1,3,υἱοῦ,υἱός,N.GSM,G5207,Rahlfs,LXX
21,Ecclesiastes,1,1,Ecclesiastes 1:1,4,Δαυιδ,Δαβίδ,N.GSM,G1138,Rahlfs,LXX
21,Ecclesiastes,1,1,Ecclesiastes 1:1,5,βασιλέως,βασιλεύς,N.GSM,G935,Rahlfs,LXX
21,Ecclesiastes,1,1,Ecclesiastes 1:1,6,Ισραηλ,Ἰσραήλ,N.GSM,G2474,Rahlfs,LXX
21,Ecclesiastes,1,1,Ecclesiastes 1:1,7,ἐν,ἐν,P,G1722,Rahlfs,LXX
21,Ecclesiastes,1,1,Ecclesiastes 1:1,8,Ιερουσαλημ,Ἱερουσαλήμ,N.DSF,G2419,Rahlfs,LXX
21,Ecclesiastes,1,2,Ecclesiastes 1:2,1,ματαιότης,ματαιότης,N.NSF,G3153,Rahlfs,LXX
21,Ecclesiastes,1,2,Ecclesiastes 1:2,2,ματαιοτήτων,ματαιότης,N.GPF,G3153,Rahlfs,LXX
21,Ecclesiastes,1,2,Ecclesiastes 1:2,3,εἶπεν,ἔπω,V.AAI3S,G2036,Rahlfs,LXX
21,Ecclesiastes,1,2,Ecclesiastes 1:2,4,ὁ,ὁ,RA.NSM,G3588,Rahlfs,LXX
21,Ecclesiastes,1,2,Ecclesiastes 1:2,5,Ἐκκλησιαστής,Ἐκκλησιαστής,N.NSM,,Rahlfs,LXX
21,Ecclesiastes,1,2,Ecclesiastes 1:2,6,ματαιότης,ματαιότης,N.NSM,G3153,Rahlfs,LXX
21,Ecclesiastes,1,2,Ecclesiastes 1:2,7,ματαιοτήτων,ματαιότης,N.GPF,G3153,Rahlfs,LXX
21,Ecclesiastes,1,2,Ecclesiastes 1:2,8,τὰ,ὁ,RA.NPN,G3588,Rahlfs,LXX
