book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
2,Exodus,1,1,Exodus 1:1,1,ταῦτα,οὗτος,RD.NPN,G3778,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,2,τὰ,ὁ,RA.NPN,G3588,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,3,ὀνόματα,ὄνομα,N.NPN,G3686,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,4,τῶν,ὁ,RA.GPM,G3588,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,5,υἱῶν,υἱός,N.GPM,G5207,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,6,Ισραηλ,Ἰσραήλ,N.GSM,G2474,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,7,τῶν,ὁ,RA.GPM,G3588,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,8,εἰσπεπορευμένων,εἰσπορεύομαι,V.XPPGPM,G1531,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,9,εἰς,εἰς,P,G1519,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,10,Αἴγυπτον,Αἴγυπτος,N.ASF,G125,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,11,ἅμα,ἅμα,D,G260,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,12,Ιακωβ,Ἰακώβ,N.DSM,G2384,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,13,τῷ,ὁ,RA.DSM,G3588,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,14,πατρὶ,πατήρ,N.DSM,G3962,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,15,αὐτῶν,αὐτός,RD.GPM,G846,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,16,ἕκαστος,ἕκαστος,A.NSM,G1538,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,17,πανοικίᾳ,πανοικία,N.DSF,,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,18,αὐτῶν,αὐτός,RD.GPM,G846,Rahlfs,LXX
2,Exodus,1,1,Exodus 1:1,19,εἰσήλθοσαν,εἰσέρχομαι,V.AAI3P,G1525,Rahlfs,LXX
2,Exodus,1,2,Exodus 1:2,1,Ρουβην,Ῥουβήν,N.NSM,G4502,Rahlfs,LXX
2,Exodus,1,2,Exodus 1:2,2,Συμεων,Συμεών,N.NSM,G4826,Rahlfs,LXX
2,Exodus,1,2,Exodus 1:2,3,Λευι,Λευΐ,N.NSM,G3017,Rahlfs,LXX
2,Exodus,1,2,Exodus 1:2,4,Ιουδας,Ἰούδας,N.NSM,G2455,Rahlfs,LXX
