book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
26,Ezekiel,1,1,Ezekiel 1:1,1,καὶ,καί,A.DSM,G2532,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,2,ἐγένετο,γίνομαι,N.DSM,G1096,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,3,ἐν,ἐν,A.DSF,G1722,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,4,τῷ,ὁ,RA.GSM,G3588,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,5,τριακοστῷ,τριακοστός,N.GSM,,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,6,ἔτει,ἔτος,C,G2094,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,7,ἐν,ἐν,RP.NS,G1722,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,8,τῷ,ὁ,V.IAI1S,G3588,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,9,τετάρτῳ,τέταρτος,P,G5067,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,10,μηνὶ,μήν,A.DSN,G3376,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,11,πέμπτῃ,πέμπτος,RA.GSF,G3991,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,12,τοῦ,ὁ,N.GSF,G3588,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,13,μηνὸς,μήν,P,G3376,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,14,καὶ,καί,RA.GSM,G2532,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,15,ἐγὼ,ἐγώ,N.GSM,G1473,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,16,ἤμην,εἰμί,RA.GSM,G1510,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,17,ἐν,ἐν,N.GS,G1722,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,18,μέσῳ,μέσος,C,G3319,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,19,τῆς,ὁ,V.API3P,G3588,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,20,αἰχμαλωσίας,αἰχμαλωσία,RA.NPM,G161,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,21,ἐπὶ,ἐπί,N.NPM,G1909,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,22,τοῦ,ὁ,C,G3588,Rahlfs,LXX
26,Ezekiel,1,1,Ezekiel 1:1,23,ποταμοῦ,ποταμός,V.AAI1S,G4215,Rahlfs,LXX
