book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
15,Ezra,1,1,Ezra 1:1,1,καὶ,καί,C,G2532,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,2,ἐν,ἐν,P,G1722,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,3,τῷ,ὁ,RA.DSN,G3588,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,4,πρώτῳ,πρῶτος,A.DSNS,G4413,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,5,ἔτει,ἔτος,N.DSN,G2094,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,6,Κύρου,Κῦρος,N.GSM,,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,7,τοῦ,ὁ,RA.GSM,G3588,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,8,βασιλέως,βασιλεύς,N.GSM,G935,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,9,Περσῶν,Πέρσης,N.GPM,,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,10,τοῦ,ὁ,RA.GSN,G3588,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,11,τελεσθῆναι,τελέω,V.APN,G5055,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,12,λόγον,λόγος,N.ASM,G3056,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,13,κυρίου,κύριος,N.GSM,G2962,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,14,ἀπὸ,ἀπό,P,G575,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,15,στόματος,στόμα,N.GSN,G4750,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,16,Ιερεμιου,Ἱερεμίας,N.GSM,G2408,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,17,ἐξήγειρεν,ἐξεγείρω,V.IAI3S,G1825,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,18,κύριος,κύριος,N.NSM,G2962,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,19,τὸ,ὁ,RA.ASN,G3588,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,20,πνεῦμα,πνεῦμα,N.ASN,G4151,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,21,Κύρου,Κῦρος,N.GSM,,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,22,βασιλέως,βασιλεύς,N.GSM,G935,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,23,Περσῶν,Πέρσης,N.GPM,,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,24,καὶ,καί,C,G2532,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,25,παρήγγειλεν,παραγγέλλω,V.AAI3S,G3853,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,26,φωνὴν,φωνή,N.ASF,G5456,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,27,ἐν,ἐν,P,G1722,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,28,πάσῃ,πᾶς,A.DSF,G3956,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,29,βασιλείᾳ,βασιλεία,N.DSF,G932,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,30,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,31,καί,καί,C,G2532,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,32,γε,γέ,X,G1065,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,33,ἐν,ἐν,P,G1722,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,34,γραπτῷ,γραπτόν,N.DSN,,Rahlfs,LXX
15,Ezra,1,1,Ezra 1:1,35,λέγων,λέγω,V.PAPNSM,G3004,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,1,οὕτως,οὕτως,D,G3779,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,2,εἶπεν,ἔπω,V.AAI3S,G2036,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,3,Κῦρος,Κῦρος,N.NSM,,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,4,βασιλεὺς,βασιλεύς,N.NSM,G935,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,5,Περσῶν,Πέρσης,N.GPM,,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,6,πάσας,πᾶς,A.APF,G3956,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,7,τὰς,ὁ,RA.APF,G3588,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,8,βασιλείας,βασιλεία,N.APF,G932,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,9,τῆς,ὁ,RA.GSF,G3588,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,10,γῆς,γῆ,N.GSF,G1093,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,11,ἔδωκέν,δίδωμι,V.AAI3S,G1325,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,12,μοι,μοι,RP.DS,G3427,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,13,κύριος,κύριος,N.NSM,G2962,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,14,ὁ,ὁ,RA.NSM,G3588,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,15,θεὸς,θεός,N.NSM,G2316,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,16,τοῦ,ὁ,RA.GSM,G3588,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,17,οὐρανοῦ,οὐρανός,N.GSM,G3772,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,18,καὶ,καί,C,G2532,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,19,αὐτὸς,αὐτός,RD.NSM,G846,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,20,ἐπεσκέψατο,ἐπισκέπτομαι,V.AMI3S,G1980,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,21,ἐπ᾿,ἐπί,P,G1909,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,22,ἐμὲ,ἐμέ,RP.AS,G1691,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,23,τοῦ,ὁ,RA.GSN,G3588,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,24,οἰκοδομῆσαι,οἰκοδομέω,V.AAN,G3618,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,25,αὐτῷ,αὐτός,RD.DSM,G846,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,26,οἶκον,οἶκος,N.ASM,G3624,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,27,ἐν,ἐν,P,G1722,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,28,Ιερουσαλημ,Ἱερουσαλήμ,N.DSF,G2419,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,29,τῇ,ὁ,RA.DSF,G3588,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,30,ἐν,ἐν,P,G1722,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,31,τῇ,ὁ,RA.DSF,G3588,Rahlfs,LXX
15,Ezra,1,2,Ezra 1:2,32,Ιουδαίᾳ,Ἰουδαία,N.DSF,G2449,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,1,τίς,τίς,RI.NSM,G5101,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,2,ἐν,ἐν,P,G1722,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,3,ὑμῖν,ὑμῖν,RP.DP,G5213,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,4,ἀπὸ,ἀπό,P,G575,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,5,παντὸς,πᾶς,A.GSM,G3956,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,6,τοῦ,ὁ,RA.GSM,G3588,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,7,λαοῦ,λαός,N.GSM,G2992,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,8,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,9,καὶ,καί,C,G2532,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,10,ἔσται,εἰμί,V.FMI3S,G1510,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,11,ὁ,ὁ,RA.NSM,G3588,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,12,θεὸς,θεός,N.NSM,G2316,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,13,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,14,μετ᾿,μετά,P,G3326,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,15,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,16,καὶ,καί,C,G2532,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,17,ἀναβήσεται,ἀναβαίνω,V.FMI3S,G305,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,18,εἰς,εἰς,P,G1519,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,19,Ιερουσαλημ,Ἱερουσαλήμ,N.ASF,G2419,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,20,τὴν,ὁ,RA.ASF,G3588,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,21,ἐν,ἐν,P,G1722,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,22,τῇ,ὁ,RA.DSF,G3588,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,23,Ιουδαίᾳ,Ἰουδαία,N.DSF,G2449,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,24,καὶ,καί,C,G2532,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,25,οἰκοδομησάτω,οἰκοδομέω,V.AAD3S,G3618,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,26,τὸν,ὁ,RA.ASM,G3588,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,27,οἶκον,οἶκος,N.ASM,G3624,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,28,θεοῦ,θεός,N.GSM,G2316,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,29,Ισραηλ,Ἰσραήλ,N.GSM,G2474,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,30,αὐτὸς,αὐτός,RD.NSM,G846,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,31,ὁ,ὁ,RA.NSM,G3588,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,32,θεὸς,θεός,N.NSM,G2316,Rahlfs,LXX
15,Ezra,1,3,Ezra 1:3,33,ὁ,ὁ,RA.NSM,G3588,Rahlfs,LXX
