book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
1,Genesis,1,1,Genesis 1:1,1,ἐν,ἐν,P,G1722,Rahlfs,LXX
1,Genesis,1,1,Genesis 1:1,2,ἀρχῇ,ἀρχή,N.DSF,G746,Rahlfs,LXX
1,Genesis,1,1,Genesis 1:1,3,ἐποίησεν,ποιέω,V.AAI3S,G4160,Rahlfs,LXX
1,Genesis,1,1,Genesis 1:1,4,ὁ,ὁ,RA.NSM,G3588,Rahlfs,LXX
1,Genesis,1,1,Genesis 1:1,5,θεὸς,θεός,N.NSM,G2316,Rahlfs,LXX
1,Genesis,1,1,Genesis 1:1,6,τὸν,ὁ,RA.ASM,G3588,Rahlfs,LXX
1,Genesis,1,1,Genesis 1:1,7,οὐρανὸν,οὐρανός,N.ASM,G3772,Rahlfs,LXX
1,Genesis,1,1,Genesis 1:1,8,καὶ,καί,C,G2532,Rahlfs,LXX
1,Genesis,1,1,Genesis 1:1,9,τὴν,ὁ,RA.ASF,G3588,Rahlfs,LXX
1,Genesis,1,1,Genesis 1:1,10,γῆν,γῆ,N.ASF,G1093,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,1,ἡ,ὁ,RA.NSF,G3588,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,2,δὲ,δέ,X,G1161,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,3,γῆ,γῆ,N.NSF,G1093,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,4,ἦν,εἰμί,V.IAI3S,G1510,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,5,ἀόρατος,ἀόρατος,A.NSM,G517,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,6,καὶ,καί,C,G2532,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,7,ἀκατασκεύαστος,ἀκατασκεύαστος,A.NSM,,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,8,καὶ,καί,C,G2532,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,9,σκότος,σκότος,N.NSN,G4655,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,10,ἐπάνω,ἐπάνω,P,G1883,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,11,τῆς,ὁ,RA.GSF,G3588,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,12,ἀβύσσου,ἄβυσσος,N.GSF,G12,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,13,καὶ,καί,C,G2532,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,14,πνεῦμα,πνεῦμα,N.NSN,G4151,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,15,θεοῦ,θεός,N.GSM,G2316,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,16,ἐπεφέρετο,ἐπιφέρω,V.IMI3S,G2018,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,17,ἐπάνω,ἐπάνω,P,G1883,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,18,τοῦ,ὁ,RA.GSN,G3588,Rahlfs,LXX
1,Genesis,1,2,Genesis 1:2,19,ὕδατος,ὕδωρ,N.GSN,G5204,Rahlfs,LXX
1,Genesis,1,3,Genesis 1:3,1,καὶ,καί,C,G2532,Rahlfs,LXX
1,Genesis,1,3,Genesis 1:3,2,εἶπεν,ἔπω,V.AAI3S,G2036,Rahlfs,LXX
1,Genesis,1,3,Genesis 1:3,3,ὁ,ὁ,RA.NSM,G3588,Rahlfs,LXX
1,Genesis,1,3,Genesis 1:3,4,θεός,θεός,N.NSM,G2316,Rahlfs,LXX
1,Genesis,1,3,Genesis 1:3,5,γενηθήτω,γίνομαι,V.APD3S,G1096,Rahlfs,LXX
1,Genesis,1,3,Genesis 1:3,6,φῶς,φῶς,N.NSN,G5457,Rahlfs,LXX
1,Genesis,1,3,Genesis 1:3,7,καὶ,καί,C,G2532,Rahlfs,LXX
1,Genesis,1,3,Genesis 1:3,8,ἐγένετο,γίνομαι,V.AMI3S,G1096,Rahlfs,LXX
1,Genesis,1,3,Genesis 1:3,9,φῶς,φῶς,N.NSN,G5457,Rahlfs,LXX
1,Genesis,1,4,Genesis 1:4,1,καὶ,καί,C,G2532,Rahlfs,LXX
1,Genesis,1,4,Genesis 1:4,2,εἶδεν,ὁράω,V.AAI3S,G3708,Rahlfs,LXX
1,Genesis,1,4,Genesis 1:4,3,ὁ,ὁ,RA.NSM,G3588,Rahlfs,LXX
1,Genesis,1,4,Genesis 1:4,4,θεὸς,θεός,N.NSM,G2316,Rahlfs,LXX
1,Genesis,1,4,Genesis 1:4,5,τὸ,ὁ,RA.ASN,G3588,Rahlfs,LXX
1,Genesis,1,4,Genesis 1:4,6,φῶς,φῶς,N.ASN,G5457,Rahlfs,LXX
1,Genesis,1,4,Genesis 1:4,7,ὅτι,ὅτι,C,G3754,Rahlfs,LXX
1,Genesis,1,4,Genesis 1:4,8,καλόν,καλός,A.NSN,G2570,Rahlfs,LXX
1,Genesis,1,4,Genesis 1:4,9,καὶ,καί,C,G2532,Rahlfs,LXX
1,Genesis,1,4,Genesis 1:4,10,διεχώρισεν,διαχωρίζω,V.AAI3S,G1316,Rahlfs,LXX
1,Genesis,1,4,Genesis 1:4,11,ὁ,ὁ,RA.NSM,G3588,Rahlfs,LXX
