book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
35,Habakkuk,1,1,Habakkuk 1:1,1,τὸ,ὁ,RI.GSM,G3588,Rahlfs,LXX
35,Habakkuk,1,1,Habakkuk 1:1,2,λῆμμα,λῆμμα,N.VSM,,Rahlfs,LXX
35,Habakkuk,1,1,Habakkuk 1:1,3,ὃ,ὅς,V.FMI1S,G3739,Rahlfs,LXX
35,Habakkuk,1,1,Habakkuk 1:1,4,εἶδεν,ὁράω,C,G3708,Rahlfs,LXX
35,Habakkuk,1,1,Habakkuk 1:1,5,Αμβακουμ,Αμβακουμ,D,,Rahlfs,LXX
35,Habakkuk,1,1,Habakkuk 1:1,6,ὁ,ὁ,D,G3588,Rahlfs,LXX
35,Habakkuk,1,1,Habakkuk 1:1,7,προφήτης,προφήτης,V.AAS2S,G4396,Rahlfs,LXX
35,Habakkuk,1,2,Habakkuk 1:2,1,ἕως,ἕως,V.FMI1S,G2193,Rahlfs,LXX
35,Habakkuk,1,2,Habakkuk 1:2,2,τίνος,τίς,P,G5101,Rahlfs,LXX
35,Habakkuk,1,2,Habakkuk 1:2,3,κύριε,κύριος,RP.AS,G2962,Rahlfs,LXX
35,Habakkuk,1,2,Habakkuk 1:2,4,κεκράξομαι,κράζω,V.PPPNSM,G2896,Rahlfs,LXX
35,Habakkuk,1,2,Habakkuk 1:2,5,καὶ,καί,C,G2532,Rahlfs,LXX
35,Habakkuk,1,2,Habakkuk 1:2,6,οὐ,οὐ,D,G3756,Rahlfs,LXX
35,Habakkuk,1,2,Habakkuk 1:2,7,μὴ,μή,V.FAI2S,G3361,Rahlfs,LXX
35,Habakkuk,1,2,Habakkuk 1:2,8,εἰσακούσῃς,εἰσακούω,C,G1522,Rahlfs,LXX
35,Habakkuk,1,2,Habakkuk 1:2,9,βοήσομαι,βοάω,RI.ASN,G994,Rahlfs,LXX
35,Habakkuk,1,2,Habakkuk 1:2,10,πρὸς,πρός,RP.DS,G4314,Rahlfs,LXX
35,Habakkuk,1,2,Habakkuk 1:2,11,σὲ,σέ,V.AAI2S,G4571,Rahlfs,LXX
35,Habakkuk,1,2,Habakkuk 1:2,12,ἀδικούμενος,ἀδικέω,N.APM,G91,Rahlfs,LXX
35,Habakkuk,1,2,Habakkuk 1:2,13,καὶ,καί,C,G2532,Rahlfs,LXX
35,Habakkuk,1,2,Habakkuk 1:2,14,οὐ,οὐ,N.APM,G3756,Rahlfs,LXX
35,Habakkuk,1,2,Habakkuk 1:2,15,σώσεις,σώζω,V.PAN,G4982,Rahlfs,LXX
35,Habakkuk,1,3,Habakkuk 1:3,1,ἵνα,ἵνα,N.ASF,G2443,Rahlfs,LXX
35,Habakkuk,1,3,Habakkuk 1:3,2,τί,τίς,C,G5101,Rahlfs,LXX
35,Habakkuk,1,3,Habakkuk 1:3,3,μοι,μοι,N.ASF,G3427,Rahlfs,LXX
35,Habakkuk,1,3,Habakkuk 1:3,4,ἔδειξας,δεικνύω,P,G1166,Rahlfs,LXX
35,Habakkuk,1,3,Habakkuk 1:3,5,κόπους,κόπος,A.GSF,G2873,Rahlfs,LXX
35,Habakkuk,1,3,Habakkuk 1:3,6,καὶ,καί,RP.GS,G2532,Rahlfs,LXX
35,Habakkuk,1,3,Habakkuk 1:3,7,πόνους,πόνος,V.XAI3S,G4192,Rahlfs,LXX
35,Habakkuk,1,3,Habakkuk 1:3,8,ἐπιβλέπειν,ἐπιβλέπω,N.NSF,G1914,Rahlfs,LXX
35,Habakkuk,1,3,Habakkuk 1:3,9,ταλαιπωρίαν,ταλαιπωρία,C,G5004,Rahlfs,LXX
35,Habakkuk,1,3,Habakkuk 1:3,10,καὶ,καί,RA.NSM,G2532,Rahlfs,LXX
35,Habakkuk,1,3,Habakkuk 1:3,11,ἀσέβειαν,ἀσέβεια,N.NSM,G763,Rahlfs,LXX
35,Habakkuk,1,3,Habakkuk 1:3,12,ἐξ,ἐκ,V.PAI3S,G1537,Rahlfs,LXX
35,Habakkuk,1,3,Habakkuk 1:3,13,ἐναντίας,ἐναντίος,P,G1727,Rahlfs,LXX
