book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
37,Haggai,1,1,Haggai 1:1,1,ἐν,ἐν,P,G1722,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,2,τῷ,ὁ,RA.DSM,G3588,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,3,δευτέρῳ,δεύτερος,N.DSM,G1208,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,4,ἔτει,ἔτος,RA.DSM,G2094,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,5,ἐπὶ,ἐπί,A.DSM,G1909,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,6,Δαρείου,Δαρεῖος,A.DSF,,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,7,τοῦ,ὁ,RA.GSM,G3588,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,8,βασιλέως,βασιλεύς,N.GSM,G935,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,9,ἐν,ἐν,V.AMI3S,G1722,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,10,τῷ,ὁ,N.NSM,G3588,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,11,μηνὶ,μήν,N.GSM,G3376,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,12,τῷ,ὁ,P,G3588,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,13,ἕκτῳ,ἕκτος,N.DSF,G1623,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,14,μιᾷ,εἷς,N.GSM,G1520,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,15,τοῦ,ὁ,RA.GSM,G3588,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,16,μηνὸς,μήν,N.GSM,G3376,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,17,ἐγένετο,γίνομαι,V.PAPNSM,G1096,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,18,λόγος,λόγος,V.AAD2S,G3056,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,19,κύριου,κύριος,X,G2962,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,20,ἐν,ἐν,P,G1722,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,21,χειρὶ,χείρ,N.DSM,G5495,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,22,Αγγαιου,Ἁγγαῖος,RA.ASM,,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,23,τοῦ,ὁ,RA.GSM,G3588,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,24,προφήτου,προφήτης,N.GSM,G4396,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,25,λέγων,λέγω,P,G3004,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,26,εἰπὸν,ἔπω,N.GSF,G2036,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,27,δὴ,δή,N.GSM,G1211,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,28,πρὸς,πρός,C,G4314,Rahlfs,LXX
37,Haggai,1,1,Haggai 1:1,29,Ζοροβαβελ,Ζοροβαβέλ,P,G2216,Rahlfs,LXX
