book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
28,Hosea,1,1,Hosea 1:1,1,λόγος,λόγος,N.NSM,G3056,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,2,κυρίου,κύριος,N.GSM,G2962,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,3,ὃς,ὅς,RR.NSM,G3739,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,4,ἐγενήθη,γίνομαι,V.API3S,G1096,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,5,πρὸς,πρός,P,G4314,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,6,Ωσηε,Ὡσηέ,N.ASM,G5617,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,7,τὸν,ὁ,RA.ASM,G3588,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,8,τοῦ,ὁ,RA.GSM,G3588,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,9,Βεηρι,Βεηρι,N.GSM,,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,10,ἐν,ἐν,P,G1722,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,11,ἡμέραις,ἡμέρα,N.DPF,G2250,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,12,Οζιου,Ὀζίας,N.GSM,G3604,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,13,καὶ,καί,C,G2532,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,14,Ιωαθαμ,Ἰωάθαμ,N.GSM,G2488,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,15,καὶ,καί,C,G2532,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,16,Αχαζ,Ἀχάζ,N.GSM,G881,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,17,καὶ,καί,C,G2532,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,18,Εζεκιου,Ἐζεκίας,N.GSM,G1478,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,19,βασιλέων,βασιλεύς,N.GPM,G935,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,20,Ιουδα,Ἰουδά,N.GSM,G2448,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,21,καὶ,καί,C,G2532,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,22,ἐν,ἐν,P,G1722,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,23,ἡμέραις,ἡμέρα,N.DPF,G2250,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,24,Ιεροβοαμ,Ιεροβοαμ,N.GSM,,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,25,υἱοῦ,υἱός,N.GSM,G5207,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,26,Ιωας,Ιωας,N.GSM,,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,27,βασιλέως,βασιλεύς,N.GSM,G935,Rahlfs,LXX
28,Hosea,1,1,Hosea 1:1,28,Ισραηλ,Ἰσραήλ,N.GSM,G2474,Rahlfs,LXX
28,Hosea,1,2,Hosea 1:2,1,ἀρχὴ,ἀρχή,N.NSF,G746,Rahlfs,LXX
28,Hosea,1,2,Hosea 1:2,2,λόγου,λόγος,N.GSM,G3056,Rahlfs,LXX
