book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
23,Isaiah,1,1,Isaiah 1:1,1,ὅρασις,ὅρασις,D,G3706,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,2,ἣν,ὅς,RA.GSF,G3739,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,3,εἶδεν,ὁράω,N.GSF,G3708,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,4,Ησαιας,Ἡσαΐας,C,G2268,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,5,υἱὸς,υἱός,D,G5207,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,6,Αμως,Ἀμώς,N.GSF,G301,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,7,ἣν,ὅς,P,G3739,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,8,εἶδεν,ὁράω,N.DSF,G3708,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,9,κατὰ,κατά,N.GSM,G2596,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,10,τῆς,ὁ,C,G3588,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,11,Ιουδαίας,Ἰουδαία,N.GSM,G2449,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,12,καὶ,καί,C,G2532,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,13,κατὰ,κατά,N.GSM,G2596,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,14,Ιερουσαλημ,Ἱερουσαλήμ,C,G2419,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,15,ἐν,ἐν,N.GSM,G1722,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,16,βασιλείᾳ,βασιλεία,RR.NPM,G932,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,17,Οζιου,Ὀζίας,V.AAI3P,G3604,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,18,καὶ,καί,RA.GSF,G2532,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,19,Ιωαθαμ,Ἰωάθαμ,N.GSF,G2488,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,20,καὶ,καί,V.PAD2S,G2532,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,21,Αχαζ,Ἀχάζ,N.VSM,G881,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,22,καὶ,καί,C,G2532,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,23,Εζεκιου,Ἐζεκίας,V.PMD2S,G1478,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,24,οἳ,ὅς,N.VSF,G3739,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,25,ἐβασίλευσαν,βασιλεύω,C,G936,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,26,τῆς,ὁ,N.NSM,G3588,Rahlfs,LXX
23,Isaiah,1,1,Isaiah 1:1,27,Ιουδαίας,Ἰουδαία,V.AAI3S,G2449,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,1,ἄκουε,ἀκούω,N.APM,G191,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,2,οὐρανέ,οὐρανός,V.AAI1S,G3772,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,3,καὶ,καί,C,G2532,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,4,ἐνωτίζου,ἐνωτίζομαι,V.AAI1S,G1801,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,5,γῆ,γῆ,RD.NPM,G1093,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,6,ὅτι,ὅτι,X,G3754,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,7,κύριος,κύριος,RP.AS,G2962,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,8,ἐλάλησεν,λαλέω,V.AAI3P,G2980,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,9,υἱοὺς,υἱός,V.AAI3S,G5207,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,10,ἐγέννησα,γεννάω,N.NSM,G1080,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,11,καὶ,καί,RA.ASM,G2532,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,12,ὕψωσα,ὑψόω,V.AMPASM,G5312,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,13,αὐτοὶ,αὐτός,C,G846,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,14,δέ,δέ,N.NSM,G1161,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,15,με,μέ,RA.ASF,G3165,Rahlfs,LXX
23,Isaiah,1,2,Isaiah 1:2,16,ἠθέτησαν,ἀθετέω,N.ASF,G114,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,1,ἔγνω,γινώσκω,RA.GSM,G1097,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,2,βοῦς,βοῦς,N.GSM,G1016,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,3,τὸν,ὁ,RD.GSM,G3588,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,4,κτησάμενον,κτάομαι,N.NSM,G2932,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,5,καὶ,καί,X,G2532,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,6,ὄνος,ὄνος,RP.AS,G3688,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,7,τὴν,ὁ,D,G3588,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,8,φάτνην,φάτνη,V.AAI3S,G5336,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,9,τοῦ,ὁ,C,G3588,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,10,κυρίου,κύριος,RA.NSM,G2962,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,11,αὐτοῦ,αὐτός,N.NSM,G846,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,12,Ισραηλ,Ἰσραήλ,RP.AS,G2474,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,13,δέ,δέ,D,G1161,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,14,με,μέ,V.AAI3S,G3165,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,15,οὐκ,οὐ,I,G3756,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,16,ἔγνω,γινώσκω,N.NSN,G1097,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,17,καὶ,καί,A.NSN,G2532,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,18,ὁ,ὁ,N.NSM,G3588,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,19,λαός,λαός,A.NSM,G2992,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,20,με,μέ,N.GPF,G3165,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,21,οὐ,οὐ,N.NSN,G3756,Rahlfs,LXX
23,Isaiah,1,3,Isaiah 1:3,22,συνῆκεν,συνίημι,A.NSN,G4920,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,1,οὐαὶ,οὐαί,N.NPM,G3759,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,2,ἔθνος,ἔθνος,A.NPM,G1484,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,3,ἁμαρτωλόν,ἁμαρτωλός,V.AAI2P,G268,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,4,λαὸς,λαός,RA.ASM,G2992,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,5,πλήρης,πλήρης,N.ASM,G4134,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,6,ἁμαρτιῶν,ἁμαρτία,C,G266,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,7,σπέρμα,σπέρμα,V.AAI2P,G4690,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,8,πονηρόν,πονηρός,RA.ASM,G4190,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,9,υἱοὶ,υἱός,A.ASM,G5207,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,10,ἄνομοι,ἄνομος,RA.GSM,G459,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,11,ἐγκατελίπατε,ἐγκαταλείπω,N.GSM,G1459,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,12,τὸν,ὁ,RI.ASN,G3588,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,13,κύριον,κύριος,D,G2962,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,14,καὶ,καί,V.APS2P,G2532,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,15,παρωργίσατε,παροργίζω,V.PAPNPM,G3949,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,16,τὸν,ὁ,N.ASF,G3588,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,17,ἅγιον,ἅγιος,A.NSF,G40,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,18,τοῦ,ὁ,N.NSF,G3588,Rahlfs,LXX
23,Isaiah,1,4,Isaiah 1:4,19,Ισραηλ,Ἰσραήλ,P,G2474,Rahlfs,LXX
23,Isaiah,1,5,Isaiah 1:5,1,τί,τίς,N.ASM,G5101,Rahlfs,LXX
23,Isaiah,1,5,Isaiah 1:5,2,ἔτι,ἔτι,C,G2089,Rahlfs,LXX
23,Isaiah,1,5,Isaiah 1:5,3,πληγῆτε,πλήσσω,A.NSF,G4141,Rahlfs,LXX
23,Isaiah,1,5,Isaiah 1:5,4,προστιθέντες,προστίθημι,N.NSF,G4369,Rahlfs,LXX
23,Isaiah,1,5,Isaiah 1:5,5,ἀνομίαν,ἀνομία,P,G458,Rahlfs,LXX
23,Isaiah,1,5,Isaiah 1:5,6,πᾶσα,πᾶς,N.ASF,G3956,Rahlfs,LXX
23,Isaiah,1,5,Isaiah 1:5,7,κεφαλὴ,κεφαλή,P,G2776,Rahlfs,LXX
23,Isaiah,1,5,Isaiah 1:5,8,εἰς,εἰς,N.GPM,G1519,Rahlfs,LXX
23,Isaiah,1,5,Isaiah 1:5,9,πόνον,πόνος,C,G4192,Rahlfs,LXX
23,Isaiah,1,5,Isaiah 1:5,10,καὶ,καί,N.GSF,G2532,Rahlfs,LXX
23,Isaiah,1,5,Isaiah 1:5,11,πᾶσα,πᾶς,C,G3956,Rahlfs,LXX
23,Isaiah,1,5,Isaiah 1:5,12,καρδία,καρδία,N.NSN,G2588,Rahlfs,LXX
23,Isaiah,1,5,Isaiah 1:5,13,εἰς,εἰς,C,G1519,Rahlfs,LXX
23,Isaiah,1,5,Isaiah 1:5,14,λύπην,λύπη,N.NSM,G3077,Rahlfs,LXX
23,Isaiah,1,6,Isaiah 1:6,1,ἀπὸ,ἀπό,C,G575,Rahlfs,LXX
23,Isaiah,1,6,Isaiah 1:6,2,ποδῶν,πούς,N.NSF,G4228,Rahlfs,LXX
23,Isaiah,1,6,Isaiah 1:6,3,ἕως,ἕως,V.PAPNSF,G2193,Rahlfs,LXX
23,Isaiah,1,6,Isaiah 1:6,4,κεφαλῆς,κεφαλή,D,G2776,Rahlfs,LXX
23,Isaiah,1,6,Isaiah 1:6,5,οὔτε,οὔτε,V.PAI3S,G3777,Rahlfs,LXX
23,Isaiah,1,6,Isaiah 1:6,6,τραῦμα,τραῦμα,N.ASN,G5134,Rahlfs,LXX
23,Isaiah,1,6,Isaiah 1:6,7,οὔτε,οὔτε,V.AAN,G3777,Rahlfs,LXX
23,Isaiah,1,6,Isaiah 1:6,8,μώλωψ,μώλωψ,C,G3468,Rahlfs,LXX
23,Isaiah,1,6,Isaiah 1:6,9,οὔτε,οὔτε,N.ASN,G3777,Rahlfs,LXX
23,Isaiah,1,6,Isaiah 1:6,10,πληγὴ,πληγή,C,G4127,Rahlfs,LXX
23,Isaiah,1,6,Isaiah 1:6,11,φλεγμαίνουσα,φλεγμαίνω,N.APN,,Rahlfs,LXX
23,Isaiah,1,6,Isaiah 1:6,12,οὐκ,οὐ,RA.NSF,G3756,Rahlfs,LXX
23,Isaiah,1,6,Isaiah 1:6,13,ἔστιν,εἰμί,N.NSF,G1510,Rahlfs,LXX
23,Isaiah,1,6,Isaiah 1:6,14,μάλαγμα,μάλαγμα,RP.GP,,Rahlfs,LXX
23,Isaiah,1,6,Isaiah 1:6,15,ἐπιθεῖναι,ἐπιτίθημι,N.NSF,G2007,Rahlfs,LXX
