book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
18,Job,1,1,Job 1:1,1,ἄνθρωπός,ἄνθρωπος,N.NSM,G444,Rahlfs,LXX
18,Job,1,1,Job 1:1,2,τις,τις,RI.NSM,G5100,Rahlfs,LXX
18,Job,1,1,Job 1:1,3,ἦν,εἰμί,V.IAI3S,G1510,Rahlfs,LXX
18,Job,1,1,Job 1:1,4,ἐν,ἐν,P,G1722,Rahlfs,LXX
18,Job,1,1,Job 1:1,5,χώρᾳ,χώρα,N.DSF,G5561,Rahlfs,LXX
18,Job,1,1,Job 1:1,6,τῇ,ὁ,RA.DSF,G3588,Rahlfs,LXX
18,Job,1,1,Job 1:1,7,Αυσίτιδι,Αυσῖτις,N.DSF,,Rahlfs,LXX
18,Job,1,1,Job 1:1,8,ᾧ,ὅς,RR.DSM,G3739,Rahlfs,LXX
18,Job,1,1,Job 1:1,9,ὄνομα,ὄνομα,N.NSN,G3686,Rahlfs,LXX
18,Job,1,1,Job 1:1,10,Ιωβ,Ἰώβ,N.NSM,G2492,Rahlfs,LXX
18,Job,1,1,Job 1:1,11,καὶ,καί,C,G2532,Rahlfs,LXX
18,Job,1,1,Job 1:1,12,ἦν,εἰμί,V.IAI3S,G1510,Rahlfs,LXX
18,Job,1,1,Job 1:1,13,ὁ,ὁ,RA.NSM,G3588,Rahlfs,LXX
18,Job,1,1,Job 1:1,14,ἄνθρωπος,ἄνθρωπος,N.NSM,G444,Rahlfs,LXX
18,Job,1,1,Job 1:1,15,ἐκεῖνος,ἐκεῖνος,RD.NSM,G1565,Rahlfs,LXX
18,Job,1,1,Job 1:1,16,ἀληθινός,ἀληθινός,A.NSM,G228,Rahlfs,LXX
18,Job,1,1,Job 1:1,17,ἄμεμπτος,ἄμεμπτος,A.NSM,G273,Rahlfs,LXX
18,Job,1,1,Job 1:1,18,δίκαιος,δίκαιος,A.NSM,G1342,Rahlfs,LXX
18,Job,1,1,Job 1:1,19,θεοσεβής,θεοσεβής,A.NSM,G2318,Rahlfs,LXX
18,Job,1,1,Job 1:1,20,ἀπεχόμενος,ἀντέχω,V.PMPNSM,G472,Rahlfs,LXX
18,Job,1,1,Job 1:1,21,ἀπὸ,ἀπό,P,G575,Rahlfs,LXX
18,Job,1,1,Job 1:1,22,παντὸς,πᾶς,A.GSN,G3956,Rahlfs,LXX
18,Job,1,1,Job 1:1,23,πονηροῦ,πονηρός,A.GSN,G4190,Rahlfs,LXX
18,Job,1,1,Job 1:1,24,πράγματος,πρᾶγμα,N.GSN,G4229,Rahlfs,LXX
18,Job,1,2,Job 1:2,1,ἐγένοντο,γίνομαι,V.AMI3P,G1096,Rahlfs,LXX
18,Job,1,2,Job 1:2,2,δὲ,δέ,X,G1161,Rahlfs,LXX
18,Job,1,2,Job 1:2,3,αὐτῷ,αὐτός,RD.DSM,G846,Rahlfs,LXX
18,Job,1,2,Job 1:2,4,υἱοὶ,υἱός,N.NPM,G5207,Rahlfs,LXX
18,Job,1,2,Job 1:2,5,ἑπτὰ,ἑπτά,M,G2033,Rahlfs,LXX
18,Job,1,2,Job 1:2,6,καὶ,καί,C,G2532,Rahlfs,LXX
18,Job,1,2,Job 1:2,7,θυγατέρες,θυγάτηρ,N.NPF,G2364,Rahlfs,LXX
18,Job,1,2,Job 1:2,8,τρεῖς,τρεῖς,A.NPF,G5140,Rahlfs,LXX
18,Job,1,3,Job 1:3,1,καὶ,καί,C,G2532,Rahlfs,LXX
18,Job,1,3,Job 1:3,2,ἦν,εἰμί,V.IAI3S,G1510,Rahlfs,LXX
18,Job,1,3,Job 1:3,3,τὰ,ὁ,RA.NPN,G3588,Rahlfs,LXX
18,Job,1,3,Job 1:3,4,κτήνη,κτῆνος,N.NPN,G2934,Rahlfs,LXX
18,Job,1,3,Job 1:3,5,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
18,Job,1,3,Job 1:3,6,πρόβατα,πρόβατον,N.NPN,G4263,Rahlfs,LXX
18,Job,1,3,Job 1:3,7,ἑπτακισχίλια,ἑπτακισχίλιοι,A.NPN,G2035,Rahlfs,LXX
18,Job,1,3,Job 1:3,8,κάμηλοι,κάμηλος,N.NPF,G2574,Rahlfs,LXX
18,Job,1,3,Job 1:3,9,τρισχίλιαι,τρισχίλιοι,A.NPF,G5153,Rahlfs,LXX
18,Job,1,3,Job 1:3,10,ζεύγη,ζεῦγος,N.NPN,G2201,Rahlfs,LXX
18,Job,1,3,Job 1:3,11,βοῶν,βοῦς,N.GPF,G1016,Rahlfs,LXX
18,Job,1,3,Job 1:3,12,πεντακόσια,πεντακόσιοι,A.APN,G4001,Rahlfs,LXX
18,Job,1,3,Job 1:3,13,ὄνοι,ὄνος,N.NPF,G3688,Rahlfs,LXX
18,Job,1,3,Job 1:3,14,θήλειαι,θῆλυς,A.NPF,G2338,Rahlfs,LXX
18,Job,1,3,Job 1:3,15,νομάδες,νομάς,N.NPF,,Rahlfs,LXX
18,Job,1,3,Job 1:3,16,πεντακόσιαι,πεντακόσιοι,A.NPF,G4001,Rahlfs,LXX
18,Job,1,3,Job 1:3,17,καὶ,καί,C,G2532,Rahlfs,LXX
18,Job,1,3,Job 1:3,18,ὑπηρεσία,ὑπηρεσία,N.NSF,,Rahlfs,LXX
18,Job,1,3,Job 1:3,19,πολλὴ,πολύς,A.NSF,G4183,Rahlfs,LXX
18,Job,1,3,Job 1:3,20,σφόδρα,σφόδρα,D,G4970,Rahlfs,LXX
18,Job,1,3,Job 1:3,21,καὶ,καί,C,G2532,Rahlfs,LXX
18,Job,1,3,Job 1:3,22,ἔργα,ἔργον,N.NPN,G2041,Rahlfs,LXX
18,Job,1,3,Job 1:3,23,μεγάλα,μέγας,A.NPN,G3173,Rahlfs,LXX
18,Job,1,3,Job 1:3,24,ἦν,εἰμί,V.IAI3S,G1510,Rahlfs,LXX
18,Job,1,3,Job 1:3,25,αὐτῷ,αὐτός,RD.DSM,G846,Rahlfs,LXX
18,Job,1,3,Job 1:3,26,ἐπὶ,ἐπί,P,G1909,Rahlfs,LXX
18,Job,1,3,Job 1:3,27,τῆς,ὁ,RA.GSF,G3588,Rahlfs,LXX
18,Job,1,3,Job 1:3,28,γῆς,γῆ,N.GSF,G1093,Rahlfs,LXX
18,Job,1,3,Job 1:3,29,καὶ,καί,C,G2532,Rahlfs,LXX
18,Job,1,3,Job 1:3,30,ἦν,εἰμί,V.IAI3S,G1510,Rahlfs,LXX
18,Job,1,3,Job 1:3,31,ὁ,ὁ,RA.NSM,G3588,Rahlfs,LXX
18,Job,1,3,Job 1:3,32,ἄνθρωπος,ἄνθρωπος,N.NSM,G444,Rahlfs,LXX
18,Job,1,3,Job 1:3,33,ἐκεῖνος,ἐκεῖνος,RD.NSM,G1565,Rahlfs,LXX
18,Job,1,3,Job 1:3,34,εὐγενὴς,εὐγενής,A.NSM,G2104,Rahlfs,LXX
18,Job,1,3,Job 1:3,35,τῶν,ὁ,RA.GPM,G3588,Rahlfs,LXX
18,Job,1,3,Job 1:3,36,ἀφ᾿,ἀπό,P,G575,Rahlfs,LXX
18,Job,1,3,Job 1:3,37,ἡλίου,ἥλιος,N.GSM,G2246,Rahlfs,LXX
18,Job,1,3,Job 1:3,38,ἀνατολῶν,ἀνατολή,N.GPF,G395,Rahlfs,LXX
18,Job,1,4,Job 1:4,1,συμπορευόμενοι,συμπορεύομαι,V.PMPNPM,G4848,Rahlfs,LXX
18,Job,1,4,Job 1:4,2,δὲ,δέ,X,G1161,Rahlfs,LXX
18,Job,1,4,Job 1:4,3,οἱ,ὁ,RA.NPM,G3588,Rahlfs,LXX
18,Job,1,4,Job 1:4,4,υἱοὶ,υἱός,N.NPM,G5207,Rahlfs,LXX
18,Job,1,4,Job 1:4,5,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
18,Job,1,4,Job 1:4,6,πρὸς,πρός,P,G4314,Rahlfs,LXX
18,Job,1,4,Job 1:4,7,ἀλλήλους,ἀλλήλων,RD.APM,G240,Rahlfs,LXX
18,Job,1,4,Job 1:4,8,ἐποιοῦσαν,ποιέω,V.AAI3P,G4160,Rahlfs,LXX
18,Job,1,4,Job 1:4,9,πότον,πότος,N.ASM,G4224,Rahlfs,LXX
18,Job,1,4,Job 1:4,10,καθ᾿,κατά,P,G2596,Rahlfs,LXX
18,Job,1,4,Job 1:4,11,ἑκάστην,ἕκαστος,A.ASF,G1538,Rahlfs,LXX
18,Job,1,4,Job 1:4,12,ἡμέραν,ἡμέρα,N.ASF,G2250,Rahlfs,LXX
18,Job,1,4,Job 1:4,13,συμπαραλαμβάνοντες,συμπαραλαμβάνω,V.PAPNPM,G4838,Rahlfs,LXX
18,Job,1,4,Job 1:4,14,ἅμα,ἅμα,D,G260,Rahlfs,LXX
18,Job,1,4,Job 1:4,15,καὶ,καί,D,G2532,Rahlfs,LXX
18,Job,1,4,Job 1:4,16,τὰς,ὁ,RA.APF,G3588,Rahlfs,LXX
