book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
29,Joel,1,1,Joel 1:1,1,λόγος,λόγος,N.GSM,G3056,Rahlfs,LXX
29,Joel,1,1,Joel 1:1,2,κυρίου,κύριος,V.AAD2P,G2962,Rahlfs,LXX
29,Joel,1,1,Joel 1:1,3,ὃς,ὅς,X,G3739,Rahlfs,LXX
29,Joel,1,1,Joel 1:1,4,ἐγενήθη,γίνομαι,RD.APN,G1096,Rahlfs,LXX
29,Joel,1,1,Joel 1:1,5,πρὸς,πρός,RA.NPM,G4314,Rahlfs,LXX
29,Joel,1,1,Joel 1:1,6,Ιωηλ,Ἰωήλ,A.NPM,G2493,Rahlfs,LXX
29,Joel,1,1,Joel 1:1,7,τὸν,ὁ,C,G3588,Rahlfs,LXX
29,Joel,1,1,Joel 1:1,8,τοῦ,ὁ,V.AMD2P,G3588,Rahlfs,LXX
29,Joel,1,1,Joel 1:1,9,Βαθουηλ,Βαθουηλ,A.NPM,,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,1,ἀκούσατε,ἀκούω,RA.NPM,G191,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,2,δὴ,δή,V.PAPNPM,G1211,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,3,ταῦτα,οὗτος,RA.ASF,G3778,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,4,οἱ,ὁ,N.ASF,G3588,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,5,πρεσβύτεροι,πρεσβύτερος,C,G4245,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,6,καὶ,καί,V.XAI3S,G2532,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,7,ἐνωτίσασθε,ἐνωτίζομαι,A.NPN,G1801,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,8,πάντες,πᾶς,P,G3956,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,9,οἱ,ὁ,RA.DPF,G3588,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,10,κατοικοῦντες,κατοικέω,N.DPF,G2730,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,11,τὴν,ὁ,RP.GP,G3588,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,12,γῆν,γῆ,C,G1093,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,13,εἰ,εἰ,P,G1487,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,14,γέγονεν,γίνομαι,RA.DPF,G1096,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,15,τοιαῦτα,τοιοῦτος,N.DPF,G5108,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,16,ἐν,ἐν,RA.GPM,G1722,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,17,ταῖς,ὁ,N.GPM,G3588,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,18,ἡμέραις,ἡμέρα,RP.GP,G2250,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,19,ὑμῶν,ὑμῶν,P,G5216,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,20,ἢ,ἤ,RD.GPM,G2228,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,21,ἐν,ἐν,RA.DPN,G1722,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,22,ταῖς,ὁ,N.DPN,G3588,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,23,ἡμέραις,ἡμέρα,RP.GP,G2250,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,24,τῶν,ὁ,V.AMD2P,G3588,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,25,πατέρων,πατήρ,C,G3962,Rahlfs,LXX
29,Joel,1,2,Joel 1:2,26,ὑμῶν,ὑμῶν,RA.NPN,G5216,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,1,ὑπὲρ,ὑπέρ,N.NPN,G5228,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,2,αὐτῶν,αὐτός,RP.GP,G846,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,3,τοῖς,ὁ,RA.DPN,G3588,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,4,τέκνοις,τέκνον,N.DPN,G5043,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,5,ὑμῶν,ὑμῶν,RD.GPM,G5216,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,6,διηγήσασθε,διηγέομαι,C,G1334,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,7,καὶ,καί,RA.NPN,G2532,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,8,τὰ,ὁ,N.NPN,G3588,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,9,τέκνα,τέκνον,RD.GPM,G5043,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,10,ὑμῶν,ὑμῶν,P,G5216,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,11,τοῖς,ὁ,N.ASF,G3588,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,12,τέκνοις,τέκνον,A.ASF,G5043,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,13,αὐτῶν,αὐτός,RA.APN,G846,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,14,καὶ,καί,A.APN,G2532,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,15,τὰ,ὁ,RA.GSF,G3588,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,16,τέκνα,τέκνον,N.GSF,G5043,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,17,αὐτῶν,αὐτός,V.AAI3S,G846,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,18,εἰς,εἰς,RA.NSF,G1519,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,19,γενεὰν,γενεά,N.NSF,G1074,Rahlfs,LXX
29,Joel,1,3,Joel 1:3,20,ἑτέραν,ἕτερος,C,G2087,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,1,τὰ,ὁ,RA.APN,G3588,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,2,κατάλοιπα,κατάλοιπος,A.APN,G2645,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,3,τῆς,ὁ,RA.GSF,G3588,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,4,κάμπης,καμπή,N.GSF,,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,5,κατέφαγεν,κατεσθίω,V.AAI3S,G2719,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,6,ἡ,ὁ,RA.NSM,G3588,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,7,ἀκρίς,ἀκρίς,N.NSM,G200,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,8,καὶ,καί,C,G2532,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,9,τὰ,ὁ,RA.APN,G3588,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,10,κατάλοιπα,κατάλοιπος,A.APN,G2645,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,11,τῆς,ὁ,RA.GSM,G3588,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,12,ἀκρίδος,ἀκρίς,N.GSM,G200,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,13,κατέφαγεν,κατεσθίω,V.AAI3S,G2719,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,14,ὁ,ὁ,RA.NSF,G3588,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,15,βροῦχος,βροῦχος,N.NSF,,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,16,καὶ,καί,V.AAD2P,G2532,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,17,τὰ,ὁ,RA.NPM,G3588,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,18,κατάλοιπα,κατάλοιπος,V.PAPNPM,G2645,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,19,τοῦ,ὁ,P,G3588,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,20,βρούχου,βροῦχος,N.GSM,,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,21,κατέφαγεν,κατεσθίω,RD.GPM,G2719,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,22,ἡ,ὁ,C,G3588,Rahlfs,LXX
29,Joel,1,4,Joel 1:4,23,ἐρυσίβη,ἐρυσίβη,V.AAD2P,,Rahlfs,LXX
