book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
32,Jonah,1,1,Jonah 1:1,1,καὶ,καί,N.GSM,G2532,Rahlfs,LXX
32,Jonah,1,1,Jonah 1:1,2,ἐγένετο,γίνομαι,V.PAPNSM,G1096,Rahlfs,LXX
32,Jonah,1,1,Jonah 1:1,3,λόγος,λόγος,V.AAD2S,G3056,Rahlfs,LXX
32,Jonah,1,1,Jonah 1:1,4,κυρίου,κύριος,C,G2962,Rahlfs,LXX
32,Jonah,1,1,Jonah 1:1,5,πρὸς,πρός,V.APD2S,G4314,Rahlfs,LXX
32,Jonah,1,1,Jonah 1:1,6,Ιωναν,Ἰωνᾶς,P,G2495,Rahlfs,LXX
32,Jonah,1,1,Jonah 1:1,7,τὸν,ὁ,N.ASF,G3588,Rahlfs,LXX
32,Jonah,1,1,Jonah 1:1,8,τοῦ,ὁ,RA.ASF,G3588,Rahlfs,LXX
32,Jonah,1,1,Jonah 1:1,9,Αμαθι,Αμαθι,N.ASF,,Rahlfs,LXX
32,Jonah,1,1,Jonah 1:1,10,λέγων,λέγω,RA.ASF,G3004,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,1,ἀνάστηθι,ἀνίστημι,A.ASF,G450,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,2,καὶ,καί,C,G2532,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,3,πορεύθητι,πορεύομαι,V.AAD2S,G4198,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,4,εἰς,εἰς,P,G1519,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,5,Νινευη,Νινευΐ,RD.DSF,G3535,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,6,τὴν,ὁ,C,G3588,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,7,πόλιν,πόλις,V.AAI3S,G4172,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,8,τὴν,ὁ,RA.NSF,G3588,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,9,μεγάλην,μέγας,N.NSF,G3173,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,10,καὶ,καί,RA.GSF,G2532,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,11,κήρυξον,κηρύσσω,N.GSF,G2784,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,12,ἐν,ἐν,RD.GSF,G1722,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,13,αὐτῇ,αὐτός,P,G846,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,14,ὅτι,ὅτι,RP.AS,G3754,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,15,ἀνέβη,ἀναβαίνω,C,G305,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,16,ἡ,ὁ,V.AAI3S,G3588,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,17,κραυγὴ,κραυγή,N.NSM,G2906,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,18,τῆς,ὁ,RA.GSN,G3588,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,19,κακίας,κακία,V.AAN,G2549,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,20,αὐτῆς,αὐτός,P,G846,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,21,πρός,πρός,N.AS,G4314,Rahlfs,LXX
32,Jonah,1,2,Jonah 1:2,22,με,μέ,P,G3165,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,1,καὶ,καί,N.GSN,G2532,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,2,ἀνέστη,ἀνίστημι,N.GSM,G450,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,3,Ιωνας,Ἰωνᾶς,C,G2495,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,4,τοῦ,ὁ,V.AAI3S,G3588,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,5,φυγεῖν,φεύγω,P,G5343,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,6,εἰς,εἰς,N.ASF,G1519,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,7,Θαρσις,Θαρσις,C,,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,8,ἐκ,ἐκ,V.AAI3S,G1537,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,9,προσώπου,πρόσωπον,N.ASN,G4383,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,10,κυρίου,κύριος,V.PAPASN,G2962,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,11,καὶ,καί,P,G2532,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,12,κατέβη,καταβαίνω,N.AS,G2597,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,13,εἰς,εἰς,C,G1519,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,14,Ιοππην,Ἰόππη,V.AAI3S,G2445,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,15,καὶ,καί,RA.ASN,G2532,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,16,εὗρεν,εὑρίσκω,N.ASN,G2147,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,17,πλοῖον,πλοῖον,RD.GSM,G4143,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,18,βαδίζον,βαδίζω,C,,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,19,εἰς,εἰς,V.AAI3S,G1519,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,20,Θαρσις,Θαρσις,P,,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,21,καὶ,καί,RD.ASN,G2532,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,22,ἔδωκεν,δίδωμι,RA.GSN,G1325,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,23,τὸ,ὁ,V.AAN,G3588,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,24,ναῦλον,ναῦλον,P,,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,25,αὐτοῦ,αὐτός,RD.GPM,G846,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,26,καὶ,καί,P,G2532,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,27,ἐνέβη,ἐμβαίνω,N.AS,G1684,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,28,εἰς,εἰς,P,G1519,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,29,αὐτὸ,αὐτός,N.GSN,G846,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,30,τοῦ,ὁ,N.GSM,G3588,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,31,πλεῦσαι,πλέω,C,G4126,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,32,μετ᾿,μετά,N.NSM,G3326,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,33,αὐτῶν,αὐτός,V.IAI3S,G846,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,34,εἰς,εἰς,N.ASN,G1519,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,35,Θαρσις,Θαρσις,P,,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,36,ἐκ,ἐκ,RA.ASF,G1537,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,37,προσώπου,πρόσωπον,N.ASF,G4383,Rahlfs,LXX
32,Jonah,1,3,Jonah 1:3,38,κυρίου,κύριος,C,G2962,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,1,καὶ,καί,V.AMI3S,G2532,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,2,κύριος,κύριος,N.NSM,G2962,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,3,ἐξήγειρεν,ἐξεγείρω,A.NSM,G1825,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,4,πνεῦμα,πνεῦμα,P,G4151,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,5,εἰς,εἰς,RA.DSF,G1519,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,6,τὴν,ὁ,N.DSF,G3588,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,7,θάλασσαν,θάλασσα,C,G2281,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,8,καὶ,καί,RA.NSN,G2532,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,9,ἐγένετο,γίνομαι,N.NSN,G1096,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,10,κλύδων,κλύδων,V.IAI3S,G2830,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,11,μέγας,μέγας,V.APN,G3173,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,12,ἐν,ἐν,C,G1722,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,13,τῇ,ὁ,V.API3P,G3588,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,14,θαλάσσῃ,θάλασσα,RA.NPM,G2281,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,15,καὶ,καί,A.NPM,G2532,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,16,τὸ,ὁ,C,G3588,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,17,πλοῖον,πλοῖον,V.IAI3P,G4143,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,18,ἐκινδύνευεν,κινδυνεύω,A.NSM,G2793,Rahlfs,LXX
32,Jonah,1,4,Jonah 1:4,19,συντριβῆναι,συντρίβω,P,G4937,Rahlfs,LXX
32,Jonah,1,5,Jonah 1:5,1,καὶ,καί,RA.ASM,G2532,Rahlfs,LXX
32,Jonah,1,5,Jonah 1:5,2,ἐφοβήθησαν,φοβέω,N.ASM,G5399,Rahlfs,LXX
32,Jonah,1,5,Jonah 1:5,3,οἱ,ὁ,RD.GPM,G3588,Rahlfs,LXX
32,Jonah,1,5,Jonah 1:5,4,ναυτικοὶ,ναυτικός,C,,Rahlfs,LXX
32,Jonah,1,5,Jonah 1:5,5,καὶ,καί,N.ASF,G2532,Rahlfs,LXX
32,Jonah,1,5,Jonah 1:5,6,ἀνεβόων,ἀναβοάω,V.AMI3P,G310,Rahlfs,LXX
32,Jonah,1,5,Jonah 1:5,7,ἕκαστος,ἕκαστος,RA.GPN,G1538,Rahlfs,LXX
32,Jonah,1,5,Jonah 1:5,8,πρὸς,πρός,N.GPN,G4314,Rahlfs,LXX
32,Jonah,1,5,Jonah 1:5,9,τὸν,ὁ,RA.GPN,G3588,Rahlfs,LXX
32,Jonah,1,5,Jonah 1:5,10,θεὸν,θεός,P,G2316,Rahlfs,LXX
