book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
6,Joshua,15,21,Joshua 15:21,1,Καβσεηλ,Καβσεηλ,N.NS,,Rahlfs,LXX
6,Joshua,15,21,Joshua 15:21,2,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,21,Joshua 15:21,3,Εδραι,Εδραϊ,N.NS,,Rahlfs,LXX
6,Joshua,15,21,Joshua 15:21,4,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,21,Joshua 15:21,5,Ιαγουρ,Ιαγουρ,N.NS,,Rahlfs,LXX
6,Joshua,15,22,Joshua 15:22,1,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,22,Joshua 15:22,2,Κινα,Κινα,N.NS,,Rahlfs,LXX
6,Joshua,15,22,Joshua 15:22,3,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,22,Joshua 15:22,4,Διμωνα,Διμωνα,N.NS,,Rahlfs,LXX
6,Joshua,15,22,Joshua 15:22,5,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,22,Joshua 15:22,6,Αδαδα,Αδαδα,N.NS,,Rahlfs,LXX
6,Joshua,15,23,Joshua 15:23,1,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,23,Joshua 15:23,2,Κεδες,Κεδες,N.NS,,Rahlfs,LXX
6,Joshua,15,23,Joshua 15:23,3,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,23,Joshua 15:23,4,Ιθναζιφ,Ιθναζιφ,N.NS,,Rahlfs,LXX
6,Joshua,15,24,Joshua 15:24,1,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,24,Joshua 15:24,2,Τελεμ,Τελεμ,N.NS,,Rahlfs,LXX
6,Joshua,15,24,Joshua 15:24,3,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,24,Joshua 15:24,4,Βαλωθ,Βαλωθ,N.NS,,Rahlfs,LXX
6,Joshua,15,25,Joshua 15:25,1,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,25,Joshua 15:25,2,πόλις,πόλις,N.NSF,G4172,Rahlfs,LXX
6,Joshua,15,25,Joshua 15:25,3,Ασερων,Ασερων,N.GS,,Rahlfs,LXX
6,Joshua,15,25,Joshua 15:25,4,αὕτη,οὗτος,RD.NSF,G3778,Rahlfs,LXX
6,Joshua,15,25,Joshua 15:25,5,Ασωρ,Ασωρ,N.NS,,Rahlfs,LXX
6,Joshua,15,26,Joshua 15:26,1,Αμαμ,Αμαμ,N.NS,,Rahlfs,LXX
6,Joshua,15,26,Joshua 15:26,2,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,26,Joshua 15:26,3,Σαμαα,Σαμαα,N.NS,,Rahlfs,LXX
6,Joshua,15,26,Joshua 15:26,4,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,26,Joshua 15:26,5,Μωλαδα,Μωλαδα,N.NS,,Rahlfs,LXX
6,Joshua,15,27,Joshua 15:27,1,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,27,Joshua 15:27,2,Ασεργαδδα,Ασεργαδδα,N.NS,,Rahlfs,LXX
6,Joshua,15,27,Joshua 15:27,3,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,27,Joshua 15:27,4,Βαιθφαλεθ,Βαιθφαλεθ,N.NS,,Rahlfs,LXX
6,Joshua,15,28,Joshua 15:28,1,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,28,Joshua 15:28,2,Ασαρσουλα,Ασαρσουλα,N.NS,,Rahlfs,LXX
6,Joshua,15,28,Joshua 15:28,3,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,28,Joshua 15:28,4,Βηρσαβεε,Βηρσαβεε,N.NS,,Rahlfs,LXX
6,Joshua,15,28,Joshua 15:28,5,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,28,Joshua 15:28,6,αἱ,ὁ,RA.NPF,G3588,Rahlfs,LXX
6,Joshua,15,28,Joshua 15:28,7,κῶμαι,κώμη,N.NPF,G2968,Rahlfs,LXX
6,Joshua,15,28,Joshua 15:28,8,αὐτῶν,αὐτός,RD.GPF,G846,Rahlfs,LXX
6,Joshua,15,28,Joshua 15:28,9,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,28,Joshua 15:28,10,αἱ,ὁ,RA.NPF,G3588,Rahlfs,LXX
6,Joshua,15,28,Joshua 15:28,11,ἐπαύλεις,ἔπαυλις,N.NPF,G1886,Rahlfs,LXX
6,Joshua,15,28,Joshua 15:28,12,αὐτῶν,αὐτός,RD.GPF,G846,Rahlfs,LXX
6,Joshua,15,29,Joshua 15:29,1,Βααλα,Βααλα,N.NS,,Rahlfs,LXX
6,Joshua,15,29,Joshua 15:29,2,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,29,Joshua 15:29,3,Αυιμ,Αυιμ,N.NS,,Rahlfs,LXX
6,Joshua,15,29,Joshua 15:29,4,καὶ,καί,C,G2532,Rahlfs,LXX
6,Joshua,15,29,Joshua 15:29,5,Ασεμ,Ασεμ,N.NS,,Rahlfs,LXX
6,Joshua,15,30,Joshua 15:30,1,καὶ,καί,C,G2532,Rahlfs,LXX
