book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
7,Judges,1,1,Judges 1:1,1,καὶ,καί,C,G2532,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,2,ἐγένετο,γίνομαι,V.AMI3S,G1096,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,3,μετὰ,μετά,P,G3326,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,4,τὴν,ὁ,RA.ASF,G3588,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,5,τελευτὴν,τελευτή,N.ASF,G5054,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,6,Ἰησοῦ,Ἰησοῦς,N.GSM,G2424,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,7,καὶ,καί,C,G2532,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,8,ἐπηρώτων,ἐπερωτάω,V.IAI3P,G1905,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,9,οἱ,ὁ,RA.NPM,G3588,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,10,υἱοὶ,υἱός,N.NPM,G5207,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,11,Ισραηλ,Ἰσραήλ,N.GSM,G2474,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,12,ἐν,ἐν,P,G1722,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,13,κυρίῳ,κύριος,N.DSM,G2962,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,14,λέγοντες,λέγω,V.PAPNPM,G3004,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,15,τίς,τίς,RI.NSM,G5101,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,16,ἀναβήσεται,ἀναβαίνω,V.FMI3S,G305,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,17,ἡμῖν,ἡμῖν,RP.DP,G2254,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,18,πρὸς,πρός,P,G4314,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,19,τὸν,ὁ,RA.ASM,G3588,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,20,Χαναναῖον,Χαναναῖος,N.ASM,G5478,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,21,ἀφηγούμενος,ἀφηγέομαι,V.PMPNSM,,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,22,τοῦ,ὁ,RA.GSN,G3588,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,23,πολεμῆσαι,πολεμέω,V.AAN,G4170,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,24,ἐν,ἐν,P,G1722,Rahlfs,LXX
7,Judges,1,1,Judges 1:1,25,αὐτῷ,αὐτός,RD.DSM,G846,Rahlfs,LXX
7,Judges,1,2,Judges 1:2,1,καὶ,καί,C,G2532,Rahlfs,LXX
7,Judges,1,2,Judges 1:2,2,εἶπεν,ἔπω,V.AAI3S,G2036,Rahlfs,LXX
7,Judges,1,2,Judges 1:2,3,κύριος,κύριος,N.NSM,G2962,Rahlfs,LXX
7,Judges,1,2,Judges 1:2,4,Ιουδας,Ἰούδας,N.NSM,G2455,Rahlfs,LXX
7,Judges,1,2,Judges 1:2,5,ἀναβήσεται,ἀναβαίνω,V.FMI3S,G305,Rahlfs,LXX
7,Judges,1,2,Judges 1:2,6,ἰδοὺ,ἰδού,I,G2400,Rahlfs,LXX
7,Judges,1,2,Judges 1:2,7,δέδωκα,δίδωμι,V.XAI1S,G1325,Rahlfs,LXX
