book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
25,Lamentations,1,1,Lamentations 1:1,1,πῶς,πῶς,V.API3S,G4459,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,2,ἐκάθισεν,καθίζω,C,G2523,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,3,μόνη,μόνος,N.NSF,G3441,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,4,ἡ,ὁ,V.XMPNSF,G3588,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,5,πόλις,πόλις,P,G4172,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,6,ἡ,ὁ,N.DPN,G3588,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,7,πεπληθυμμένη,πληθύνω,V.PAPNSF,G4129,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,8,λαῶν,λαός,P,G2992,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,9,ἐγενήθη,γίνομαι,N.DPF,G1096,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,10,ὡς,ὥς,V.API3S,G5613,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,11,χήρα,χήρα,P,G5503,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,12,πεπληθυμμένη,πληθύνω,N.ASM,G4129,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,13,ἐν,ἐν,V.PAPNSF,G1722,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,14,ἔθνεσιν,ἔθνος,V.AAI3S,G1484,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,15,ἄρχουσα,ἄρχω,P,G757,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,16,ἐν,ἐν,N.DSF,G1722,Rahlfs,LXX
25,Lamentations,1,1,Lamentations 1:1,17,χώραις,χώρα,C,G5561,Rahlfs,LXX
