book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
3,Leviticus,1,1,Leviticus 1:1,1,καὶ,καί,C,G2532,Rahlfs,LXX
3,Leviticus,1,1,Leviticus 1:1,2,ἀνεκάλεσεν,ἀνακαλέω,V.AAI3S,,Rahlfs,LXX
3,Leviticus,1,1,Leviticus 1:1,3,Μωυσῆν,Μωσεύς,N.ASM,G3475,Rahlfs,LXX
3,Leviticus,1,1,Leviticus 1:1,4,καὶ,καί,C,G2532,Rahlfs,LXX
3,Leviticus,1,1,Leviticus 1:1,5,ἐλάλησεν,λαλέω,V.AAI3S,G2980,Rahlfs,LXX
3,Leviticus,1,1,Leviticus 1:1,6,κύριος,κύριος,N.NSM,G2962,Rahlfs,LXX
3,Leviticus,1,1,Leviticus 1:1,7,αὐτῷ,αὐτός,RD.DSM,G846,Rahlfs,LXX
3,Leviticus,1,1,Leviticus 1:1,8,ἐκ,ἐκ,P,G1537,Rahlfs,LXX
3,Leviticus,1,1,Leviticus 1:1,9,τῆς,ὁ,RA.GSF,G3588,Rahlfs,LXX
3,Leviticus,1,1,Leviticus 1:1,10,σκηνῆς,σκηνή,N.GSF,G4633,Rahlfs,LXX
3,Leviticus,1,1,Leviticus 1:1,11,τοῦ,ὁ,RA.GSN,G3588,Rahlfs,LXX
3,Leviticus,1,1,Leviticus 1:1,12,μαρτυρίου,μαρτύριον,N.GSN,G3142,Rahlfs,LXX
3,Leviticus,1,1,Leviticus 1:1,13,λέγων,λέγω,V.PAPNSM,G3004,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,1,λάλησον,λαλέω,V.AAD2S,G2980,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,2,τοῖς,ὁ,RA.DPM,G3588,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,3,υἱοῖς,υἱός,N.DPM,G5207,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,4,Ισραηλ,Ἰσραήλ,N.GSM,G2474,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,5,καὶ,καί,C,G2532,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,6,ἐρεῖς,ἐρέω,V.FAI2S,G2046,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,7,πρὸς,πρός,P,G4314,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,8,αὐτούς,αὐτός,RD.APM,G846,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,9,ἄνθρωπος,ἄνθρωπος,N.NSM,G444,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,10,ἐξ,ἐκ,P,G1537,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,11,ὑμῶν,ὑμῶν,RP.GP,G5216,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,12,ἐὰν,ἐάν,C,G1437,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,13,προσαγάγῃ,προσάγω,V.AAS3S,G4317,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,14,δῶρα,δῶρον,N.APN,G1435,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,15,τῷ,ὁ,RA.DSM,G3588,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,16,κυρίῳ,κύριος,N.DSM,G2962,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,17,ἀπὸ,ἀπό,P,G575,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,18,τῶν,ὁ,RA.GPN,G3588,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,19,κτηνῶν,κτῆνος,N.GPN,G2934,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,20,ἀπὸ,ἀπό,P,G575,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,21,τῶν,ὁ,RA.GPM,G3588,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,22,βοῶν,βοῦς,N.GPM,G1016,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,23,καὶ,καί,C,G2532,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,24,ἀπὸ,ἀπό,P,G575,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,25,τῶν,ὁ,RA.GPN,G3588,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,26,προβάτων,πρόβατον,N.GPN,G4263,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,27,προσοίσετε,προσφέρω,V.FAI2P,G4374,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,28,τὰ,ὁ,RA.APN,G3588,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,29,δῶρα,δῶρον,N.APN,G1435,Rahlfs,LXX
3,Leviticus,1,2,Leviticus 1:2,30,ὑμῶν,ὑμῶν,RP.GP,G5216,Rahlfs,LXX
3,Leviticus,1,3,Leviticus 1:3,1,ἐὰν,ἐάν,C,G1437,Rahlfs,LXX
3,Leviticus,1,3,Leviticus 1:3,2,ὁλοκαύτωμα,ὁλοκαύτωμα,N.NSN,G3646,Rahlfs,LXX
3,Leviticus,1,3,Leviticus 1:3,3,τὸ,ὁ,RA.NSN,G3588,Rahlfs,LXX
3,Leviticus,1,3,Leviticus 1:3,4,δῶρον,δῶρον,N.NSN,G1435,Rahlfs,LXX
3,Leviticus,1,3,Leviticus 1:3,5,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
3,Leviticus,1,3,Leviticus 1:3,6,ἐκ,ἐκ,P,G1537,Rahlfs,LXX
3,Leviticus,1,3,Leviticus 1:3,7,τῶν,ὁ,RA.GPM,G3588,Rahlfs,LXX
3,Leviticus,1,3,Leviticus 1:3,8,βοῶν,βοῦς,N.GPM,G1016,Rahlfs,LXX
3,Leviticus,1,3,Leviticus 1:3,9,ἄρσεν,ἄρσην,A.ASN,G730,Rahlfs,LXX
3,Leviticus,1,3,Leviticus 1:3,10,ἄμωμον,ἄμωμος,A.ASN,G299,Rahlfs,LXX
