book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
39,Malachi,1,1,Malachi 1:1,1,λῆμμα,λῆμμα,N.GSM,,Rahlfs,LXX
39,Malachi,1,1,Malachi 1:1,2,λόγου,λόγος,RD.GSM,G3056,Rahlfs,LXX
39,Malachi,1,1,Malachi 1:1,3,κυρίου,κύριος,V.AMD2P,G2962,Rahlfs,LXX
39,Malachi,1,1,Malachi 1:1,4,ἐπὶ,ἐπί,X,G1909,Rahlfs,LXX
39,Malachi,1,1,Malachi 1:1,5,τὸν,ὁ,P,G3588,Rahlfs,LXX
39,Malachi,1,1,Malachi 1:1,6,Ισραηλ,Ἰσραήλ,RA.APF,G2474,Rahlfs,LXX
39,Malachi,1,1,Malachi 1:1,7,ἐν,ἐν,N.APF,G1722,Rahlfs,LXX
39,Malachi,1,1,Malachi 1:1,8,χειρὶ,χείρ,RP.GP,G5495,Rahlfs,LXX
39,Malachi,1,1,Malachi 1:1,9,ἀγγέλου,ἄγγελος,V.AAI1S,G32,Rahlfs,LXX
39,Malachi,1,1,Malachi 1:1,10,αὐτοῦ,αὐτός,RP.AP,G846,Rahlfs,LXX
39,Malachi,1,1,Malachi 1:1,11,θέσθε,τίθημι,V.PAI3S,G5087,Rahlfs,LXX
39,Malachi,1,1,Malachi 1:1,12,δὴ,δή,N.NSM,G1211,Rahlfs,LXX
39,Malachi,1,1,Malachi 1:1,13,ἐπὶ,ἐπί,C,G1909,Rahlfs,LXX
39,Malachi,1,1,Malachi 1:1,14,τὰς,ὁ,V.AAI2P,G3588,Rahlfs,LXX
39,Malachi,1,1,Malachi 1:1,15,καρδίας,καρδία,P,G2588,Rahlfs,LXX
39,Malachi,1,1,Malachi 1:1,16,ὑμῶν,ὑμῶν,RI.DSN,G5216,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,1,ἠγάπησα,ἀγαπάω,V.AAI2S,G25,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,2,ὑμᾶς,ὑμᾶς,RP.AP,G5209,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,3,λέγει,λέγω,D,G3004,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,4,κύριος,κύριος,N.NSM,G2962,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,5,καὶ,καί,V.IAI3S,G2532,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,6,εἴπατε,ἔπω,N.NSM,G2036,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,7,ἐν,ἐν,RA.GSM,G1722,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,8,τίνι,τίς,N.GSM,G5101,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,9,ἠγάπησας,ἀγαπάω,V.PAI3S,G25,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,10,ἡμᾶς,ἡμᾶς,N.NSM,G2248,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,11,οὐκ,οὐ,C,G3756,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,12,ἀδελφὸς,ἀδελφός,V.AAI1S,G80,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,13,ἦν,εἰμί,RA.ASM,G1510,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,14,Ησαυ,Ἠσαῦ,N.ASM,G2269,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,15,τοῦ,ὁ,RA.ASM,G3588,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,16,Ιακωβ,Ἰακώβ,X,G2384,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,17,λέγει,λέγω,N.ASM,G3004,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,18,κύριος,κύριος,V.AAI1S,G2962,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,19,καὶ,καί,C,G2532,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,20,ἠγάπησα,ἀγαπάω,V.AAI1S,G25,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,21,τὸν,ὁ,RA.APN,G3588,Rahlfs,LXX
39,Malachi,1,2,Malachi 1:2,22,Ιακωβ,Ἰακώβ,N.APN,G2384,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,1,τὸν,ὁ,RD.GSM,G3588,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,2,δὲ,δέ,P,G1161,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,3,Ησαυ,Ἠσαῦ,N.ASM,G2269,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,4,ἐμίσησα,μισέω,C,G3404,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,5,καὶ,καί,RA.ASF,G2532,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,6,ἔταξα,τάσσω,N.ASF,G5021,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,7,τὰ,ὁ,RD.GSM,G3588,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,8,ὅρια,ὅριον,P,G3725,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,9,αὐτοῦ,αὐτός,N.APN,G846,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,10,εἰς,εἰς,N.GSF,G1519,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,11,ἀφανισμὸν,ἀφανισμός,C,G854,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,12,καὶ,καί,V.FAI3S,G2532,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,13,τὴν,ὁ,RA.NSF,G3588,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,14,κληρονομίαν,κληρονομία,N.NSF,G2817,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,15,αὐτοῦ,αὐτός,V.XPI3S,G846,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,16,εἰς,εἰς,C,G1519,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,17,δόματα,δόμα,V.AAS1P,G1390,Rahlfs,LXX
39,Malachi,1,3,Malachi 1:3,18,ἐρήμου,ἔρημος,C,G2048,Rahlfs,LXX
39,Malachi,1,4,Malachi 1:4,1,διότι,διότι,V.FAI1P,G1360,Rahlfs,LXX
39,Malachi,1,4,Malachi 1:4,2,ἐρεῖ,ἐρέω,RA.APF,G2046,Rahlfs,LXX
39,Malachi,1,4,Malachi 1:4,3,ἡ,ὁ,N.APF,G3588,Rahlfs,LXX
39,Malachi,1,4,Malachi 1:4,4,Ιδουμαία,Ἰδουμαία,RD.APN,G2401,Rahlfs,LXX
39,Malachi,1,4,Malachi 1:4,5,κατέστραπται,καταστρέφω,V.PAI3S,G2690,Rahlfs,LXX
39,Malachi,1,4,Malachi 1:4,6,καὶ,καί,N.NSM,G2532,Rahlfs,LXX
39,Malachi,1,4,Malachi 1:4,7,ἐπιστρέψωμεν,ἐπιστρέφω,N.NSM,G1994,Rahlfs,LXX
39,Malachi,1,4,Malachi 1:4,8,καὶ,καί,RD.NPM,G2532,Rahlfs,LXX
