book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
33,Micah,1,1,Micah 1:1,1,καὶ,καί,N.GSM,G2532,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,2,ἐγένετο,γίνομαι,P,G1096,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,3,λόγος,λόγος,N.DPF,G3056,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,4,κυρίου,κύριος,N.GSM,G2962,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,5,πρὸς,πρός,C,G4314,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,6,Μιχαιαν,Μιχαιας,N.GSM,,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,7,τὸν,ὁ,C,G3588,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,8,τοῦ,ὁ,N.GSM,G3588,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,9,Μωρασθι,Μωρασθι,N.GPM,,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,10,ἐν,ἐν,N.GSM,G1722,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,11,ἡμέραις,ἡμέρα,P,G2250,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,12,Ιωαθαμ,Ἰωάθαμ,RR.GPM,G2488,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,13,καὶ,καί,V.AAI3S,G2532,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,14,Αχαζ,Ἀχάζ,P,G881,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,15,καὶ,καί,N.GSF,G2532,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,16,Εζεκιου,Ἐζεκίας,C,G1478,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,17,βασιλέων,βασιλεύς,P,G935,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,18,Ιουδα,Ἰουδά,N.GSF,G2448,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,19,ὑπὲρ,ὑπέρ,V.AAD2P,G5228,Rahlfs,LXX
33,Micah,1,1,Micah 1:1,20,ὧν,ὅς,N.VPM,G3739,Rahlfs,LXX
