book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
34,Nahum,1,1,Nahum 1:1,1,λῆμμα,λῆμμα,N.NSM,,Rahlfs,LXX
34,Nahum,1,1,Nahum 1:1,2,Νινευη,Νινευΐ,C,G3535,Rahlfs,LXX
34,Nahum,1,1,Nahum 1:1,3,βιβλίον,βιβλίον,V.PAPNSM,G975,Rahlfs,LXX
34,Nahum,1,1,Nahum 1:1,4,ὁράσεως,ὅρασις,N.NSM,G3706,Rahlfs,LXX
34,Nahum,1,1,Nahum 1:1,5,Ναουμ,Ναούμ,V.PAPNSM,G3486,Rahlfs,LXX
34,Nahum,1,1,Nahum 1:1,6,τοῦ,ὁ,N.NSM,G3588,Rahlfs,LXX
34,Nahum,1,1,Nahum 1:1,7,Ελκεσαίου,Ελκεσαίος,P,,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,1,θεὸς,θεός,N.GSM,G2316,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,2,ζηλωτὴς,ζηλωτής,V.PAPNSM,G2207,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,3,καὶ,καί,N.NSM,G2532,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,4,ἐκδικῶν,ἐκδικέω,RA.APM,G1556,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,5,κύριος,κύριος,A.APM,G2962,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,6,ἐκδικῶν,ἐκδικέω,RD.GSM,G1556,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,7,κύριος,κύριος,C,G2962,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,8,μετὰ,μετά,V.PAPNSM,G3326,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,9,θυμοῦ,θυμός,RD.NSM,G2372,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,10,ἐκδικῶν,ἐκδικέω,RA.APM,G1556,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,11,κύριος,κύριος,N.APM,G2962,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,12,τοὺς,ὁ,RD.GSM,G3588,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,13,ὑπεναντίους,ὑπεναντίος,N.NSM,G5227,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,14,αὐτοῦ,αὐτός,A.NSM,G846,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,15,καὶ,καί,C,G2532,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,16,ἐξαίρων,ἐξαίρω,A.NSF,G1808,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,17,αὐτὸς,αὐτός,RA.NSF,G846,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,18,τοὺς,ὁ,N.NSF,G3588,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,19,ἐχθροὺς,ἐχθρός,RD.GSM,G2190,Rahlfs,LXX
34,Nahum,1,2,Nahum 1:2,20,αὐτοῦ,αὐτός,C,G846,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,1,κύριος,κύριος,V.PAPNSM,G2962,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,2,μακρόθυμος,μακρόθυμος,D,,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,3,καὶ,καί,V.FAI3S,G2532,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,4,μεγάλη,μέγας,N.NSM,G3173,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,5,ἡ,ὁ,P,G3588,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,6,ἰσχὺς,ἰσχύς,N.DSF,G2479,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,7,αὐτοῦ,αὐτός,C,G846,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,8,καὶ,καί,P,G2532,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,9,ἀθῳῶν,ἀθῳόω,N.DSM,,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,10,οὐκ,οὐ,RA.NSF,G3756,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,11,ἀθῳώσει,ἀθῳόω,N.NSF,,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,12,κύριος,κύριος,RD.GSM,G2962,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,13,ἐν,ἐν,C,G1722,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,14,συντελείᾳ,συντέλεια,N.NPF,G4930,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,15,καὶ,καί,N.NSM,G2532,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,16,ἐν,ἐν,N.GPM,G1722,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,17,συσσεισμῷ,συσσεισμός,RD.GSM,,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,18,ἡ,ὁ,V.PAPNSM,G3588,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,19,ὁδὸς,ὁδός,N.DSF,G3598,Rahlfs,LXX
34,Nahum,1,3,Nahum 1:3,20,αὐτοῦ,αὐτός,C,G846,Rahlfs,LXX
