book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
4,Numbers,1,1,Numbers 1:1,1,καὶ,καί,C,G2532,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,2,ἐλάλησεν,λαλέω,V.AAI3S,G2980,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,3,κύριος,κύριος,N.NSM,G2962,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,4,πρὸς,πρός,P,G4314,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,5,Μωυσῆν,Μωσεύς,N.ASM,G3475,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,6,ἐν,ἐν,P,G1722,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,7,τῇ,ὁ,RA.DSF,G3588,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,8,ἐρήμῳ,ἔρημος,N.DSF,G2048,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,9,τῇ,ὁ,RA.DSF,G3588,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,10,Σινα,Σινᾶ,N.DS,G4614,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,11,ἐν,ἐν,P,G1722,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,12,τῇ,ὁ,RA.DSF,G3588,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,13,σκηνῇ,σκηνή,N.DSF,G4633,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,14,τοῦ,ὁ,RA.GSN,G3588,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,15,μαρτυρίου,μαρτύριον,N.GSN,G3142,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,16,ἐν,ἐν,P,G1722,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,17,μιᾷ,εἷς,A.DSF,G1520,Rahlfs,LXX
4,Numbers,1,1,Numbers 1:1,18,τοῦ,ὁ,RA.GSM,G3588,Rahlfs,LXX
