book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
20,Proverbs,1,1,Proverbs 1:1,1,παροιμίαι,παροιμία,N.NPF,G3942,Rahlfs,LXX
20,Proverbs,1,1,Proverbs 1:1,2,Σαλωμῶντος,Σαλωμών,N.GSM,,Rahlfs,LXX
20,Proverbs,1,1,Proverbs 1:1,3,υἱοῦ,υἱός,N.GSM,G5207,Rahlfs,LXX
20,Proverbs,1,1,Proverbs 1:1,4,Δαυιδ,Δαβίδ,N.GSM,G1138,Rahlfs,LXX
20,Proverbs,1,1,Proverbs 1:1,5,ὃς,ὅς,RR.NSM,G3739,Rahlfs,LXX
20,Proverbs,1,1,Proverbs 1:1,6,ἐβασίλευσεν,βασιλεύω,V.AAI3S,G936,Rahlfs,LXX
20,Proverbs,1,1,Proverbs 1:1,7,ἐν,ἐν,P,G1722,Rahlfs,LXX
20,Proverbs,1,1,Proverbs 1:1,8,Ισραηλ,Ἰσραήλ,N.DSM,G2474,Rahlfs,LXX
20,Proverbs,1,2,Proverbs 1:2,1,γνῶναι,γινώσκω,V.AAN,G1097,Rahlfs,LXX
20,Proverbs,1,2,Proverbs 1:2,2,σοφίαν,σοφία,N.ASF,G4678,Rahlfs,LXX
20,Proverbs,1,2,Proverbs 1:2,3,καὶ,καί,C,G2532,Rahlfs,LXX
20,Proverbs,1,2,Proverbs 1:2,4,παιδείαν,παιδεία,N.ASF,G3809,Rahlfs,LXX
20,Proverbs,1,2,Proverbs 1:2,5,νοῆσαί,νοέω,V.AAN,G3539,Rahlfs,LXX
20,Proverbs,1,2,Proverbs 1:2,6,τε,τε,C,G5037,Rahlfs,LXX
20,Proverbs,1,2,Proverbs 1:2,7,λόγους,λόγος,N.APM,G3056,Rahlfs,LXX
20,Proverbs,1,2,Proverbs 1:2,8,φρονήσεως,φρόνησις,N.GSF,G5428,Rahlfs,LXX
20,Proverbs,1,3,Proverbs 1:3,1,δέξασθαί,δέχομαι,V.AMN,G1209,Rahlfs,LXX
20,Proverbs,1,3,Proverbs 1:3,2,τε,τε,C,G5037,Rahlfs,LXX
20,Proverbs,1,3,Proverbs 1:3,3,στροφὰς,στροφή,N.APF,,Rahlfs,LXX
20,Proverbs,1,3,Proverbs 1:3,4,λόγων,λόγος,N.GPM,G3056,Rahlfs,LXX
20,Proverbs,1,3,Proverbs 1:3,5,νοῆσαί,νοέω,V.AAN,G3539,Rahlfs,LXX
20,Proverbs,1,3,Proverbs 1:3,6,τε,τε,C,G5037,Rahlfs,LXX
20,Proverbs,1,3,Proverbs 1:3,7,δικαιοσύνην,δικαιοσύνη,N.ASF,G1343,Rahlfs,LXX
20,Proverbs,1,3,Proverbs 1:3,8,ἀληθῆ,ἀληθής,A.ASF,G227,Rahlfs,LXX
20,Proverbs,1,3,Proverbs 1:3,9,καὶ,καί,C,G2532,Rahlfs,LXX
20,Proverbs,1,3,Proverbs 1:3,10,κρίμα,κρίμα,N.ASN,G2917,Rahlfs,LXX
20,Proverbs,1,3,Proverbs 1:3,11,κατευθύνειν,κατευθύνω,V.PAN,G2720,Rahlfs,LXX
20,Proverbs,1,4,Proverbs 1:4,1,ἵνα,ἵνα,C,G2443,Rahlfs,LXX
20,Proverbs,1,4,Proverbs 1:4,2,δῷ,δίδωμι,V.AAS3S,G1325,Rahlfs,LXX
20,Proverbs,1,4,Proverbs 1:4,3,ἀκάκοις,ἄκακος,A.DPM,G172,Rahlfs,LXX
20,Proverbs,1,4,Proverbs 1:4,4,πανουργίαν,πανουργία,N.ASF,G3834,Rahlfs,LXX
20,Proverbs,1,4,Proverbs 1:4,5,παιδὶ,παῖς,N.DSM,G3816,Rahlfs,LXX
20,Proverbs,1,4,Proverbs 1:4,6,δὲ,δέ,X,G1161,Rahlfs,LXX
20,Proverbs,1,4,Proverbs 1:4,7,νέῳ,νέος,A.DSM,G3501,Rahlfs,LXX
20,Proverbs,1,4,Proverbs 1:4,8,αἴσθησίν,αἴσθησις,N.ASF,G144,Rahlfs,LXX
20,Proverbs,1,4,Proverbs 1:4,9,τε,τε,X,G5037,Rahlfs,LXX
20,Proverbs,1,4,Proverbs 1:4,10,καὶ,καί,C,G2532,Rahlfs,LXX
20,Proverbs,1,4,Proverbs 1:4,11,ἔννοιαν,ἔννοια,N.ASF,G1771,Rahlfs,LXX
