book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
19,Psalms,1,1,Psalms 1:1,1,μακάριος,μακάριος,A.NSM,G3107,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,2,ἀνήρ,ἀνήρ,N.NSM,G435,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,3,ὃς,ὅς,RR.NSM,G3739,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,4,οὐκ,οὐ,D,G3756,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,5,ἐπορεύθη,πορεύομαι,V.API3S,G4198,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,6,ἐν,ἐν,P,G1722,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,7,βουλῇ,βουλή,N.DSF,G1012,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,8,ἀσεβῶν,ἀσεβής,A.GPM,G765,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,9,καὶ,καί,C,G2532,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,10,ἐν,ἐν,P,G1722,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,11,ὁδῷ,ὁδός,N.DSF,G3598,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,12,ἁμαρτωλῶν,ἁμαρτωλός,A.GPM,G268,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,13,οὐκ,οὐ,D,G3756,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,14,ἔστη,ἵστημι,V.AAI3S,G2476,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,15,καὶ,καί,C,G2532,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,16,ἐπὶ,ἐπί,P,G1909,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,17,καθέδραν,καθέδρα,N.ASF,G2515,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,18,λοιμῶν,λοιμός,N.GPM,G3061,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,19,οὐκ,οὐ,D,G3756,Rahlfs,LXX
19,Psalms,1,1,Psalms 1:1,20,ἐκάθισεν,καθίζω,V.AAI3S,G2523,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,1,ἀλλ᾿,ἀλλά,C,G235,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,2,ἢ,ἤ,C,G2228,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,3,ἐν,ἐν,P,G1722,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,4,τῷ,ὁ,RA.DSM,G3588,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,5,νόμῳ,νόμος,N.DSM,G3551,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,6,κυρίου,κύριος,N.GSM,G2962,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,7,τὸ,ὁ,RA.NSN,G3588,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,8,θέλημα,θέλημα,N.NSN,G2307,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,9,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,10,καὶ,καί,C,G2532,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,11,ἐν,ἐν,P,G1722,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,12,τῷ,ὁ,RA.DSM,G3588,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,13,νόμῳ,νόμος,N.DSM,G3551,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,14,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,15,μελετήσει,μελετάω,V.FAI3S,G3191,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,16,ἡμέρας,ἡμέρα,N.GSF,G2250,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,17,καὶ,καί,C,G2532,Rahlfs,LXX
19,Psalms,1,2,Psalms 1:2,18,νυκτός,νύξ,N.GSF,G3571,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,1,καὶ,καί,C,G2532,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,2,ἔσται,εἰμί,V.FMI3S,G1510,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,3,ὡς,ὥς,C,G5613,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,4,τὸ,ὁ,RA.NSN,G3588,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,5,ξύλον,ξύλον,N.NSN,G3586,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,6,τὸ,ὁ,RA.NSN,G3588,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,7,πεφυτευμένον,φυτεύω,V.XPPNSN,G5452,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,8,παρὰ,παρά,P,G3844,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,9,τὰς,ὁ,RA.APF,G3588,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,10,διεξόδους,διέξοδος,N.APF,G1327,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,11,τῶν,ὁ,RA.GPN,G3588,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,12,ὑδάτων,ὕδωρ,N.GPN,G5204,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,13,ὃ,ὅς,RR.NSN,G3739,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,14,τὸν,ὁ,RA.ASM,G3588,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,15,καρπὸν,καρπός,N.ASM,G2590,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,16,αὐτοῦ,αὐτός,RD.GSN,G846,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,17,δώσει,δίδωμι,V.FAI3S,G1325,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,18,ἐν,ἐν,P,G1722,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,19,καιρῷ,καιρός,N.DSM,G2540,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,20,αὐτοῦ,αὐτός,RD.GSN,G846,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,21,καὶ,καί,C,G2532,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,22,τὸ,ὁ,RA.NSN,G3588,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,23,φύλλον,φύλλον,N.NSN,G5444,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,24,αὐτοῦ,αὐτός,RD.GSN,G846,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,25,οὐκ,οὐ,D,G3756,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,26,ἀπορρυήσεται,ἀπορέω,V.FMI3S,G639,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,27,καὶ,καί,C,G2532,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,28,πάντα,πᾶς,A.NPN,G3956,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,29,ὅσα,ὅσος,A.APN,G3745,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,30,ἂν,ἄν,X,G302,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,31,ποιῇ,ποιέω,V.PAS3S,G4160,Rahlfs,LXX
19,Psalms,1,3,Psalms 1:3,32,κατευοδωθήσεται,κατευοδόω,V.FPI3S,,Rahlfs,LXX
19,Psalms,1,4,Psalms 1:4,1,οὐχ,οὐ,D,G3756,Rahlfs,LXX
19,Psalms,1,4,Psalms 1:4,2,οὕτως,οὕτως,D,G3779,Rahlfs,LXX
