book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
8,Ruth,1,1,Ruth 1:1,1,καὶ,καί,C,G2532,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,2,ἐγένετο,γίνομαι,V.AMI3S,G1096,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,3,ἐν,ἐν,P,G1722,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,4,τῷ,ὁ,RA.DSN,G3588,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,5,κρίνειν,κρίνω,V.PAN,G2919,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,6,τοὺς,ὁ,RA.APM,G3588,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,7,κριτὰς,κριτής,N.APM,G2923,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,8,καὶ,καί,C,G2532,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,9,ἐγένετο,γίνομαι,V.AMI3S,G1096,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,10,λιμὸς,λιμός,N.NSM,G3042,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,11,ἐν,ἐν,P,G1722,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,12,τῇ,ὁ,RA.DSF,G3588,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,13,γῇ,γῆ,N.DSF,G1093,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,14,καὶ,καί,C,G2532,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,15,ἐπορεύθη,πορεύομαι,V.API3S,G4198,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,16,ἀνὴρ,ἀνήρ,N.NSM,G435,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,17,ἀπὸ,ἀπό,P,G575,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,18,Βαιθλεεμ,Βαιθλεεμ,N.G,,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,19,τῆς,ὁ,RA.GSF,G3588,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,20,Ιουδα,Ἰουδά,N.GSF,G2448,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,21,τοῦ,ὁ,RA.GSN,G3588,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,22,παροικῆσαι,παροικέω,V.AAN,G3939,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,23,ἐν,ἐν,P,G1722,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,24,ἀγρῷ,ἀγρός,N.DSM,G68,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,25,Μωαβ,Μωαβ,N.G,,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,26,αὐτὸς,αὐτός,RD.NSM,G846,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,27,καὶ,καί,C,G2532,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,28,ἡ,ὁ,RA.NSF,G3588,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,29,γυνὴ,γυνή,N.NSF,G1135,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,30,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,31,καὶ,καί,C,G2532,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,32,οἱ,ὁ,RA.NPM,G3588,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,33,υἱοὶ,υἱός,N.NPM,G5207,Rahlfs,LXX
8,Ruth,1,1,Ruth 1:1,34,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
8,Ruth,1,2,Ruth 1:2,1,καὶ,καί,C,G2532,Rahlfs,LXX
8,Ruth,1,2,Ruth 1:2,2,ὄνομα,ὄνομα,N.NSN,G3686,Rahlfs,LXX
8,Ruth,1,2,Ruth 1:2,3,τῷ,ὁ,RA.DSM,G3588,Rahlfs,LXX
8,Ruth,1,2,Ruth 1:2,4,ἀνδρὶ,ἀνήρ,N.DSM,G435,Rahlfs,LXX
8,Ruth,1,2,Ruth 1:2,5,Αβιμελεχ,Αβιμελεχ,N.NSM,,Rahlfs,LXX
8,Ruth,1,2,Ruth 1:2,6,καὶ,καί,C,G2532,Rahlfs,LXX
8,Ruth,1,2,Ruth 1:2,7,ὄνομα,ὄνομα,N.NSN,G3686,Rahlfs,LXX
8,Ruth,1,2,Ruth 1:2,8,τῇ,ὁ,RA.DSF,G3588,Rahlfs,LXX
8,Ruth,1,2,Ruth 1:2,9,γυναικὶ,γυνή,N.DSF,G1135,Rahlfs,LXX
