book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
22,Song of Songs,1,1,Song of Songs 1:1,1,ᾆσμα,ᾆσμα,N.NSN,,Rahlfs,LXX
22,Song of Songs,1,1,Song of Songs 1:1,2,ᾀσμάτων,ᾆσμα,N.GPN,,Rahlfs,LXX
22,Song of Songs,1,1,Song of Songs 1:1,3,ὅ,ὅς,RR.NSN,G3739,Rahlfs,LXX
22,Song of Songs,1,1,Song of Songs 1:1,4,ἐστιν,εἰμί,V.PAI3S,G1510,Rahlfs,LXX
22,Song of Songs,1,1,Song of Songs 1:1,5,τῷ,ὁ,RA.DSM,G3588,Rahlfs,LXX
22,Song of Songs,1,1,Song of Songs 1:1,6,Σαλωμων,Σαλωμών,N.GSM,,Rahlfs,LXX
22,Song of Songs,1,2,Song of Songs 1:2,1,φιλησάτω,φιλέω,V.AAD3S,G5368,Rahlfs,LXX
22,Song of Songs,1,2,Song of Songs 1:2,2,με,μέ,RP.AS,G3165,Rahlfs,LXX
22,Song of Songs,1,2,Song of Songs 1:2,3,ἀπὸ,ἀπό,P,G575,Rahlfs,LXX
22,Song of Songs,1,2,Song of Songs 1:2,4,φιλημάτων,φίλημα,N.GPN,G5370,Rahlfs,LXX
22,Song of Songs,1,2,Song of Songs 1:2,5,στόματος,στόμα,N.GSN,G4750,Rahlfs,LXX
22,Song of Songs,1,2,Song of Songs 1:2,6,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
22,Song of Songs,1,2,Song of Songs 1:2,7,ὅτι,ὅτι,C,G3754,Rahlfs,LXX
22,Song of Songs,1,2,Song of Songs 1:2,8,ἀγαθοὶ,ἀγαθός,A.NPM,G18,Rahlfs,LXX
22,Song of Songs,1,2,Song of Songs 1:2,9,μαστοί,μαστός,N.NPM,G3149,Rahlfs,LXX
22,Song of Songs,1,2,Song of Songs 1:2,10,σου,σοῦ,RP.GS,G4675,Rahlfs,LXX
22,Song of Songs,1,2,Song of Songs 1:2,11,ὑπὲρ,ὑπέρ,P,G5228,Rahlfs,LXX
22,Song of Songs,1,2,Song of Songs 1:2,12,οἶνον,οἶνος,N.ASM,G3631,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,1,καὶ,καί,C,G2532,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,2,ὀσμὴ,ὀσμή,N.NSF,G3744,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,3,μύρων,μύρον,N.GPN,G3464,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,4,σου,σοῦ,RP.GS,G4675,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,5,ὑπὲρ,ὑπέρ,P,G5228,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,6,πάντα,πᾶς,A.APN,G3956,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,7,τὰ,ὁ,RA.APN,G3588,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,8,ἀρώματα,ἄρωμα,N.APN,G759,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,9,μύρον,μύρον,N.NSN,G3464,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,10,ἐκκενωθὲν,ἐκκενόω,V.APPNSN,,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,11,ὄνομά,ὄνομα,N.NSN,G3686,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,12,σου,σοῦ,RP.GS,G4675,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,13,διὰ,διά,P,G1223,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,14,τοῦτο,οὗτος,RD.ASN,G3778,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,15,νεάνιδες,νεᾶνις,N.NPF,,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,16,ἠγάπησάν,ἀγαπάω,V.AAI3P,G25,Rahlfs,LXX
22,Song of Songs,1,3,Song of Songs 1:3,17,σε,σέ,RP.AS,G4571,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,1,εἵλκυσάν,ἑλκύω,V.AAI3P,G1670,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,2,σε,σέ,RP.AS,G4571,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,3,ὀπίσω,ὀπίσω,P,G3694,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,4,σου,σοῦ,RP.GS,G4675,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,5,εἰς,εἰς,P,G1519,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,6,ὀσμὴν,ὀσμή,N.ASF,G3744,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,7,μύρων,μύρον,N.GPN,G3464,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,8,σου,σοῦ,RP.GS,G4675,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,9,δραμοῦμεν,τρέχω,V.FAI1P,G5143,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,10,εἰσήνεγκέν,εἰσφέρω,V.AAI3S,G1533,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,11,με,μέ,RP.AS,G3165,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,12,ὁ,ὁ,RA.NSM,G3588,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,13,βασιλεὺς,βασιλεύς,N.NSM,G935,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,14,εἰς,εἰς,P,G1519,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,15,τὸ,ὁ,RA.ASN,G3588,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,16,ταμίειον,ταμεῖον,N.ASN,G5009,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,17,αὐτοῦ,αὐτός,RD.GSM,G846,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,18,ἀγαλλιασώμεθα,ἀγαλλιάω,V.AMS1P,G21,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,19,καὶ,καί,C,G2532,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,20,εὐφρανθῶμεν,εὐφραίνω,V.APS1P,G2165,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,21,ἐν,ἐν,P,G1722,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,22,σοί,σοί,RP.DS,G4671,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,23,ἀγαπήσομεν,ἀγαπάω,V.FAI1P,G25,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,24,μαστούς,μαστός,N.APM,G3149,Rahlfs,LXX
22,Song of Songs,1,4,Song of Songs 1:4,25,σου,σοῦ,RP.GS,G4675,Rahlfs,LXX
