book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
38,Zechariah,1,1,Zechariah 1:1,1,ἐν,ἐν,V.AMI3S,G1722,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,2,τῷ,ὁ,N.NSM,G3588,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,3,ὀγδόῳ,ὄγδοος,N.GSM,G3590,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,4,μηνὶ,μήν,P,G3376,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,5,ἔτους,ἔτος,N.ASM,G2094,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,6,δευτέρου,δεύτερος,RA.ASM,G1208,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,7,ἐπὶ,ἐπί,RA.GSM,G1909,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,8,Δαρείου,Δαρεῖος,N.GSM,,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,9,ἐγένετο,γίνομαι,N.ASM,G1096,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,10,λόγος,λόγος,N.ASM,G3056,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,11,κυρίου,κύριος,RA.ASM,G2962,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,12,πρὸς,πρός,N.ASM,G4314,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,13,Ζαχαριαν,Ζαχαρίας,V.PAPNSM,G2197,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,14,τὸν,ὁ,V.API3S,G3588,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,15,τοῦ,ὁ,N.NSM,G3588,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,16,Βαραχιου,Βαραχίας,P,G914,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,17,υἱὸν,υἱός,RA.APM,G5207,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,18,Αδδω,Αδδω,N.APM,,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,19,τὸν,ὁ,RP.GP,G3588,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,20,προφήτην,προφήτης,N.ASF,G4396,Rahlfs,LXX
38,Zechariah,1,1,Zechariah 1:1,21,λέγων,λέγω,A.ASF,G3004,Rahlfs,LXX
38,Zechariah,1,2,Zechariah 1:2,1,ὠργίσθη,ὀργίζω,C,G3710,Rahlfs,LXX
38,Zechariah,1,2,Zechariah 1:2,2,κύριος,κύριος,V.FAI2S,G2962,Rahlfs,LXX
