book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
36,Zephaniah,1,1,Zephaniah 1:1,1,λόγος,λόγος,N.GSM,G3056,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,2,κυρίου,κύριος,N.ASM,G2962,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,3,ὃς,ὅς,N.GSM,G3739,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,4,ἐγενήθη,γίνομαι,RA.GSM,G1096,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,5,πρὸς,πρός,N.GSM,G4314,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,6,Σοφονιαν,Σοφονίας,RA.GSM,,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,7,τὸν,ὁ,N.GSM,G3588,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,8,τοῦ,ὁ,P,G3588,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,9,Χουσι,Χουσι,N.DPF,,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,10,υἱὸν,υἱός,N.GSM,G5207,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,11,Γοδολιου,Γοδολιας,N.GSM,,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,12,τοῦ,ὁ,N.GSM,G3588,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,13,Αμαριου,Ἀμαρίας,N.GSM,,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,14,τοῦ,ὁ,N.GSM,G3588,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,15,Εζεκιου,Ἐζεκίας,N.DSF,G1478,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,16,ἐν,ἐν,V.AAD3S,G1722,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,17,ἡμέραις,ἡμέρα,A.ASM,G2250,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,18,Ιωσιου,Ἰωσίας,P,G2502,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,19,υἱοῦ,υἱός,N.GSN,G5207,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,20,Αμων,Ἀμών,RA.GSF,G300,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,21,βασιλέως,βασιλεύς,N.GSF,G935,Rahlfs,LXX
36,Zephaniah,1,1,Zephaniah 1:1,22,Ιουδα,Ἰουδά,V.PAI3S,G2448,Rahlfs,LXX
36,Zephaniah,1,2,Zephaniah 1:2,1,ἐκλείψει,ἔκλειψις,N.NSM,,Rahlfs,LXX
36,Zephaniah,1,2,Zephaniah 1:2,2,ἐκλιπέτω,ἐκλείπω,V.AAD3S,G1587,Rahlfs,LXX
36,Zephaniah,1,2,Zephaniah 1:2,3,πάντα,πᾶς,N.NSM,G3956,Rahlfs,LXX
36,Zephaniah,1,2,Zephaniah 1:2,4,ἀπὸ,ἀπό,C,G575,Rahlfs,LXX
