book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
14,2 Chronicles,1,1,2 Chronicles 1:1,1,וַ,W,conj.NA.NA,,Leningrad,MT
14,2 Chronicles,1,1,2 Chronicles 1:1,2,יִּתְחַזֵּ֛ק,XZQ[,verb.hit.wayq,,Leningrad,MT
14,2 Chronicles,1,1,2 Chronicles 1:1,3,שְׁלֹמֹ֥ה,CLMH=/,nmpr.NA.NA,,Leningrad,MT
14,2 Chronicles,1,1,2 Chronicles 1:1,4,בֶן־,BN/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,1,2 Chronicles 1:1,5,דָּוִ֖יד,DWD==/,nmpr.NA.NA,,Leningrad,MT
14,2 Chronicles,1,1,2 Chronicles 1:1,6,עַל־,<L,prep.NA.NA,,Leningrad,MT
14,2 Chronicles,1,1,2 Chronicles 1:1,7,מַלְכוּתֹ֑ו,MLKWT/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,1,2 Chronicles 1:1,8,וַ,W,conj.NA.NA,,Leningrad,MT
14,2 Chronicles,1,1,2 Chronicles 1:1,9,יהוָ֤ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
14,2 Chronicles,1,1,2 Chronicles 1:1,10,אֱלֹהָיו֙,>LHJM/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,1,2 Chronicles 1:1,11,עִמֹּ֔ו,<M,prep.NA.NA,,Leningrad,MT
14,2 Chronicles,1,1,2 Chronicles 1:1,12,וַֽ,W,conj.NA.NA,,Leningrad,MT
14,2 Chronicles,1,1,2 Chronicles 1:1,13,יְגַדְּלֵ֖הוּ,GDL[,verb.piel.wayq,,Leningrad,MT
14,2 Chronicles,1,1,2 Chronicles 1:1,14,לְ,L,prep.NA.NA,,Leningrad,MT
14,2 Chronicles,1,1,2 Chronicles 1:1,15,מָֽעְלָה׃,M<L/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,1,וַ,W,conj.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,2,יֹּ֣אמֶר,>MR[,verb.qal.wayq,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,3,שְׁלֹמֹ֣ה,CLMH=/,nmpr.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,4,לְ,L,prep.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,5,כָל־,KL/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,6,יִשְׂרָאֵ֡ל,JFR>L/,nmpr.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,7,לְ,L,prep.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,8,שָׂרֵי֩,FR/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,9,הָ,H,art.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,10,אֲלָפִ֨ים,>LP=/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,11,וְ,W,conj.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,12,הַ,H,art.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,13,מֵּאֹ֜ות,M>H/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,14,וְ,W,conj.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,15,לַ,L,prep.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,16,,H,art.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,17,שֹּֽׁפְטִ֗ים,CPV[,verb.qal.ptca,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,18,וּ,W,conj.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,19,לְ,L,prep.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,20,כֹ֛ל,KL/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,21,נָשִׂ֥יא,NFJ>/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,22,לְ,L,prep.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,23,כָל־,KL/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,24,יִשְׂרָאֵ֖ל,JFR>L/,nmpr.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,25,רָאשֵׁ֥י,R>C/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,26,הָ,H,art.NA.NA,,Leningrad,MT
14,2 Chronicles,1,2,2 Chronicles 1:2,27,אָבֹֽות׃,>B/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,1,וַ,W,conj.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,2,יֵּלְכ֗וּ,HLK[,verb.qal.wayq,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,3,שְׁלֹמֹה֙,CLMH=/,nmpr.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,4,וְ,W,conj.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,5,כָל־,KL/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,6,הַ,H,art.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,7,קָּהָ֣ל,QHL/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,8,עִמֹּ֔ו,<M,prep.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,9,לַ,L,prep.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,10,,H,art.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,11,בָּמָ֖ה,BMH/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,12,אֲשֶׁ֣ר,>CR,conj.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,13,בְּ,B,prep.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,14,גִבְעֹ֑ון,GB<WN/,nmpr.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,15,כִּי־,KJ,conj.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,16,שָׁ֣ם,CM,advb.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,17,הָיָ֗ה,HJH[,verb.qal.perf,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,18,אֹ֤הֶל,>HL/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,19,מֹועֵד֙,MW<D/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,20,הָֽ,H,art.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,21,אֱלֹהִ֔ים,>LHJM/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,22,אֲשֶׁ֥ר,>CR,conj.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,23,עָשָׂ֛ה,<FH[,verb.qal.perf,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,24,מֹשֶׁ֥ה,MCH=/,nmpr.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,25,עֶֽבֶד־,<BD/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,26,יְהוָ֖ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,27,בַּ,B,prep.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,28,,H,art.NA.NA,,Leningrad,MT
14,2 Chronicles,1,3,2 Chronicles 1:3,29,מִּדְבָּֽר׃,MDBR/,subs.NA.NA,,Leningrad,MT
14,2 Chronicles,1,4,2 Chronicles 1:4,1,אֲבָ֗ל,>BL,intj.NA.NA,,Leningrad,MT
