book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
12,2 Kings,1,1,2 Kings 1:1,1,וַ,W,conj.NA.NA,,Leningrad,MT
12,2 Kings,1,1,2 Kings 1:1,2,יִּפְשַׁ֤ע,PC<[,verb.qal.wayq,,Leningrad,MT
12,2 Kings,1,1,2 Kings 1:1,3,מֹואָב֙,MW>B/,nmpr.NA.NA,,Leningrad,MT
12,2 Kings,1,1,2 Kings 1:1,4,בְּ,B,prep.NA.NA,,Leningrad,MT
12,2 Kings,1,1,2 Kings 1:1,5,יִשְׂרָאֵ֔ל,JFR>L/,nmpr.NA.NA,,Leningrad,MT
12,2 Kings,1,1,2 Kings 1:1,6,אַחֲרֵ֖י,>XR/,subs.NA.NA,,Leningrad,MT
12,2 Kings,1,1,2 Kings 1:1,7,מֹ֥ות,MWT/,subs.NA.NA,,Leningrad,MT
12,2 Kings,1,1,2 Kings 1:1,8,אַחְאָֽב׃,>X>B/,nmpr.NA.NA,,Leningrad,MT
12,2 Kings,1,2,2 Kings 1:2,1,וַ,W,conj.NA.NA,,Leningrad,MT
12,2 Kings,1,2,2 Kings 1:2,2,יִּפֹּ֨ל,NPL[,verb.qal.wayq,,Leningrad,MT
12,2 Kings,1,2,2 Kings 1:2,3,אֲחַזְיָ֜ה,>XZJH/,nmpr.NA.NA,,Leningrad,MT
12,2 Kings,1,2,2 Kings 1:2,4,בְּעַ֣ד,B<D/,subs.NA.NA,,Leningrad,MT
12,2 Kings,1,2,2 Kings 1:2,5,הַ,H,art.NA.NA,,Leningrad,MT
12,2 Kings,1,2,2 Kings 1:2,6,שְּׂבָכָ֗ה,FBKH/,subs.NA.NA,,Leningrad,MT
12,2 Kings,1,2,2 Kings 1:2,7,בַּ,B,prep.NA.NA,,Leningrad,MT
12,2 Kings,1,2,2 Kings 1:2,8,עֲלִיָּתֹ֛ו,<LJH/,subs.NA.NA,,Leningrad,MT
12,2 Kings,1,2,2 Kings 1:2,9,אֲשֶׁ֥ר,>CR,conj.NA.NA,,Leningrad,MT
12,2 Kings,1,2,2 Kings 1:2,10,בְּ,B,prep.NA.NA,,Leningrad,MT
12,2 Kings,1,2,2 Kings 1:2,11,שֹׁמְרֹ֖ון,CMRWN/,nmpr.NA.NA,,Leningrad,MT
12,2 Kings,1,2,2 Kings 1:2,12,וַ,W,conj.NA.NA,,Leningrad,MT
12,2 Kings,1,2,2 Kings 1:2,13,יָּ֑חַל,XLH[,verb.qal.wayq,,Leningrad,MT
12,2 Kings,1,2,2 Kings 1:2,14,וַ,W,conj.NA.NA,,Leningrad,MT
12,2 Kings,1,2,2 Kings 1:2,15,יִּשְׁלַ֣ח,CLX[,verb.qal.wayq,,Leningrad,MT
