book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
10,2 Samuel,1,1,2 Samuel 1:1,1,וַ,W,conj.NA.NA,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,2,יְהִ֗י,HJH[,verb.qal.wayq,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,3,אַֽחֲרֵי֙,>XR/,subs.NA.NA,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,4,מֹ֣ות,MWT/,subs.NA.NA,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,5,שָׁא֔וּל,C>WL=/,nmpr.NA.NA,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,6,וְ,W,conj.NA.NA,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,7,דָוִ֣ד,DWD==/,nmpr.NA.NA,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,8,שָׁ֔ב,CWB[,verb.qal.perf,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,9,מֵ,MN,prep.NA.NA,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,10,הַכֹּ֖ות,NKH[,verb.hif.infc,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,11,אֶת־,>T,prep.NA.NA,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,12,הָ,H,art.NA.NA,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,13,עֲמָלֵ֑ק,<MLQ/,nmpr.NA.NA,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,14,וַ,W,conj.NA.NA,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,15,יֵּ֧שֶׁב,JCB[,verb.qal.wayq,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,16,דָּוִ֛ד,DWD==/,nmpr.NA.NA,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,17,בְּ,B,prep.NA.NA,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,18,צִקְלָ֖ג,YQLG/,nmpr.NA.NA,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,19,יָמִ֥ים,JWM/,subs.NA.NA,,Leningrad,MT
10,2 Samuel,1,1,2 Samuel 1:1,20,שְׁנָֽיִם׃,CNJM/,subs.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,1,וַ,W,conj.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,2,יְהִ֣י׀,HJH[,verb.qal.wayq,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,3,בַּ,B,prep.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,4,,H,art.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,5,יֹּ֣ום,JWM/,subs.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,6,הַ,H,art.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,7,שְּׁלִישִׁ֗י,CLJCJ/,adjv.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,8,וְ,W,conj.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,9,הִנֵּה֩,HNH,intj.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,10,אִ֨ישׁ,>JC/,subs.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,11,בָּ֤א,BW>[,verb.qal.perf,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,12,מִן־,MN,prep.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,13,הַֽ,H,art.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,14,מַּחֲנֶה֙,MXNH/,subs.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,15,מֵ,MN,prep.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,16,עִ֣ם,<M,prep.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,17,שָׁא֔וּל,C>WL=/,nmpr.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,18,וּ,W,conj.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,19,בְגָדָ֣יו,BGD/,subs.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,20,קְרֻעִ֔ים,QR<[,verb.qal.ptcp,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,21,וַ,W,conj.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,22,אֲדָמָ֖ה,>DMH/,subs.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,23,עַל־,<L,prep.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,24,רֹאשֹׁ֑ו,R>C/,subs.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,25,וַ,W,conj.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,26,יְהִי֙,HJH[,verb.qal.wayq,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,27,בְּ,B,prep.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,28,בֹאֹ֣ו,BW>[,verb.qal.infc,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,29,אֶל־,>L,prep.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,30,דָּוִ֔ד,DWD==/,nmpr.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,31,וַ,W,conj.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,32,יִּפֹּ֥ל,NPL[,verb.qal.wayq,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,33,אַ֖רְצָה,>RY/,subs.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,34,וַ,W,conj.NA.NA,,Leningrad,MT
10,2 Samuel,1,2,2 Samuel 1:2,35,יִּשְׁתָּֽחוּ׃,XWH[,verb.hsht.wayq,,Leningrad,MT
10,2 Samuel,1,3,2 Samuel 1:3,1,וַ,W,conj.NA.NA,,Leningrad,MT
10,2 Samuel,1,3,2 Samuel 1:3,2,יֹּ֤אמֶר,>MR[,verb.qal.wayq,,Leningrad,MT
10,2 Samuel,1,3,2 Samuel 1:3,3,לֹו֙,L,prep.NA.NA,,Leningrad,MT
10,2 Samuel,1,3,2 Samuel 1:3,4,דָּוִ֔ד,DWD==/,nmpr.NA.NA,,Leningrad,MT
10,2 Samuel,1,3,2 Samuel 1:3,5,אֵ֥י,>J,inrg.NA.NA,,Leningrad,MT
10,2 Samuel,1,3,2 Samuel 1:3,6,מִ,MN,prep.NA.NA,,Leningrad,MT
10,2 Samuel,1,3,2 Samuel 1:3,7,זֶּ֖ה,ZH,prde.NA.NA,,Leningrad,MT
10,2 Samuel,1,3,2 Samuel 1:3,8,תָּבֹ֑וא,BW>[,verb.qal.impf,,Leningrad,MT
10,2 Samuel,1,3,2 Samuel 1:3,9,וַ,W,conj.NA.NA,,Leningrad,MT
10,2 Samuel,1,3,2 Samuel 1:3,10,יֹּ֣אמֶר,>MR[,verb.qal.wayq,,Leningrad,MT
10,2 Samuel,1,3,2 Samuel 1:3,11,אֵלָ֔יו,>L,prep.NA.NA,,Leningrad,MT
10,2 Samuel,1,3,2 Samuel 1:3,12,מִ,MN,prep.NA.NA,,Leningrad,MT
