book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
30,Amos,1,1,Amos 1:1,1,דִּבְרֵ֣י,DBR/,subs.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,2,עָמֹ֔וס,<MWS/,nmpr.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,3,אֲשֶׁר־,>CR,conj.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,4,הָיָ֥ה,HJH[,verb.qal.perf,,Leningrad,MT
30,Amos,1,1,Amos 1:1,5,בַ,B,prep.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,6,,H,art.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,7,נֹּקְדִ֖ים,NQD/,subs.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,8,מִ,MN,prep.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,9,תְּקֹ֑ועַ,TQW<=/,nmpr.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,10,אֲשֶׁר֩,>CR,conj.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,11,חָזָ֨ה,XZH[,verb.qal.perf,,Leningrad,MT
30,Amos,1,1,Amos 1:1,12,עַל־,<L,prep.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,13,יִשְׂרָאֵ֜ל,JFR>L/,nmpr.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,14,בִּ,B,prep.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,15,ימֵ֣י׀,JWM/,subs.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,16,עֻזִּיָּ֣ה,<ZJH/,nmpr.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,17,מֶֽלֶךְ־,MLK/,subs.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,18,יְהוּדָ֗ה,JHWDH/,nmpr.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,19,וּ,W,conj.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,20,בִ,B,prep.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,21,ימֵ֞י,JWM/,subs.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,22,יָרָבְעָ֤ם,JRB<M/,nmpr.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,23,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,24,יֹואָשׁ֙,JW>C/,nmpr.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,25,מֶ֣לֶךְ,MLK/,subs.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,26,יִשְׂרָאֵ֔ל,JFR>L/,nmpr.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,27,שְׁנָתַ֖יִם,CNH/,subs.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,28,לִ,L,prep.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,29,פְנֵ֥י,PNH/,subs.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,30,הָ,H,art.NA.NA,,Leningrad,MT
30,Amos,1,1,Amos 1:1,31,רָֽעַשׁ׃,R<C/,subs.NA.NA,,Leningrad,MT
30,Amos,1,2,Amos 1:2,1,וַ,W,conj.NA.NA,,Leningrad,MT
30,Amos,1,2,Amos 1:2,2,יֹּאמַ֓ר׀,>MR[,verb.qal.wayq,,Leningrad,MT
30,Amos,1,2,Amos 1:2,3,יְהוָה֙,JHWH/,nmpr.NA.NA,,Leningrad,MT
30,Amos,1,2,Amos 1:2,4,מִ,MN,prep.NA.NA,,Leningrad,MT
30,Amos,1,2,Amos 1:2,5,צִּיֹּ֣ון,YJWN==/,nmpr.NA.NA,,Leningrad,MT
30,Amos,1,2,Amos 1:2,6,יִשְׁאָ֔ג,C>G[,verb.qal.impf,,Leningrad,MT
30,Amos,1,2,Amos 1:2,7,וּ,W,conj.NA.NA,,Leningrad,MT
30,Amos,1,2,Amos 1:2,8,מִ,MN,prep.NA.NA,,Leningrad,MT
30,Amos,1,2,Amos 1:2,9,ירוּשָׁלִַ֖ם,JRWCLM/,nmpr.NA.NA,,Leningrad,MT
30,Amos,1,2,Amos 1:2,10,יִתֵּ֣ן,NTN[,verb.qal.impf,,Leningrad,MT
30,Amos,1,2,Amos 1:2,11,קֹולֹ֑ו,QWL/,subs.NA.NA,,Leningrad,MT
30,Amos,1,2,Amos 1:2,12,וְ,W,conj.NA.NA,,Leningrad,MT
30,Amos,1,2,Amos 1:2,13,אָֽבְלוּ֙,>BL=[,verb.qal.perf,,Leningrad,MT
30,Amos,1,2,Amos 1:2,14,נְאֹ֣ות,NWH=/,subs.NA.NA,,Leningrad,MT
30,Amos,1,2,Amos 1:2,15,הָ,H,art.NA.NA,,Leningrad,MT
30,Amos,1,2,Amos 1:2,16,רֹעִ֔ים,R<H[,verb.qal.ptca,,Leningrad,MT
30,Amos,1,2,Amos 1:2,17,וְ,W,conj.NA.NA,,Leningrad,MT
30,Amos,1,2,Amos 1:2,18,יָבֵ֖שׁ,JBC[,verb.qal.perf,,Leningrad,MT
30,Amos,1,2,Amos 1:2,19,רֹ֥אשׁ,R>C/,subs.NA.NA,,Leningrad,MT
30,Amos,1,2,Amos 1:2,20,הַ,H,art.NA.NA,,Leningrad,MT
30,Amos,1,2,Amos 1:2,21,כַּרְמֶֽל׃ פ,KRML==/,nmpr.NA.NA,,Leningrad,MT
30,Amos,1,3,Amos 1:3,1,כֹּ֚ה,KH,advb.NA.NA,,Leningrad,MT
30,Amos,1,3,Amos 1:3,2,אָמַ֣ר,>MR[,verb.qal.perf,,Leningrad,MT
30,Amos,1,3,Amos 1:3,3,יְהוָ֔ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
30,Amos,1,3,Amos 1:3,4,עַל־,<L,prep.NA.NA,,Leningrad,MT
