book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
27,Daniel,1,1,Daniel 1:1,1,בִּ,B,prep.NA.NA,,Leningrad,MT
27,Daniel,1,1,Daniel 1:1,2,שְׁנַ֣ת,CNH/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,1,Daniel 1:1,3,שָׁלֹ֔ושׁ,CLC/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,1,Daniel 1:1,4,לְ,L,prep.NA.NA,,Leningrad,MT
27,Daniel,1,1,Daniel 1:1,5,מַלְכ֖וּת,MLKWT/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,1,Daniel 1:1,6,יְהֹויָקִ֣ים,JHWJQJM/,nmpr.NA.NA,,Leningrad,MT
27,Daniel,1,1,Daniel 1:1,7,מֶֽלֶךְ־,MLK/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,1,Daniel 1:1,8,יְהוּדָ֑ה,JHWDH/,nmpr.NA.NA,,Leningrad,MT
27,Daniel,1,1,Daniel 1:1,9,בָּ֣א,BW>[,verb.qal.perf,,Leningrad,MT
27,Daniel,1,1,Daniel 1:1,10,נְבוּכַדְנֶאצַּ֧ר,NBWKDN>YR/,nmpr.NA.NA,,Leningrad,MT
27,Daniel,1,1,Daniel 1:1,11,מֶֽלֶךְ־,MLK/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,1,Daniel 1:1,12,בָּבֶ֛ל,BBL/,nmpr.NA.NA,,Leningrad,MT
27,Daniel,1,1,Daniel 1:1,13,יְרוּשָׁלִַ֖ם,JRWCLM/,nmpr.NA.NA,,Leningrad,MT
27,Daniel,1,1,Daniel 1:1,14,וַ,W,conj.NA.NA,,Leningrad,MT
27,Daniel,1,1,Daniel 1:1,15,יָּ֥צַר,YWR[,verb.qal.wayq,,Leningrad,MT
27,Daniel,1,1,Daniel 1:1,16,עָלֶֽיהָ׃,<L,prep.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,1,וַ,W,conj.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,2,יִּתֵּן֩,NTN[,verb.qal.wayq,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,3,אֲדֹנָ֨י,>DNJ/,nmpr.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,4,בְּ,B,prep.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,5,יָדֹ֜ו,JD/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,6,אֶת־,>T,prep.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,7,יְהֹויָקִ֣ים,JHWJQJM/,nmpr.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,8,מֶֽלֶךְ־,MLK/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,9,יְהוּדָ֗ה,JHWDH/,nmpr.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,10,וּ,W,conj.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,11,מִ,MN,prep.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,12,קְצָת֙,QYT/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,13,כְּלֵ֣י,KLJ/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,14,בֵית־,BJT/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,15,הָֽ,H,art.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,16,אֱלֹהִ֔ים,>LHJM/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,17,וַ,W,conj.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,18,יְבִיאֵ֥ם,BW>[,verb.hif.wayq,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,19,אֶֽרֶץ־,>RY/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,20,שִׁנְעָ֖ר,CN<R/,nmpr.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,21,בֵּ֣ית,BJT/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,22,אֱלֹהָ֑יו,>LHJM/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,23,וְ,W,conj.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,24,אֶת־,>T,prep.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,25,הַ,H,art.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,26,כֵּלִ֣ים,KLJ/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,27,הֵבִ֔יא,BW>[,verb.hif.perf,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,28,בֵּ֖ית,BJT/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,29,אֹוצַ֥ר,>WYR/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,2,Daniel 1:2,30,אֱלֹהָֽיו׃,>LHJM/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,1,וַ,W,conj.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,2,יֹּ֣אמֶר,>MR[,verb.qal.wayq,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,3,הַ,H,art.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,4,מֶּ֔לֶךְ,MLK/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,5,לְ,L,prep.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,6,אַשְׁפְּנַ֖ז,>CPNZ/,nmpr.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,7,רַ֣ב,RB==/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,8,סָרִיסָ֑יו,SRJS/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,9,לְ,L,prep.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,10,הָבִ֞יא,BW>[,verb.hif.infc,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,11,מִ,MN,prep.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,12,בְּנֵ֧י,BN/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,13,יִשְׂרָאֵ֛ל,JFR>L/,nmpr.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,14,וּ,W,conj.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,15,מִ,MN,prep.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,16,זֶּ֥רַע,ZR</,subs.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,17,הַ,H,art.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,18,מְּלוּכָ֖ה,MLWKH/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,19,וּ,W,conj.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,20,מִן־,MN,prep.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,21,הַֽ,H,art.NA.NA,,Leningrad,MT
27,Daniel,1,3,Daniel 1:3,22,פַּרְתְּמִֽים׃,PRTMJM/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,1,יְלָדִ֣ים,JLD/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,2,אֲשֶׁ֣ר,>CR,conj.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,3,אֵֽין־,>JN/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,4,בָּהֶ֣ם,B,prep.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,5,כָּל־,KL/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,6,מוּם֩,M>WM/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,7,וְ,W,conj.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,8,טֹובֵ֨י,VWB/,adjv.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,9,מַרְאֶ֜ה,MR>H/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,10,וּ,W,conj.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,11,מַשְׂכִּילִ֣ים,FKL[,verb.hif.ptca,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,12,בְּ,B,prep.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,13,כָל־,KL/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,14,חָכְמָ֗ה,XKMH/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,15,וְ,W,conj.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,16,יֹ֤דְעֵי,JD<[,verb.qal.ptca,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,17,דַ֨עַת֙,D<T/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,18,וּ,W,conj.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,19,מְבִינֵ֣י,BJN[,verb.hif.ptca,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,20,מַדָּ֔ע,MD</,subs.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,21,וַ,W,conj.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,22,אֲשֶׁר֙,>CR,conj.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,23,כֹּ֣חַ,KX/,subs.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,24,בָּהֶ֔ם,B,prep.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,25,לַ,L,prep.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,26,עֲמֹ֖ד,<MD[,verb.qal.infc,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,27,בְּ,B,prep.NA.NA,,Leningrad,MT
27,Daniel,1,4,Daniel 1:4,28,הֵיכַ֣ל,HJKL/,subs.NA.NA,,Leningrad,MT
