book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
5,Deuteronomy,1,1,Deuteronomy 1:1,1,אֵ֣לֶּה,>LH,prde.NA.NA,,Leningrad,MT
5,Deuteronomy,1,1,Deuteronomy 1:1,2,הַ,H,art.NA.NA,,Leningrad,MT
5,Deuteronomy,1,1,Deuteronomy 1:1,3,דְּבָרִ֗ים,DBR/,subs.NA.NA,,Leningrad,MT
5,Deuteronomy,1,1,Deuteronomy 1:1,4,אֲשֶׁ֨ר,>CR,conj.NA.NA,,Leningrad,MT
5,Deuteronomy,1,1,Deuteronomy 1:1,5,דִּבֶּ֤ר,DBR[,verb.piel.perf,,Leningrad,MT
5,Deuteronomy,1,1,Deuteronomy 1:1,6,מֹשֶׁה֙,MCH=/,nmpr.NA.NA,,Leningrad,MT
5,Deuteronomy,1,1,Deuteronomy 1:1,7,אֶל־,>L,prep.NA.NA,,Leningrad,MT
5,Deuteronomy,1,1,Deuteronomy 1:1,8,כָּל־,KL/,subs.NA.NA,,Leningrad,MT
5,Deuteronomy,1,1,Deuteronomy 1:1,9,יִשְׂרָאֵ֔ל,JFR>L/,nmpr.NA.NA,,Leningrad,MT
5,Deuteronomy,1,1,Deuteronomy 1:1,10,בְּ,B,prep.NA.NA,,Leningrad,MT
5,Deuteronomy,1,1,Deuteronomy 1:1,11,עֵ֖בֶר,<BR/,subs.NA.NA,,Leningrad,MT
5,Deuteronomy,1,1,Deuteronomy 1:1,12,הַ,H,art.NA.NA,,Leningrad,MT
5,Deuteronomy,1,1,Deuteronomy 1:1,13,יַּרְדֵּ֑ן,JRDN/,nmpr.NA.NA,,Leningrad,MT
5,Deuteronomy,1,1,Deuteronomy 1:1,14,בַּ,B,prep.NA.NA,,Leningrad,MT
5,Deuteronomy,1,1,Deuteronomy 1:1,15,,H,art.NA.NA,,Leningrad,MT
