book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
21,Ecclesiastes,1,1,Ecclesiastes 1:1,1,דִּבְרֵי֙,DBR/,subs.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,1,Ecclesiastes 1:1,2,קֹהֶ֣לֶת,QHLT/,subs.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,1,Ecclesiastes 1:1,3,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,1,Ecclesiastes 1:1,4,דָּוִ֔ד,DWD==/,nmpr.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,1,Ecclesiastes 1:1,5,מֶ֖לֶךְ,MLK/,subs.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,1,Ecclesiastes 1:1,6,בִּ,B,prep.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,1,Ecclesiastes 1:1,7,ירוּשָׁלִָֽם׃,JRWCLM/,nmpr.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,2,Ecclesiastes 1:2,1,הֲבֵ֤ל,HBL/,subs.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,2,Ecclesiastes 1:2,2,הֲבָלִים֙,HBL/,subs.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,2,Ecclesiastes 1:2,3,אָמַ֣ר,>MR[,verb.qal.perf,,Leningrad,MT
21,Ecclesiastes,1,2,Ecclesiastes 1:2,4,קֹהֶ֔לֶת,QHLT/,subs.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,2,Ecclesiastes 1:2,5,הֲבֵ֥ל,HBL/,subs.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,2,Ecclesiastes 1:2,6,הֲבָלִ֖ים,HBL/,subs.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,2,Ecclesiastes 1:2,7,הַ,H,art.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,2,Ecclesiastes 1:2,8,כֹּ֥ל,KL/,subs.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,2,Ecclesiastes 1:2,9,הָֽבֶל׃,HBL/,subs.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,3,Ecclesiastes 1:3,1,מַה־,MH,prin.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,3,Ecclesiastes 1:3,2,יִּתְרֹ֖ון,JTRWN/,subs.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,3,Ecclesiastes 1:3,3,לָֽ,L,prep.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,3,Ecclesiastes 1:3,4,,H,art.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,3,Ecclesiastes 1:3,5,אָדָ֑ם,>DM/,subs.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,3,Ecclesiastes 1:3,6,בְּ,B,prep.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,3,Ecclesiastes 1:3,7,כָל־,KL/,subs.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,3,Ecclesiastes 1:3,8,עֲמָלֹ֔ו,<ML/,subs.NA.NA,,Leningrad,MT
21,Ecclesiastes,1,3,Ecclesiastes 1:3,9,שֶֽׁ,C,conj.NA.NA,,Leningrad,MT
