book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
17,Esther,1,1,Esther 1:1,1,וַ,W,conj.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,2,יְהִ֖י,HJH[,verb.qal.wayq,,Leningrad,MT
17,Esther,1,1,Esther 1:1,3,בִּ,B,prep.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,4,ימֵ֣י,JWM/,subs.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,5,אֲחַשְׁוֵרֹ֑ושׁ,>XCWRWC/,nmpr.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,6,ה֣וּא,HW>,prps.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,7,אֲחַשְׁוֵרֹ֗ושׁ,>XCWRWC/,nmpr.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,8,הַ,H,art.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,9,מֹּלֵךְ֙,MLK[,verb.qal.ptca,,Leningrad,MT
17,Esther,1,1,Esther 1:1,10,מֵ,MN,prep.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,11,הֹ֣דּוּ,HDW/,nmpr.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,12,וְ,W,conj.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,13,עַד־,<D,prep.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,14,כּ֔וּשׁ,KWC/,nmpr.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,15,שֶׁ֛בַע,CB</,subs.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,16,וְ,W,conj.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,17,עֶשְׂרִ֥ים,<FRJM/,subs.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,18,וּ,W,conj.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,19,מֵאָ֖ה,M>H/,subs.NA.NA,,Leningrad,MT
17,Esther,1,1,Esther 1:1,20,מְדִינָֽה׃,MDJNH/,subs.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,1,בַּ,B,prep.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,2,,H,art.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,3,יָּמִ֖ים,JWM/,subs.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,4,הָ,H,art.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,5,הֵ֑ם,HM,prps.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,6,כְּ,K,prep.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,7,שֶׁ֣בֶת׀,JCB[,verb.qal.infc,,Leningrad,MT
17,Esther,1,2,Esther 1:2,8,הַ,H,art.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,9,מֶּ֣לֶךְ,MLK/,subs.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,10,אֲחַשְׁוֵרֹ֗ושׁ,>XCWRWC/,nmpr.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,11,עַ֚ל,<L,prep.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,12,כִּסֵּ֣א,KS>/,subs.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,13,מַלְכוּתֹ֔ו,MLKWT/,subs.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,14,אֲשֶׁ֖ר,>CR,conj.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,15,בְּ,B,prep.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,16,שׁוּשַׁ֥ן,CWCN=/,nmpr.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,17,הַ,H,art.NA.NA,,Leningrad,MT
17,Esther,1,2,Esther 1:2,18,בִּירָֽה׃,BJRH/,subs.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,1,בִּ,B,prep.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,2,שְׁנַ֤ת,CNH/,subs.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,3,שָׁלֹושׁ֙,CLC/,subs.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,4,לְ,L,prep.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,5,מָלְכֹ֔ו,MLK[,verb.qal.infc,,Leningrad,MT
17,Esther,1,3,Esther 1:3,6,עָשָׂ֣ה,<FH[,verb.qal.perf,,Leningrad,MT
17,Esther,1,3,Esther 1:3,7,מִשְׁתֶּ֔ה,MCTH/,subs.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,8,לְ,L,prep.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,9,כָל־,KL/,subs.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,10,שָׂרָ֖יו,FR/,subs.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,11,וַ,W,conj.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,12,עֲבָדָ֑יו,<BD/,subs.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,13,חֵ֣יל׀,XJL/,subs.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,14,פָּרַ֣ס,PRS=/,nmpr.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,15,וּ,W,conj.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,16,מָדַ֗י,MDJ/,nmpr.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,17,הַֽ,H,art.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,18,פַּרְתְּמִ֛ים,PRTMJM/,subs.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,19,וְ,W,conj.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,20,שָׂרֵ֥י,FR/,subs.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,21,הַ,H,art.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,22,מְּדִינֹ֖ות,MDJNH/,subs.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,23,לְ,L,prep.NA.NA,,Leningrad,MT
17,Esther,1,3,Esther 1:3,24,פָנָֽיו׃,PNH/,subs.NA.NA,,Leningrad,MT
17,Esther,1,4,Esther 1:4,1,בְּ,B,prep.NA.NA,,Leningrad,MT
17,Esther,1,4,Esther 1:4,2,הַרְאֹתֹ֗ו,R>H[,verb.hif.infc,,Leningrad,MT
17,Esther,1,4,Esther 1:4,3,אֶת־,>T,prep.NA.NA,,Leningrad,MT
17,Esther,1,4,Esther 1:4,4,עֹ֨שֶׁר֙,<CR/,subs.NA.NA,,Leningrad,MT
17,Esther,1,4,Esther 1:4,5,כְּבֹ֣וד,KBWD/,subs.NA.NA,,Leningrad,MT
17,Esther,1,4,Esther 1:4,6,מַלְכוּתֹ֔ו,MLKWT/,subs.NA.NA,,Leningrad,MT
17,Esther,1,4,Esther 1:4,7,וְ,W,conj.NA.NA,,Leningrad,MT
