book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
2,Exodus,1,1,Exodus 1:1,1,וְ,W,conj.NA.NA,,Leningrad,MT
2,Exodus,1,1,Exodus 1:1,2,אֵ֗לֶּה,>LH,prde.NA.NA,,Leningrad,MT
2,Exodus,1,1,Exodus 1:1,3,שְׁמֹות֙,CM/,subs.NA.NA,,Leningrad,MT
2,Exodus,1,1,Exodus 1:1,4,בְּנֵ֣י,BN/,subs.NA.NA,,Leningrad,MT
2,Exodus,1,1,Exodus 1:1,5,יִשְׂרָאֵ֔ל,JFR>L/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,1,Exodus 1:1,6,הַ,H,art.NA.NA,,Leningrad,MT
2,Exodus,1,1,Exodus 1:1,7,בָּאִ֖ים,BW>[,verb.qal.ptca,,Leningrad,MT
2,Exodus,1,1,Exodus 1:1,8,מִצְרָ֑יְמָה,MYRJM/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,1,Exodus 1:1,9,אֵ֣ת,>T==,prep.NA.NA,,Leningrad,MT
2,Exodus,1,1,Exodus 1:1,10,יַעֲקֹ֔ב,J<QB/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,1,Exodus 1:1,11,אִ֥ישׁ,>JC/,subs.NA.NA,,Leningrad,MT
2,Exodus,1,1,Exodus 1:1,12,וּ,W,conj.NA.NA,,Leningrad,MT
2,Exodus,1,1,Exodus 1:1,13,בֵיתֹ֖ו,BJT/,subs.NA.NA,,Leningrad,MT
2,Exodus,1,1,Exodus 1:1,14,בָּֽאוּ׃,BW>[,verb.qal.perf,,Leningrad,MT
2,Exodus,1,2,Exodus 1:2,1,רְאוּבֵ֣ן,R>WBN/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,2,Exodus 1:2,2,שִׁמְעֹ֔ון,CM<WN/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,2,Exodus 1:2,3,לֵוִ֖י,LWJ=/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,2,Exodus 1:2,4,וִ,W,conj.NA.NA,,Leningrad,MT
2,Exodus,1,2,Exodus 1:2,5,יהוּדָֽה׃,JHWDH/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,3,Exodus 1:3,1,יִשָּׂשכָ֥ר,JFFKR/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,3,Exodus 1:3,2,זְבוּלֻ֖ן,ZBWLN/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,3,Exodus 1:3,3,וּ,W,conj.NA.NA,,Leningrad,MT
2,Exodus,1,3,Exodus 1:3,4,בְנְיָמִֽן׃,BNJMN/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,4,Exodus 1:4,1,דָּ֥ן,DN/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,4,Exodus 1:4,2,וְ,W,conj.NA.NA,,Leningrad,MT
2,Exodus,1,4,Exodus 1:4,3,נַפְתָּלִ֖י,NPTLJ/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,4,Exodus 1:4,4,גָּ֥ד,GD==/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,4,Exodus 1:4,5,וְ,W,conj.NA.NA,,Leningrad,MT
2,Exodus,1,4,Exodus 1:4,6,אָשֵֽׁר׃,>CR==/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,5,Exodus 1:5,1,וַֽ,W,conj.NA.NA,,Leningrad,MT
2,Exodus,1,5,Exodus 1:5,2,יְהִ֗י,HJH[,verb.qal.wayq,,Leningrad,MT
2,Exodus,1,5,Exodus 1:5,3,כָּל־,KL/,subs.NA.NA,,Leningrad,MT
2,Exodus,1,5,Exodus 1:5,4,נֶ֛פֶשׁ,NPC/,subs.NA.NA,,Leningrad,MT
2,Exodus,1,5,Exodus 1:5,5,יֹצְאֵ֥י,JY>[,verb.qal.ptca,,Leningrad,MT
2,Exodus,1,5,Exodus 1:5,6,יֶֽרֶךְ־,JRK/,subs.NA.NA,,Leningrad,MT
2,Exodus,1,5,Exodus 1:5,7,יַעֲקֹ֖ב,J<QB/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,5,Exodus 1:5,8,שִׁבְעִ֣ים,CB</,subs.NA.NA,,Leningrad,MT
2,Exodus,1,5,Exodus 1:5,9,נָ֑פֶשׁ,NPC/,subs.NA.NA,,Leningrad,MT
2,Exodus,1,5,Exodus 1:5,10,וְ,W,conj.NA.NA,,Leningrad,MT
2,Exodus,1,5,Exodus 1:5,11,יֹוסֵ֖ף,JWSP/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,5,Exodus 1:5,12,הָיָ֥ה,HJH[,verb.qal.perf,,Leningrad,MT
2,Exodus,1,5,Exodus 1:5,13,בְ,B,prep.NA.NA,,Leningrad,MT
2,Exodus,1,5,Exodus 1:5,14,מִצְרָֽיִם׃,MYRJM/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,6,Exodus 1:6,1,וַ,W,conj.NA.NA,,Leningrad,MT
2,Exodus,1,6,Exodus 1:6,2,יָּ֤מָת,MWT[,verb.qal.wayq,,Leningrad,MT
2,Exodus,1,6,Exodus 1:6,3,יֹוסֵף֙,JWSP/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,6,Exodus 1:6,4,וְ,W,conj.NA.NA,,Leningrad,MT
2,Exodus,1,6,Exodus 1:6,5,כָל־,KL/,subs.NA.NA,,Leningrad,MT
2,Exodus,1,6,Exodus 1:6,6,אֶחָ֔יו,>X/,subs.NA.NA,,Leningrad,MT
2,Exodus,1,6,Exodus 1:6,7,וְ,W,conj.NA.NA,,Leningrad,MT
2,Exodus,1,6,Exodus 1:6,8,כֹ֖ל,KL/,subs.NA.NA,,Leningrad,MT
2,Exodus,1,6,Exodus 1:6,9,הַ,H,art.NA.NA,,Leningrad,MT
2,Exodus,1,6,Exodus 1:6,10,דֹּ֥ור,DWR/,subs.NA.NA,,Leningrad,MT
2,Exodus,1,6,Exodus 1:6,11,הַ,H,art.NA.NA,,Leningrad,MT
2,Exodus,1,6,Exodus 1:6,12,הֽוּא׃,HW>,prps.NA.NA,,Leningrad,MT
2,Exodus,1,7,Exodus 1:7,1,וּ,W,conj.NA.NA,,Leningrad,MT
2,Exodus,1,7,Exodus 1:7,2,בְנֵ֣י,BN/,subs.NA.NA,,Leningrad,MT
2,Exodus,1,7,Exodus 1:7,3,יִשְׂרָאֵ֗ל,JFR>L/,nmpr.NA.NA,,Leningrad,MT
2,Exodus,1,7,Exodus 1:7,4,פָּר֧וּ,PRH[,verb.qal.perf,,Leningrad,MT
2,Exodus,1,7,Exodus 1:7,5,וַֽ,W,conj.NA.NA,,Leningrad,MT
2,Exodus,1,7,Exodus 1:7,6,יִּשְׁרְצ֛וּ,CRY[,verb.qal.wayq,,Leningrad,MT
2,Exodus,1,7,Exodus 1:7,7,וַ,W,conj.NA.NA,,Leningrad,MT
2,Exodus,1,7,Exodus 1:7,8,יִּרְבּ֥וּ,RBH[,verb.qal.wayq,,Leningrad,MT
2,Exodus,1,7,Exodus 1:7,9,וַ,W,conj.NA.NA,,Leningrad,MT
2,Exodus,1,7,Exodus 1:7,10,יַּֽעַצְמ֖וּ,<YM[,verb.qal.wayq,,Leningrad,MT
2,Exodus,1,7,Exodus 1:7,11,בִּ,B,prep.NA.NA,,Leningrad,MT
